Treatment,Plot Number,Quadrat Number,Fenced,Gap,Life Form,Year,0
Control,2,3,False,False,Medium Non-tufted grass/sedge,3,0.018292682926829267
Control,2,3,False,False,Medium Non-tufted grass/sedge,6,0.009146341463414634
Control,2,3,False,False,Medium Tufted grass/sedge,0,0.001524390243902439
Control,2,3,False,False,Medium Tufted grass/sedge,3,0.003048780487804878
Control,2,3,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,0,0.04573170731707317
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,3,0.09146341463414634
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,6,0.012195121951219513
Control,2,3,False,False,Small Non-tufted grass/sedge,0,0.001524390243902439
Control,2,3,False,False,Small Non-tufted grass/sedge,3,0.018292682926829267
Control,2,3,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,3,False,False,Small Tufted grass/sedge,0,0.07774390243902439
Control,2,3,False,False,Small Tufted grass/sedge,3,0.0
Control,2,3,False,False,Small Tufted grass/sedge,6,0.010670731707317074
Control,2,4,False,False,Climber,0,0.003236245954692557
Control,2,4,False,False,Climber,3,0.019417475728155338
Control,2,4,False,False,Climber,6,0.003236245954692557
Control,2,4,False,False,Large Forb/Herb,0,0.17475728155339806
Control,2,4,False,False,Large Forb/Herb,3,0.12297734627831715
Control,2,4,False,False,Large Forb/Herb,6,0.2297734627831715
Control,2,4,False,False,Medium Forb/Herb,0,0.012944983818770227
Control,2,4,False,False,Medium Forb/Herb,3,0.0970873786407767
Control,2,4,False,False,Medium Forb/Herb,6,0.02912621359223301
Control,2,4,False,False,Medium Non-tufted grass/sedge,0,0.019417475728155338
Control,2,4,False,False,Medium Non-tufted grass/sedge,3,0.04854368932038835
Control,2,4,False,False,Medium Non-tufted grass/sedge,6,0.019417475728155338
Control,2,4,False,False,Medium Tufted grass/sedge,0,0.022653721682847898
Control,2,4,False,False,Medium Tufted grass/sedge,3,0.05177993527508091
Control,2,4,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,0,0.05177993527508091
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,3,0.003236245954692557
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,6,0.025889967637540454
Control,2,4,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,4,False,False,Small Non-tufted grass/sedge,3,0.019417475728155338
Control,2,4,False,False,Small Non-tufted grass/sedge,6,0.003236245954692557
Control,2,4,False,False,Small Tufted grass/sedge,0,0.038834951456310676
Control,2,4,False,False,Small Tufted grass/sedge,3,0.0
Control,2,4,False,False,Small Tufted grass/sedge,6,0.003236245954692557
Control,2,5,False,False,Climber,0,0.0
Control,2,5,False,False,Climber,3,0.0027397260273972603
Control,2,5,False,False,Climber,6,0.0
Control,2,5,False,False,Large Forb/Herb,0,0.19452054794520549
Control,2,5,False,False,Large Forb/Herb,3,0.15342465753424658
Control,2,5,False,False,Large Forb/Herb,6,0.26301369863013696
Control,2,5,False,False,Medium Forb/Herb,0,0.0136986301369863
Control,2,5,False,False,Medium Forb/Herb,3,0.0273972602739726
Control,2,5,False,False,Medium Forb/Herb,6,0.010958904109589041
Control,2,5,False,False,Medium Non-tufted grass/sedge,0,0.0821917808219178
Control,2,5,False,False,Medium Non-tufted grass/sedge,3,0.01643835616438356
Control,2,5,False,False,Medium Non-tufted grass/sedge,6,0.0027397260273972603
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,0,0.005479452054794521
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,3,0.010958904109589041
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,6,0.021917808219178082
Control,2,5,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,5,False,False,Small Non-tufted grass/sedge,3,0.01643835616438356
Control,2,5,False,False,Small Non-tufted grass/sedge,6,0.01643835616438356
Control,2,5,False,False,Small Tufted grass/sedge,0,0.13972602739726028
Control,2,5,False,False,Small Tufted grass/sedge,3,0.019178082191780823
Control,2,5,False,False,Small Tufted grass/sedge,6,0.0027397260273972603
Control,2,6,False,False,Climber,0,0.0020491803278688526
Control,2,6,False,False,Climber,3,0.0
Control,2,6,False,False,Climber,6,0.0020491803278688526
Control,2,6,False,False,Large Forb/Herb,0,0.020491803278688523
Control,2,6,False,False,Large Forb/Herb,3,0.22950819672131148
Control,2,6,False,False,Large Forb/Herb,6,0.22745901639344263
Control,2,6,False,False,Medium Forb/Herb,0,0.012295081967213115
Control,2,6,False,False,Medium Forb/Herb,3,0.06967213114754098
Control,2,6,False,False,Medium Forb/Herb,6,0.0430327868852459
Control,2,6,False,False,Medium Non-tufted grass/sedge,0,0.06147540983606557
Control,2,6,False,False,Medium Non-tufted grass/sedge,3,0.030737704918032786
Control,2,6,False,False,Medium Non-tufted grass/sedge,6,0.012295081967213115
Control,2,6,False,False,Medium Tufted grass/sedge,0,0.0020491803278688526
Control,2,6,False,False,Medium Tufted grass/sedge,3,0.0020491803278688526
Control,2,6,False,False,Medium Tufted grass/sedge,6,0.0020491803278688526
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,0,0.19057377049180327
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,3,0.03278688524590164
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,6,0.018442622950819672
Control,2,6,False,False,Shrub,0,0.0020491803278688526
Control,2,6,False,False,Shrub,3,0.0
Control,2,6,False,False,Shrub,6,0.0
Control,2,6,False,False,Small Forb/Herb,0,0.0020491803278688526
Control,2,6,False,False,Small Forb/Herb,3,0.0
Control,2,6,False,False,Small Forb/Herb,6,0.0
Control,2,6,False,False,Small Non-tufted grass/sedge,0,0.0020491803278688526
Control,2,6,False,False,Small Non-tufted grass/sedge,3,0.0
Control,2,6,False,False,Small Non-tufted grass/sedge,6,0.012295081967213115
Control,2,6,False,False,Small Tufted grass/sedge,0,0.012295081967213115
Control,2,6,False,False,Small Tufted grass/sedge,3,0.0020491803278688526
Control,2,6,False,False,Small Tufted grass/sedge,6,0.00819672131147541
Control,2,7,False,False,Climber,0,0.002053388090349076
Control,2,7,False,False,Climber,3,0.012320328542094456
Control,2,7,False,False,Climber,6,0.0
Control,2,7,False,False,Large Forb/Herb,0,0.26283367556468173
Control,2,7,False,False,Large Forb/Herb,3,0.21149897330595482
Control,2,7,False,False,Large Forb/Herb,6,0.2299794661190965
Control,2,7,False,False,Medium Forb/Herb,0,0.022587268993839837
Control,2,7,False,False,Medium Forb/Herb,3,0.08418891170431211
Control,2,7,False,False,Medium Forb/Herb,6,0.028747433264887063
Control,2,7,False,False,Medium Non-tufted grass/sedge,0,0.030800821355236138
Control,2,7,False,False,Medium Non-tufted grass/sedge,3,0.012320328542094456
Control,2,7,False,False,Medium Non-tufted grass/sedge,6,0.012320328542094456
Control,2,7,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,7,False,False,Medium Tufted grass/sedge,3,0.012320328542094456
Control,2,7,False,False,Medium Tufted grass/sedge,6,0.002053388090349076
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,0,0.004106776180698152
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,3,0.014373716632443531
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,6,0.006160164271047228
Control,2,7,False,False,Small Forb/Herb,0,0.002053388090349076
Control,2,7,False,False,Small Forb/Herb,3,0.0
Control,2,7,False,False,Small Forb/Herb,6,0.0
Control,2,7,False,False,Small Non-tufted grass/sedge,0,0.002053388090349076
Control,2,7,False,False,Small Non-tufted grass/sedge,3,0.012320328542094456
Control,2,7,False,False,Small Non-tufted grass/sedge,6,0.012320328542094456
Control,2,7,False,False,Small Tufted grass/sedge,0,0.01642710472279261
Control,2,7,False,False,Small Tufted grass/sedge,3,0.0
Control,2,7,False,False,Small Tufted grass/sedge,6,0.006160164271047228
Control,2,8,False,False,Large Forb/Herb,0,0.2222222222222222
Control,2,8,False,False,Large Forb/Herb,3,0.28019323671497587
Control,2,8,False,False,Large Forb/Herb,6,0.27053140096618356
Control,2,8,False,False,Medium Forb/Herb,0,0.028985507246376812
Control,2,8,False,False,Medium Forb/Herb,3,0.04106280193236715
Control,2,8,False,False,Medium Forb/Herb,6,0.012077294685990338
Control,2,8,False,False,Medium Non-tufted grass/sedge,0,0.014492753623188406
Control,2,8,False,False,Medium Non-tufted grass/sedge,3,0.014492753623188406
Control,2,8,False,False,Medium Non-tufted grass/sedge,6,0.014492753623188406
Control,2,8,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,8,False,False,Medium Tufted grass/sedge,3,0.0024154589371980675
Control,2,8,False,False,Medium Tufted grass/sedge,6,0.0024154589371980675
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,0,0.007246376811594203
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,3,0.016908212560386472
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,6,0.016908212560386472
Control,2,8,False,False,Small Non-tufted grass/sedge,0,0.0024154589371980675
Control,2,8,False,False,Small Non-tufted grass/sedge,3,0.014492753623188406
Control,2,8,False,False,Small Non-tufted grass/sedge,6,0.014492753623188406
Control,2,8,False,False,Small Tufted grass/sedge,0,0.0024154589371980675
Control,2,8,False,False,Small Tufted grass/sedge,3,0.0024154589371980675
Control,2,8,False,False,Small Tufted grass/sedge,6,0.0
Control,2,8,False,False,Tufted Ground Fern,0,0.0024154589371980675
Control,2,8,False,False,Tufted Ground Fern,3,0.014492753623188406
Control,2,8,False,False,Tufted Ground Fern,6,0.0024154589371980675
Control,2,9,False,False,Climber,0,0.00303951367781155
Control,2,9,False,False,Climber,3,0.0
Control,2,9,False,False,Climber,6,0.00303951367781155
Control,2,9,False,False,Large Forb/Herb,0,0.3252279635258359
Control,2,9,False,False,Large Forb/Herb,3,0.02127659574468085
Control,2,9,False,False,Large Forb/Herb,6,0.3373860182370821
Control,2,9,False,False,Medium Forb/Herb,0,0.00911854103343465
Control,2,9,False,False,Medium Forb/Herb,3,0.00303951367781155
Control,2,9,False,False,Medium Forb/Herb,6,0.02127659574468085
Control,2,9,False,False,Medium Non-tufted grass/sedge,0,0.0911854103343465
Control,2,9,False,False,Medium Non-tufted grass/sedge,3,0.0
Control,2,9,False,False,Medium Non-tufted grass/sedge,6,0.00303951367781155
Control,2,9,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,9,False,False,Medium Tufted grass/sedge,3,0.00303951367781155
Control,2,9,False,False,Medium Tufted grass/sedge,6,0.00303951367781155
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,0,0.0668693009118541
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,6,0.0060790273556231
Control,2,9,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,9,False,False,Small Non-tufted grass/sedge,3,0.00303951367781155
Control,2,9,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,9,False,False,Small Tufted grass/sedge,0,0.0911854103343465
Control,2,9,False,False,Small Tufted grass/sedge,3,0.00303951367781155
Control,2,9,False,False,Small Tufted grass/sedge,6,0.0060790273556231
Control,2,10,False,False,Climber,0,0.0
Control,2,10,False,False,Climber,3,0.0
Control,2,10,False,False,Climber,6,0.002840909090909091
Control,2,10,False,False,Large Forb/Herb,0,0.21306818181818182
Control,2,10,False,False,Large Forb/Herb,3,0.2215909090909091
Control,2,10,False,False,Large Forb/Herb,6,0.28125
Control,2,10,False,False,Medium Forb/Herb,0,0.017045454545454544
Control,2,10,False,False,Medium Forb/Herb,3,0.07386363636363637
Control,2,10,False,False,Medium Forb/Herb,6,0.04261363636363636
Control,2,10,False,False,Medium Non-tufted grass/sedge,0,0.017045454545454544
Control,2,10,False,False,Medium Non-tufted grass/sedge,3,0.017045454545454544
Control,2,10,False,False,Medium Non-tufted grass/sedge,6,0.002840909090909091
Control,2,10,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,10,False,False,Medium Tufted grass/sedge,3,0.017045454545454544
Control,2,10,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,0,0.011363636363636364
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,3,0.03409090909090909
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,6,0.022727272727272728
Control,2,10,False,False,Small Non-tufted grass/sedge,0,0.002840909090909091
Control,2,10,False,False,Small Non-tufted grass/sedge,3,0.0
Control,2,10,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,10,False,False,Small Tufted grass/sedge,0,0.017045454545454544
Control,2,10,False,False,Small Tufted grass/sedge,3,0.002840909090909091
Control,2,10,False,False,Small Tufted grass/sedge,6,0.002840909090909091
Control,2,11,False,False,Climber,0,0.0
Control,2,11,False,False,Climber,3,0.0021598272138228943
Control,2,11,False,False,Climber,6,0.0021598272138228943
Control,2,11,False,False,Large Forb/Herb,0,0.20950323974082075
Control,2,11,False,False,Large Forb/Herb,3,0.265658747300216
Control,2,11,False,False,Large Forb/Herb,6,0.19654427645788336
Control,2,11,False,False,Medium Forb/Herb,0,0.023758099352051837
Control,2,11,False,False,Medium Forb/Herb,3,0.028077753779697623
Control,2,11,False,False,Medium Forb/Herb,6,0.01511879049676026
Control,2,11,False,False,Medium Non-tufted grass/sedge,0,0.06479481641468683
Control,2,11,False,False,Medium Non-tufted grass/sedge,3,0.032397408207343416
Control,2,11,False,False,Medium Non-tufted grass/sedge,6,0.03455723542116631
Control,2,11,False,False,Medium Tufted grass/sedge,0,0.01511879049676026
Control,2,11,False,False,Medium Tufted grass/sedge,3,0.01511879049676026
Control,2,11,False,False,Medium Tufted grass/sedge,6,0.0021598272138228943
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,0,0.028077753779697623
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0367170626349892
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,6,0.008639308855291577
Control,2,11,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,11,False,False,Small Non-tufted grass/sedge,3,0.012958963282937365
Control,2,11,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,11,False,False,Small Tufted grass/sedge,0,0.004319654427645789
Control,2,11,False,False,Small Tufted grass/sedge,3,0.0021598272138228943
Control,2,11,False,False,Small Tufted grass/sedge,6,0.0
Control,2,12,False,False,Climber,0,0.0011049723756906078
Control,2,12,False,False,Climber,3,0.0022099447513812156
Control,2,12,False,False,Climber,6,0.0
Control,2,12,False,False,Large Forb/Herb,0,0.16795580110497238
Control,2,12,False,False,Large Forb/Herb,3,0.3580110497237569
Control,2,12,False,False,Large Forb/Herb,6,0.15138121546961325
Control,2,12,False,False,Large Tufted grass/sedge,0,0.0011049723756906078
Control,2,12,False,False,Large Tufted grass/sedge,3,0.0
Control,2,12,False,False,Large Tufted grass/sedge,6,0.0
Control,2,12,False,False,Medium Forb/Herb,0,0.0077348066298342545
Control,2,12,False,False,Medium Forb/Herb,3,0.026519337016574586
Control,2,12,False,False,Medium Forb/Herb,6,0.012154696132596685
Control,2,12,False,False,Medium Non-tufted grass/sedge,0,0.055248618784530384
Control,2,12,False,False,Medium Non-tufted grass/sedge,3,0.013259668508287293
Control,2,12,False,False,Medium Non-tufted grass/sedge,6,0.0077348066298342545
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,0,0.112707182320442
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,3,0.03535911602209945
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,6,0.0033149171270718232
Control,2,12,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,12,False,False,Small Non-tufted grass/sedge,3,0.0022099447513812156
Control,2,12,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,12,False,False,Small Shrub,0,0.0
Control,2,12,False,False,Small Shrub,3,0.0022099447513812156
Control,2,12,False,False,Small Shrub,6,0.0
Control,2,12,False,False,Small Tufted grass/sedge,0,0.03314917127071823
Control,2,12,False,False,Small Tufted grass/sedge,3,0.0
Control,2,12,False,False,Small Tufted grass/sedge,6,0.0066298342541436465
Control,2,13,False,False,Large Forb/Herb,0,0.054187192118226604
Control,2,13,False,False,Large Forb/Herb,3,0.17405582922824303
Control,2,13,False,False,Large Forb/Herb,6,0.19047619047619047
Control,2,13,False,False,Medium Forb/Herb,0,0.006568144499178982
Control,2,13,False,False,Medium Forb/Herb,3,0.022988505747126436
Control,2,13,False,False,Medium Forb/Herb,6,0.006568144499178982
Control,2,13,False,False,Medium Non-tufted grass/sedge,0,0.04926108374384237
Control,2,13,False,False,Medium Non-tufted grass/sedge,3,0.08210180623973727
Control,2,13,False,False,Medium Non-tufted grass/sedge,6,0.009852216748768473
Control,2,13,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,13,False,False,Medium Tufted grass/sedge,3,0.0016420361247947454
Control,2,13,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,13,False,False,Prostrate or Mat-forming Forb/Herb,0,0.08210180623973727
Control,2,13,False,False,Prostrate or Mat-forming Forb/Herb,3,0.019704433497536946
Control,2,13,False,False,Prostrate or Mat-forming Forb/Herb,6,0.013136288998357963
Control,2,13,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,13,False,False,Small Non-tufted grass/sedge,3,0.009852216748768473
Control,2,13,False,False,Small Non-tufted grass/sedge,6,0.0016420361247947454
Control,2,13,False,False,Small Tufted grass/sedge,0,0.21510673234811165
Control,2,13,False,False,Small Tufted grass/sedge,3,0.059113300492610835
Control,2,13,False,False,Small Tufted grass/sedge,6,0.0016420361247947454
Control,2,14,False,False,Large Forb/Herb,0,0.24146981627296588
Control,2,14,False,False,Large Forb/Herb,3,0.27034120734908135
Control,2,14,False,False,Large Forb/Herb,6,0.2545931758530184
Control,2,14,False,False,Large Tufted grass/sedge,0,0.0
Control,2,14,False,False,Large Tufted grass/sedge,3,0.0026246719160104987
Control,2,14,False,False,Large Tufted grass/sedge,6,0.0
Control,2,14,False,False,Medium Forb/Herb,0,0.013123359580052493
Control,2,14,False,False,Medium Forb/Herb,3,0.04461942257217848
Control,2,14,False,False,Medium Forb/Herb,6,0.013123359580052493
Control,2,14,False,False,Medium Non-tufted grass/sedge,0,0.0026246719160104987
Control,2,14,False,False,Medium Non-tufted grass/sedge,3,0.015748031496062992
Control,2,14,False,False,Medium Non-tufted grass/sedge,6,0.0026246719160104987
Control,2,14,False,False,Medium Tufted grass/sedge,0,0.0026246719160104987
Control,2,14,False,False,Medium Tufted grass/sedge,3,0.015748031496062992
Control,2,14,False,False,Medium Tufted grass/sedge,6,0.0026246719160104987
Control,2,14,False,False,Non-tufted Ground Fern,0,0.0
Control,2,14,False,False,Non-tufted Ground Fern,3,0.015748031496062992
Control,2,14,False,False,Non-tufted Ground Fern,6,0.0
Control,2,14,False,False,Prostrate or Mat-forming Forb/Herb,0,0.01837270341207349
Control,2,14,False,False,Prostrate or Mat-forming Forb/Herb,3,0.01837270341207349
Control,2,14,False,False,Prostrate or Mat-forming Forb/Herb,6,0.02099737532808399
Control,2,14,False,False,Small Non-tufted grass/sedge,0,0.0026246719160104987
Control,2,14,False,False,Small Non-tufted grass/sedge,3,0.0026246719160104987
Control,2,14,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,14,False,False,Small Tufted grass/sedge,0,0.01837270341207349
Control,2,14,False,False,Small Tufted grass/sedge,3,0.015748031496062992
Control,2,14,False,False,Small Tufted grass/sedge,6,0.005249343832020997
Control,2,15,False,False,Climber,0,0.0
Control,2,15,False,False,Climber,3,0.005988023952095809
Control,2,15,False,False,Climber,6,0.0
Control,2,15,False,False,Large Forb/Herb,0,0.04790419161676647
Control,2,15,False,False,Large Forb/Herb,3,0.2694610778443114
Control,2,15,False,False,Large Forb/Herb,6,0.31137724550898205
Control,2,15,False,False,Medium Forb/Herb,0,0.04790419161676647
Control,2,15,False,False,Medium Forb/Herb,3,0.04790419161676647
Control,2,15,False,False,Medium Forb/Herb,6,0.041916167664670656
Control,2,15,False,False,Medium Non-tufted grass/sedge,0,0.005988023952095809
Control,2,15,False,False,Medium Non-tufted grass/sedge,3,0.005988023952095809
Control,2,15,False,False,Medium Non-tufted grass/sedge,6,0.03592814371257485
Control,2,15,False,False,Medium Tufted grass/sedge,0,0.005988023952095809
Control,2,15,False,False,Medium Tufted grass/sedge,3,0.03592814371257485
Control,2,15,False,False,Medium Tufted grass/sedge,6,0.011976047904191617
Control,2,15,False,False,Non-tufted Ground Fern,0,0.0
Control,2,15,False,False,Non-tufted Ground Fern,3,0.03592814371257485
Control,2,15,False,False,Non-tufted Ground Fern,6,0.005988023952095809
Control,2,15,False,False,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,15,False,False,Prostrate or Mat-forming Forb/Herb,3,0.005988023952095809
Control,2,15,False,False,Prostrate or Mat-forming Forb/Herb,6,0.005988023952095809
Control,2,15,False,False,Small Non-tufted grass/sedge,0,0.005988023952095809
Control,2,15,False,False,Small Non-tufted grass/sedge,3,0.03592814371257485
Control,2,15,False,False,Small Non-tufted grass/sedge,6,0.005988023952095809
Control,2,15,False,False,Small Tufted grass/sedge,0,0.005988023952095809
Control,2,15,False,False,Small Tufted grass/sedge,3,0.005988023952095809
Control,2,15,False,False,Small Tufted grass/sedge,6,0.011976047904191617
Control,2,16,False,False,Large Forb/Herb,0,0.10588235294117647
Control,2,16,False,False,Large Forb/Herb,3,0.3352941176470588
Control,2,16,False,False,Large Forb/Herb,6,0.18823529411764706
Control,2,16,False,False,Medium Forb/Herb,0,0.029411764705882353
Control,2,16,False,False,Medium Forb/Herb,3,0.023529411764705882
Control,2,16,False,False,Medium Forb/Herb,6,0.041176470588235294
Control,2,16,False,False,Medium Non-tufted grass/sedge,0,0.0058823529411764705
Control,2,16,False,False,Medium Non-tufted grass/sedge,3,0.0058823529411764705
Control,2,16,False,False,Medium Non-tufted grass/sedge,6,0.0058823529411764705
Control,2,16,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,16,False,False,Medium Tufted grass/sedge,3,0.03529411764705882
Control,2,16,False,False,Medium Tufted grass/sedge,6,0.0058823529411764705
Control,2,16,False,False,Non-tufted Ground Fern,0,0.0
Control,2,16,False,False,Non-tufted Ground Fern,3,0.08823529411764706
Control,2,16,False,False,Non-tufted Ground Fern,6,0.0
Control,2,16,False,False,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,16,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0058823529411764705
Control,2,16,False,False,Prostrate or Mat-forming Forb/Herb,6,0.041176470588235294
Control,2,16,False,False,Small Non-tufted grass/sedge,0,0.0058823529411764705
Control,2,16,False,False,Small Non-tufted grass/sedge,3,0.03529411764705882
Control,2,16,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,16,False,False,Small Tufted grass/sedge,0,0.041176470588235294
Control,2,16,False,False,Small Tufted grass/sedge,3,0.0
Control,2,16,False,False,Small Tufted grass/sedge,6,0.0
Control,4,1,False,True,Climber,0,0.0015873015873015873
Control,4,1,False,True,Climber,3,0.009523809523809525
Control,4,1,False,True,Climber,6,0.0
