Treatment,Plot Number,Quadrat Number,Fenced,Gap,Life Form,Species Name,0,3,6
Control,2,2,False,False,Small Tufted grass/sedge,Luzula meridionalis,0,1,0
Control,2,2,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,2,2,False,False,Small Tufted grass/sedge,Rytidosperma spp.,7,0,0
Control,2,2,False,False,Tufted Ground Fern,Cheilanthes austrotenuifolia,0,1,0
Control,2,3,False,False,Climber,Glycine clandestina,0,0,0
Control,2,3,False,False,Large Forb/Herb,Arthropodium spp,0,0,0
Control,2,3,False,False,Large Forb/Herb,Conyza sumatrensis,0,6,0
Control,2,3,False,False,Large Forb/Herb,Dipodium spp,0,0,0
Control,2,3,False,False,Large Forb/Herb,Lomandra longifolia,55,90,45
Control,2,3,False,False,Large Forb/Herb,Senecio pinnatifolius,0,0,0
Control,2,3,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,2,3,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,2,3,False,False,Medium Forb/Herb,Centaurium erythraea,0,6,0
Control,2,3,False,False,Medium Forb/Herb,Cerastium glomeratum,0,0,0
Control,2,3,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,3,False,False,Medium Forb/Herb,Daucus glochidiatus,0,0,0
Control,2,3,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,2,3,False,False,Medium Forb/Herb,Geranium sp.,0,3,0
Control,2,3,False,False,Medium Forb/Herb,Geranium spp,0,3,0
Control,2,3,False,False,Medium Forb/Herb,Hydrocotyle foveolata,0,0,0
Control,2,3,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,2,3,False,False,Medium Forb/Herb,Hypochaeris glabra,0,0,0
Control,2,3,False,False,Medium Forb/Herb,Lagenophora spp,0,7,0
Control,2,3,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,2,3,False,False,Medium Forb/Herb,Oxalis sp 2.,0,1,0
Control,2,3,False,False,Medium Forb/Herb,Poranthera microphylla,0,1,0
Control,2,3,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,2,3,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,3,6,3
Control,2,3,False,False,Medium Tufted grass/sedge,Imperata cylindrica,0,1,0
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,3
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,15,30,0
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,2,3,False,False,Small Non-tufted grass/sedge,Aira spp.,0,6,0
Control,2,3,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,2,3,False,False,Small Tufted grass/sedge,Rytidosperma spp.,25,0,3
Control,2,4,False,False,Climber,Glycine clandestina,0,3,0
Control,2,4,False,False,Large Forb/Herb,Arthropodium spp,0,0,0
Control,2,4,False,False,Large Forb/Herb,Conyza sumatrensis,0,3,0
Control,2,4,False,False,Large Forb/Herb,Lomandra longifolia,25,15,35
Control,2,4,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,2,4,False,False,Large Forb/Herb,Tricoryne elatior,0,0,0
Control,2,4,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,2,4,False,False,Medium Forb/Herb,Centaurium erythraea,0,7,0
Control,2,4,False,False,Medium Forb/Herb,Daucus glochidiatus,0,3,0
Control,2,4,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,2,4,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,2,4,False,False,Medium Forb/Herb,Hypochaeris radicata,0,0,0
Control,2,4,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,2,4,False,False,Medium Forb/Herb,Lagenophora spp,0,0,3
Control,2,4,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,2,4,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,3,7,3
Control,2,4,False,False,Medium Tufted grass/sedge,Imperata cylindrica,0,0,0
Control,2,4,False,False,Medium Tufted grass/sedge,Poa spp,3,7,0
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,3
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,7,0,0
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,2,4,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,0
Control,2,4,False,False,Small Tufted grass/sedge,Briza minor,3,0,0
Control,2,4,False,False,Small Tufted grass/sedge,Rytidosperma spp.,3,0,0
Control,2,5,False,False,Climber,Glycine clandestina,0,0,0
Control,2,5,False,False,Large Forb/Herb,Lomandra longifolia,35,25,45
Control,2,5,False,False,Large Forb/Herb,Senecio spp,0,3,3
Control,2,5,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,2,5,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,5,False,False,Medium Forb/Herb,Daucus glochidiatus,0,0,0
Control,2,5,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,2,5,False,False,Medium Forb/Herb,Hypochaeris glabra,0,0,0
Control,2,5,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,2,5,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,2,5,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,2,5,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,15,3,0
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,Cymbonotis sp,0,0,0
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,0,0
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,3
Control,2,5,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,3
Control,2,5,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,2,5,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,2,5,False,False,Small Tufted grass/sedge,Rytidosperma spp.,25,3,0
Control,2,6,False,False,Climber,Glycine clandestina,0,0,0
Control,2,6,False,False,Large Forb/Herb,Arthropodium spp,0,0,0
Control,2,6,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,2,6,False,False,Large Forb/Herb,Lomandra longifolia,0,55,55
Control,2,6,False,False,Large Forb/Herb,Senecio spp,3,0,0
Control,2,6,False,False,Large Forb/Herb,Sonchus spp,0,0,0
Control,2,6,False,False,Large Forb/Herb,Tricoryne elatior,0,0,0
Control,2,6,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,2,6,False,False,Medium Forb/Herb,Centaurium erythraea,0,7,0
Control,2,6,False,False,Medium Forb/Herb,Cerastium glomeratum,0,0,0
Control,2,6,False,False,Medium Forb/Herb,Cotula australis,0,0,3
Control,2,6,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,2,6,False,False,Medium Forb/Herb,Geranium sp.,0,0,0
Control,2,6,False,False,Medium Forb/Herb,Gnaphalium sp,0,0,0
Control,2,6,False,False,Medium Forb/Herb,Hydrocotyle foveolata,0,0,0
Control,2,6,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,2,6,False,False,Medium Forb/Herb,Hypochaeris glabra,0,0,3
Control,2,6,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,2,6,False,False,Medium Forb/Herb,Lagenophora spp,0,3,0
Control,2,6,False,False,Medium Forb/Herb,Oxalis sp 2.,0,3,0
Control,2,6,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,2,6,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,2,6,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,15,7,3
Control,2,6,False,False,Medium Tufted grass/sedge,Austrostipa scabra,0,0,0
Control,2,6,False,False,Medium Tufted grass/sedge,Poa spp,0,0,0
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,3
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,Cymbonotis sp,0,0,0
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,Desmodium gunnii,0,0,0
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,45,7,0
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,Oxalis sp (weed),0,0,0
Control,2,6,False,False,Shrub,Baumea sp,0,0,0
Control,2,6,False,False,Small Forb/Herb,Corybas sp.,0,0,0
Control,2,6,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,3
Control,2,6,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,2,6,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,2,6,False,False,Small Tufted grass/sedge,Rytidosperma spp.,3,0,0
Control,2,6,False,False,Small Tufted grass/sedge,Schoenus spp,0,0,0
Control,2,7,False,False,Climber,Glycine clandestina,0,3,0
Control,2,7,False,False,Large Forb/Herb,Arthropodium spp,0,0,0
Control,2,7,False,False,Large Forb/Herb,Conyza sumatrensis,7,3,0
Control,2,7,False,False,Large Forb/Herb,Lomandra longifolia,55,45,55
Control,2,7,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,2,7,False,False,Large Forb/Herb,Sonchus spp,0,3,0
Control,2,7,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,2,7,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,2,7,False,False,Medium Forb/Herb,Centaurium erythraea,0,7,0
Control,2,7,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,7,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,2,7,False,False,Medium Forb/Herb,Geranium sp.,0,0,0
Control,2,7,False,False,Medium Forb/Herb,Geranium spp,0,3,0
Control,2,7,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,2,7,False,False,Medium Forb/Herb,Hypochaeris glabra,0,0,0
Control,2,7,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,2,7,False,False,Medium Forb/Herb,Lagenophora spp,0,3,3
Control,2,7,False,False,Medium Forb/Herb,Laxmannia gracilis,0,0,0
Control,2,7,False,False,Medium Forb/Herb,Poranthera microphylla,3,3,0
Control,2,7,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,2,7,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,7,3,3
Control,2,7,False,False,Medium Tufted grass/sedge,Imperata cylindrica,0,3,0
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,Desmodium gunnii,0,0,0
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,3,0
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,2,7,False,False,Small Forb/Herb,Corybas sp.,0,0,0
Control,2,7,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,3
Control,2,7,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,2,7,False,False,Small Tufted grass/sedge,Carex spp,0,0,0
Control,2,7,False,False,Small Tufted grass/sedge,Luzula meridionalis,0,0,0
Control,2,7,False,False,Small Tufted grass/sedge,Rytidosperma caespitosum,0,0,0
Control,2,7,False,False,Small Tufted grass/sedge,Rytidosperma spp.,3,0,0
Control,2,7,False,False,Small Tufted grass/sedge,Schoenus spp,0,0,0
Control,2,8,False,False,Large Forb/Herb,Arthropodium spp,0,0,0
Control,2,8,False,False,Large Forb/Herb,Lomandra longifolia,45,55,55
Control,2,8,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,2,8,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,2,8,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,2,8,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,8,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,2,8,False,False,Medium Forb/Herb,Gnaphalium sp,0,0,0
Control,2,8,False,False,Medium Forb/Herb,Hydrocotyle foveolata,0,0,0
Control,2,8,False,False,Medium Forb/Herb,Hypochaeris glabra,0,0,0
Control,2,8,False,False,Medium Forb/Herb,Hypochaeris spp,0,7,0
Control,2,8,False,False,Medium Forb/Herb,Lagenophora spp,3,0,0
Control,2,8,False,False,Medium Forb/Herb,Laxmannia gracilis,0,0,0
Control,2,8,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,2,8,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,3,3,3
Control,2,8,False,False,Medium Tufted grass/sedge,Imperata cylindrica,0,0,0
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,3
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,3,0
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,2,8,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,3
Control,2,8,False,False,Small Tufted grass/sedge,Rytidosperma spp.,0,0,0
Control,2,8,False,False,Tufted Ground Fern,Cheilanthes austrotenuifolia,0,3,0
Control,2,9,False,False,Climber,Glycine clandestina,0,0,0
Control,2,9,False,False,Large Forb/Herb,Arthropodium spp,0,0,0
Control,2,9,False,False,Large Forb/Herb,Conyza sumatrensis,7,0,0
Control,2,9,False,False,Large Forb/Herb,Lomandra longifolia,45,0,55
Control,2,9,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,2,9,False,False,Large Forb/Herb,Sonchus spp,0,0,0
Control,2,9,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,2,9,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,2,9,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,2,9,False,False,Medium Forb/Herb,Cerastium glomeratum,0,0,0
Control,2,9,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,9,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,2,9,False,False,Medium Forb/Herb,Hypochaeris glabra,0,0,0
Control,2,9,False,False,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,2,9,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,2,9,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,15,0,0
Control,2,9,False,False,Medium Tufted grass/sedge,Imperata cylindrica,0,0,0
Control,2,9,False,False,Medium Tufted grass/sedge,Poa spp,0,0,0
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,7,0,0
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,3,0,0
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,Oxalis sp (weed),0,0,0
Control,2,9,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,0
Control,2,9,False,False,Small Tufted grass/sedge,Rytidosperma caespitosum,0,0,0
Control,2,9,False,False,Small Tufted grass/sedge,Rytidosperma spp.,15,0,0
Control,2,10,False,False,Climber,Glycine clandestina,0,0,0
Control,2,10,False,False,Large Forb/Herb,Arthropodium spp,0,0,0
Control,2,10,False,False,Large Forb/Herb,Arthropodium strictum,0,0,0
Control,2,10,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,2,10,False,False,Large Forb/Herb,Dipodium punctatum,0,0,0
Control,2,10,False,False,Large Forb/Herb,Dipodium spp,0,0,0
Control,2,10,False,False,Large Forb/Herb,Lomandra longifolia,35,35,45
Control,2,10,False,False,Large Forb/Herb,Senecio spp,0,3,3
Control,2,10,False,False,Large Forb/Herb,Sonchus spp,0,0,0
Control,2,10,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,2,10,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,2,10,False,False,Medium Forb/Herb,Centaurium erythraea,0,3,0
Control,2,10,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,10,False,False,Medium Forb/Herb,Einadia nutans,0,3,3
Control,2,10,False,False,Medium Forb/Herb,Gnaphalium sp,0,0,0
Control,2,10,False,False,Medium Forb/Herb,Hypochaeris radicata,0,0,0
Control,2,10,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,2,10,False,False,Medium Forb/Herb,Lomandra filiformis,0,3,3
Control,2,10,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,2,10,False,False,Medium Forb/Herb,Scuttelaria sp,0,0,0
Control,2,10,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,3,3,0
Control,2,10,False,False,Medium Tufted grass/sedge,Poa spp,0,3,0
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,3
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,Cymbonotis sp,0,0,0
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,3,0
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,3,0
Control,2,10,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,0
Control,2,10,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,2,10,False,False,Small Tufted grass/sedge,Rytidosperma spp.,3,0,0
Control,2,11,False,False,Climber,Glycine clandestina,0,0,0
Control,2,11,False,False,Large Forb/Herb,Arthropodium spp,0,0,0
Control,2,11,False,False,Large Forb/Herb,Conyza sumatrensis,3,3,0
Control,2,11,False,False,Large Forb/Herb,Dipodium punctatum,0,0,0
Control,2,11,False,False,Large Forb/Herb,Lomandra longifolia,45,55,45
Control,2,11,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,2,11,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,2,11,False,False,Medium Forb/Herb,Bulbine bulbosa,0,0,0
Control,2,11,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,2,11,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,11,False,False,Medium Forb/Herb,Geranium sp.,0,0,0
Control,2,11,False,False,Medium Forb/Herb,Geranium spp,0,3,0
Control,2,11,False,False,Medium Forb/Herb,Lagenophora spp,3,3,0
Control,2,11,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,2,11,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,2,11,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,2,11,False,False,Medium Non-tufted grass/sedge,Entolasia marginata,0,0,7
Control,2,11,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,15,7,0
Control,2,11,False,False,Medium Tufted grass/sedge,Imperata cylindrica,0,0,0
Control,2,11,False,False,Medium Tufted grass/sedge,Poa spp,3,3,0
Control,2,11,False,False,Medium Tufted grass/sedge,Themeda triandra,0,0,0
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,Cymbonotis sp,0,0,0
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,3,7,0
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,3,0,0
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,Oxalis sp (weed),0,0,0
Control,2,11,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,0
Control,2,11,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,2,11,False,False,Small Tufted grass/sedge,Luzula meridionalis,0,0,0
Control,2,11,False,False,Small Tufted grass/sedge,Rytidosperma spp.,0,0,0
Control,2,12,False,False,Climber,Glycine clandestina,0,1,0
Control,2,12,False,False,Large Forb/Herb,Arthropodium spp,0,0,0
Control,2,12,False,False,Large Forb/Herb,Conyza sumatrensis,0,6,0
Control,2,12,False,False,Large Forb/Herb,Lomandra longifolia,75,150,65
Control,2,12,False,False,Large Forb/Herb,Senecio spp,0,6,3
Control,2,12,False,False,Large Tufted grass/sedge,Juncus spp,0,0,0
Control,2,12,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,2,12,False,False,Medium Forb/Herb,Centaurium erythraea,0,6,0
Control,2,12,False,False,Medium Forb/Herb,Cerastium glomeratum,0,0,0
Control,2,12,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,12,False,False,Medium Forb/Herb,Hydrocotyle foveolata,0,0,0
Control,2,12,False,False,Medium Forb/Herb,Oxalis (native),0,0,3
Control,2,12,False,False,Medium Forb/Herb,Scuttelaria sp,3,6,0
Control,2,12,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,2,12,False,False,Medium Non-tufted grass/sedge,Entolasia marginata,0,0,3
Control,2,12,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,25,6,0
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,45,15,0
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,3,1,0
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,Oxalis sp (weed),3,0,0
Control,2,12,False,False,Small Non-tufted grass/sedge,Aira spp.,0,1,0
Control,2,12,False,False,Small Shrub,Pimelea humilis,0,1,0
Control,2,12,False,False,Small Tufted grass/sedge,Rytidosperma spp.,15,0,3
Control,2,13,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,2,13,False,False,Large Forb/Herb,Lomandra longifolia,15,45,55
Control,2,13,False,False,Large Forb/Herb,Senecio spp,0,7,3
