"","Time","Plot_number","Treatment","Quadrat_number","Quadrat_fenced","Quadrat_gap","Diversity_change"
"58","0-3",9,"Radial",26,"True","True",0.370872642897224
"59","0-3",9,"Radial",27,"False","True",-0.546124729694404
"60","0-3",9,"Radial",28,"True","True",0.34032544463661
"61","0-3",9,"Radial",29,"False","True",-0.264728801700755
"62","0-3",9,"Radial",30,"True","True",-1.70652264952871
"63","0-3",9,"Radial",31,"False","True",-0.396702440428559
"64","0-3",9,"Radial",32,"True","True",1.09963410766727
"65","0-3",10,"Gap",1,"False","False",0.979590685360177
"66","0-3",10,"Gap",2,"True","True",-0.063354698637349
"67","0-3",10,"Gap",3,"False","True",0.951660106010235
"68","0-3",10,"Gap",4,"True","False",0.97310428356352
"69","0-3",10,"Gap",5,"False","False",-0.461274462078107
"70","0-3",10,"Gap",6,"True","True",1.28282403600867
"71","0-3",10,"Gap",7,"False","True",-0.330641842225074
"72","0-3",10,"Gap",8,"True","True",1.18930180913156
"73","0-3",10,"Gap",9,"False","True",0.791889646151558
"74","0-3",10,"Gap",10,"True","False",0.21293057689601
"75","0-3",10,"Gap",11,"False","True",0.789128101673553
"76","0-3",10,"Gap",12,"True","True",0.927886918211177
"77","0-3",10,"Gap",13,"False","False",0.138368783349443
"78","0-3",10,"Gap",14,"True","False",1.28893032380186
"79","0-3",10,"Gap",15,"False","False",0.140090838000432
"80","0-3",10,"Gap",16,"True","True",-0.112895232429911
"81","0-3",10,"Gap",17,"False","False",-1.1118772109347
"82","0-3",10,"Gap",18,"True","False",0.115790897201566
"83","0-3",10,"Gap",19,"False","False",0.192245959135791
"84","0-3",10,"Gap",20,"True","True",0.680413590373381
"85","0-3",10,"Gap",21,"False","False",1.07505568153683
"86","0-3",10,"Gap",22,"True","True",0.890773963922439
"87","0-3",10,"Gap",23,"False","False",-0.606719647916584
"88","0-3",10,"Gap",24,"True","True",0.557112702427109
"89","0-3",10,"Gap",25,"False","True",0.50996375028274
"90","0-3",10,"Gap",26,"True","True",0.402779181374322
"91","0-3",10,"Gap",27,"False","False",0.57999791065981
"92","0-3",10,"Gap",28,"True","False",-0.129891246601562
"93","0-3",10,"Gap",29,"False","False",0.303191652478998
"94","0-3",10,"Gap",30,"True","True",-0.315860472791216
"95","0-3",10,"Gap",31,"False","True",0.65231569247924
"96","0-3",10,"Gap",32,"True","True",0.287375511471975
"97","0-3",12,"Gap",1,"False","False",0.333854067333269
"98","0-3",12,"Gap",2,"True","True",-0.748684267093406
"99","0-3",12,"Gap",3,"False","True",0.644310252603481
"100","0-3",12,"Gap",4,"True","True",0.430836077409128
"101","0-3",12,"Gap",5,"False","False",0.882629906958744
"102","0-3",12,"Gap",6,"True","True",1.57602990489951
"103","0-3",12,"Gap",7,"False","True",1.4486866116522
"104","0-3",12,"Gap",8,"True","False",0.876373150459462
"105","0-3",12,"Gap",9,"False","True",1.16030167580724
"106","0-3",12,"Gap",10,"True","True",-0.0111685108291226
"107","0-3",12,"Gap",11,"False","True",0.0717375256544386
"108","0-3",12,"Gap",12,"True","True",0.0370219419960569
"109","0-3",12,"Gap",13,"False","False",0.394193156326228
"110","0-3",12,"Gap",14,"True","True",-0.0610573122981009
"111","0-3",12,"Gap",15,"False","False",1.0273007951707
"112","0-3",12,"Gap",16,"True","True",0.405048583155924
"113","0-3",12,"Gap",17,"False","True",-0.66379309232071
"114","0-3",12,"Gap",18,"True","True",-0.230228261006938
"115","0-3",12,"Gap",19,"False","True",0.568459050927208
"116","0-3",12,"Gap",20,"True","True",0.973508535179705
"117","0-3",12,"Gap",21,"False","False",0.351725048670722
"118","0-3",12,"Gap",22,"True","False",0.0990399217202111
"119","0-3",12,"Gap",23,"False","True",0.977683643140577
"120","0-3",12,"Gap",24,"True","False",0.412626883525403
"121","0-3",12,"Gap",25,"False","True",-0.392258300786771
"122","0-3",12,"Gap",26,"True","False",0.570992205540331
"123","0-3",12,"Gap",27,"False","False",1.29615986462403
"124","0-3",12,"Gap",28,"True","True",0.00986236921183914
"125","0-3",12,"Gap",29,"False","False",1.0532559965477
"126","0-3",12,"Gap",30,"True","False",1.04336704414158
"127","0-3",12,"Gap",31,"False","False",-0.120107938521034
"128","0-3",12,"Gap",32,"True","True",0.495755025925319
"129","3-6",7,"Radial",1,"False","False",0.367316208486115
"130","3-6",7,"Radial",2,"True","True",1.28531629586522
"131","3-6",7,"Radial",3,"False","True",-0.463095428925955
"132","3-6",7,"Radial",4,"True","True",-0.290367999185624
"133","3-6",7,"Radial",5,"False","False",0.045950126348993
"134","3-6",7,"Radial",6,"True","False",-1.17809798680679
"135","3-6",7,"Radial",7,"False","True",-0.797344396230528
"136","3-6",7,"Radial",8,"True","True",0.90673488954287
"137","3-6",7,"Radial",9,"False","False",-0.00734141162467372
"138","3-6",7,"Radial",10,"True","True",-0.19429102041929
"139","3-6",7,"Radial",11,"False","False",-0.955981969289825
"140","3-6",7,"Radial",12,"True","True",0.0678156266229386
"141","3-6",7,"Radial",13,"False","True",-0.91047240895122
"142","3-6",7,"Radial",14,"True","True",-0.164925725581343
"143","3-6",7,"Radial",15,"False","True",0.287446774322697
"144","3-6",7,"Radial",16,"True","False",-0.229391247760144
"145","3-6",7,"Radial",17,"False","False",-0.185886405381677
"146","3-6",7,"Radial",18,"True","True",-1.04522311836609
"147","3-6",7,"Radial",19,"False","True",-0.71518683276053
"148","3-6",7,"Radial",20,"True","True",-1.12264567303091
"149","3-6",7,"Radial",21,"False","False",-2.05868863082177
"150","3-6",7,"Radial",22,"True","False",-0.267096324758721
"151","3-6",7,"Radial",23,"False","False",0.683430085474987
"152","3-6",7,"Radial",24,"True","False",0.0587816578010156
"153","3-6",7,"Radial",25,"False","False",0.407217988461787
"154","3-6",7,"Radial",26,"True","True",-0.475906891056845
"155","3-6",7,"Radial",27,"False","True",0.0337181047528785
"156","3-6",7,"Radial",28,"True","True",0.12657694190233
"157","3-6",7,"Radial",29,"False","True",-0.741157890705046
"158","3-6",7,"Radial",30,"True","True",-0.898236270794516
"159","3-6",7,"Radial",31,"False","True",-0.172259507653075
"160","3-6",7,"Radial",32,"True","False",0.138122533938096
"161","3-6",9,"Radial",1,"False","True",-1.01885472294186
"162","3-6",9,"Radial",2,"True","True",-1.12201372516309
"163","3-6",9,"Radial",3,"False","True",-0.309484565234641
"164","3-6",9,"Radial",4,"True","True",-0.856026269553924
"165","3-6",9,"Radial",5,"False","True",-0.564168486070979
"166","3-6",9,"Radial",6,"True","True",0.0177297359007795
"167","3-6",9,"Radial",7,"False","True",-0.56061363443654
"168","3-6",9,"Radial",8,"True","True",-0.118096816715481
"169","3-6",9,"Radial",9,"False","True",-0.988999745477002
"170","3-6",9,"Radial",10,"True","False",-0.233881244360402
"171","3-6",9,"Radial",11,"False","True",-0.169483509608147
"172","3-6",9,"Radial",12,"True","True",-0.455700901076418
"173","3-6",9,"Radial",13,"False","True",-0.0342775648268137
"174","3-6",9,"Radial",14,"True","False",0.404306904963643
"175","3-6",9,"Radial",15,"False","False",-0.730529410276634
"176","3-6",9,"Radial",16,"True","True",-0.0750367644505465
"177","3-6",9,"Radial",17,"False","False",-0.0802906760137785
"178","3-6",9,"Radial",18,"True","True",-0.268612133179819
"179","3-6",9,"Radial",19,"False","True",0.134720914137513
"180","3-6",9,"Radial",20,"True","True",-0.792838696172387
"181","3-6",9,"Radial",21,"False","True",-0.586865980764274
"182","3-6",9,"Radial",22,"True","True",0.292196070845421
"183","3-6",9,"Radial",23,"False","True",-0.311740563055622
"184","3-6",9,"Radial",24,"True","True",-1.505579148599
"185","3-6",9,"Radial",25,"False","True",-0.43208777434684
"186","3-6",9,"Radial",26,"True","True",-1.24962026374685
"187","3-6",9,"Radial",27,"False","True",-1.17792847447517
"188","3-6",9,"Radial",28,"True","True",0.257926707389088
"189","3-6",9,"Radial",29,"False","True",-0.101484030774041
"190","3-6",9,"Radial",30,"True","True",-0.140843942597696
"191","3-6",9,"Radial",31,"False","True",0.146708805540414
"192","3-6",9,"Radial",32,"True","True",-1.62653247764663
"193","3-6",10,"Gap",1,"False","False",-0.339476135085166
"194","3-6",10,"Gap",2,"True","True",-0.235405234806423
"195","3-6",10,"Gap",3,"False","True",-0.974954991603866
"196","3-6",10,"Gap",4,"True","False",-0.823003611829513
"197","3-6",10,"Gap",5,"False","False",0.173396960452831
"198","3-6",10,"Gap",6,"True","True",-0.204382871290764
"199","3-6",10,"Gap",7,"False","True",-0.657533120539796
"200","3-6",10,"Gap",8,"True","True",-0.588392831269967
"201","3-6",10,"Gap",9,"False","True",0.380875753437718
"202","3-6",10,"Gap",10,"True","False",0.337421912139821
"203","3-6",10,"Gap",11,"False","True",-0.247456365589136
"204","3-6",10,"Gap",12,"True","True",-1.28783819976417
"205","3-6",10,"Gap",13,"False","False",0.212584354720393
"206","3-6",10,"Gap",14,"True","False",-0.167381651408563
"207","3-6",10,"Gap",15,"False","False",0.0314712452869343
"208","3-6",10,"Gap",16,"True","True",-0.466890580734198
"209","3-6",10,"Gap",17,"False","False",2.25516926287941
"210","3-6",10,"Gap",18,"True","False",-0.138145441059461
"211","3-6",10,"Gap",19,"False","False",-0.469600241870698
"212","3-6",10,"Gap",20,"True","True",-1.32130743573752
"213","3-6",10,"Gap",21,"False","False",-1.56696315323525
"214","3-6",10,"Gap",22,"True","True",-0.459052615148911
"215","3-6",10,"Gap",23,"False","False",0.383576096602374
"216","3-6",10,"Gap",24,"True","True",-0.86582831026966
"217","3-6",10,"Gap",25,"False","True",-0.287692820754991
"218","3-6",10,"Gap",26,"True","True",-0.34695331367426
"219","3-6",10,"Gap",27,"False","False",-1.42483306021677
"220","3-6",10,"Gap",28,"True","False",-0.291294512196539
"221","3-6",10,"Gap",29,"False","False",-0.505718263336937
"222","3-6",10,"Gap",30,"True","True",-0.476105847477718
"223","3-6",10,"Gap",31,"False","True",-1.58448393923385
"224","3-6",10,"Gap",32,"True","True",0.622876185941288
"225","3-6",12,"Gap",1,"False","False",-0.658403780563255
"226","3-6",12,"Gap",2,"True","True",-0.568323744000396
"227","3-6",12,"Gap",3,"False","True",-0.674870824236254
"228","3-6",12,"Gap",4,"True","True",-0.670463866323383
"229","3-6",12,"Gap",5,"False","False",-0.457076209486345
"230","3-6",12,"Gap",6,"True","True",-0.298120363011243
"231","3-6",12,"Gap",7,"False","True",-1.51636134479475
"232","3-6",12,"Gap",8,"True","False",-0.285583799766143
"233","3-6",12,"Gap",9,"False","True",-0.416506303278776
"234","3-6",12,"Gap",10,"True","True",0.236735717148668
"235","3-6",12,"Gap",11,"False","True",-1.01492941019224
"236","3-6",12,"Gap",12,"True","True",-0.788705962898576
"237","3-6",12,"Gap",13,"False","False",-0.588158251538272
"238","3-6",12,"Gap",14,"True","True",-0.187296946767745
"239","3-6",12,"Gap",15,"False","False",-0.86370933939171
"240","3-6",12,"Gap",16,"True","True",-1.35324517441817
"241","3-6",12,"Gap",17,"False","True",-0.289252746742834
"242","3-6",12,"Gap",18,"True","True",-1.28104629626431
"243","3-6",12,"Gap",19,"False","True",-1.17292325760195
"244","3-6",12,"Gap",20,"True","True",-0.866670005276217
"245","3-6",12,"Gap",21,"False","False",-0.892679726569594
"246","3-6",12,"Gap",22,"True","False",-0.764410268541471
"247","3-6",12,"Gap",23,"False","True",-0.647526811489947
"248","3-6",12,"Gap",24,"True","False",0.000184077030409124
"249","3-6",12,"Gap",25,"False","True",-0.760632296684963
"250","3-6",12,"Gap",26,"True","False",-1.35815558152127
"251","3-6",12,"Gap",27,"False","False",-0.202948209894593
"252","3-6",12,"Gap",28,"True","True",-0.675983989565994
"253","3-6",12,"Gap",29,"False","False",-0.91109526029989
"254","3-6",12,"Gap",30,"True","False",-0.397901254917135
"255","3-6",12,"Gap",31,"False","False",-0.520051483929154
"256","3-6",12,"Gap",32,"True","True",-1.00038528111357
"257","0-6",7,"Radial",1,"False","False",0.552753734445926
"258","0-6",7,"Radial",2,"True","True",-0.00994927562452474
"259","0-6",7,"Radial",3,"False","True",-0.371187543281351
"260","0-6",7,"Radial",4,"True","True",0.0373822297166888
"261","0-6",7,"Radial",5,"False","False",0
"262","0-6",7,"Radial",6,"True","False",-0.745719626291017
"263","0-6",7,"Radial",7,"False","True",0.728160307218169
"264","0-6",7,"Radial",8,"True","True",1.19238422748649
"265","0-6",7,"Radial",9,"False","False",0.964519059736999
"266","0-6",7,"Radial",10,"True","True",-0.598895479616069
"267","0-6",7,"Radial",11,"False","False",-1.32842397875948
"268","0-6",7,"Radial",12,"True","True",0.919779168092462
"269","0-6",7,"Radial",13,"False","True",-0.00684443785038091
"270","0-6",7,"Radial",14,"True","True",-0.600452277805004
"271","0-6",7,"Radial",15,"False","True",-0.00514395858106753
"272","0-6",7,"Radial",16,"True","False",-0.33283717578507
"273","0-6",7,"Radial",17,"False","False",1.08989136304889
"274","0-6",7,"Radial",18,"True","True",-1.55016259255534
"275","0-6",7,"Radial",19,"False","True",-0.152316923077609
"276","0-6",7,"Radial",20,"True","True",-1.15965491017541
"277","0-6",7,"Radial",21,"False","False",-0.659841464620359
"278","0-6",7,"Radial",22,"True","False",-0.671909800960521
"279","0-6",7,"Radial",23,"False","False",1.13771287111998
"280","0-6",7,"Radial",24,"True","False",0.133531392624523
"281","0-6",7,"Radial",25,"False","False",0.368607001722911
"282","0-6",7,"Radial",26,"True","True",-0.00228459403137449
"283","0-6",7,"Radial",27,"False","True",0.0589280526255205
"284","0-6",7,"Radial",28,"True","True",-0.254917499979237
"285","0-6",7,"Radial",29,"False","True",-0.202675591905265
"286","0-6",7,"Radial",30,"True","True",-0.64765190452919
"287","0-6",7,"Radial",31,"False","True",0.277999339487244
"288","0-6",7,"Radial",32,"True","False",0.288846137646407
"289","0-6",9,"Radial",1,"False","True",-1.17973308542694
"290","0-6",9,"Radial",2,"True","True",-0.4373396056408
"291","0-6",9,"Radial",3,"False","True",-0.860450339905853
"292","0-6",9,"Radial",4,"True","True",-0.58724317381115
"293","0-6",9,"Radial",5,"False","True",-0.240835683562801
"294","0-6",9,"Radial",6,"True","True",0.582812697658343
"295","0-6",9,"Radial",7,"False","True",-0.452217929865937
"296","0-6",9,"Radial",8,"True","True",-0.573800070852738
"297","0-6",9,"Radial",9,"False","True",-0.656675938619247
"298","0-6",9,"Radial",10,"True","False",0.00656418181500285
"299","0-6",9,"Radial",11,"False","True",-0.168454989227269
"300","0-6",9,"Radial",12,"True","True",-0.0641892739926797
"301","0-6",9,"Radial",13,"False","True",-0.810930216216329
"302","0-6",9,"Radial",14,"True","False",0.751044193585803
"303","0-6",9,"Radial",15,"False","False",-1.09796065676174
"304","0-6",9,"Radial",16,"True","True",-0.637321312859883
"305","0-6",9,"Radial",17,"False","False",0.22070969780336
"306","0-6",9,"Radial",18,"True","True",0.439798427912984
"307","0-6",9,"Radial",19,"False","True",-0.129310366549914
"308","0-6",9,"Radial",20,"True","True",-0.221831919888473
"309","0-6",9,"Radial",21,"False","True",0.121746748292549
"310","0-6",9,"Radial",22,"True","True",0.0483656662967842
"311","0-6",9,"Radial",23,"False","True",0.597447022170178
"312","0-6",9,"Radial",24,"True","True",-1.32768549286706
"313","0-6",9,"Radial",25,"False","True",0.123248047587436
"314","0-6",9,"Radial",26,"True","True",-0.878747620849622
"315","0-6",9,"Radial",27,"False","True",-1.72405320416958
"316","0-6",9,"Radial",28,"True","True",0.598252152025697
"317","0-6",9,"Radial",29,"False","True",-0.366212832474796
"318","0-6",9,"Radial",30,"True","True",-1.84736659212641
"319","0-6",9,"Radial",31,"False","True",-0.249993634888145
"320","0-6",9,"Radial",32,"True","True",-0.526898369979359
"321","0-6",10,"Gap",1,"False","False",0.64011455027501
"322","0-6",10,"Gap",2,"True","True",-0.298759933443772
"323","0-6",10,"Gap",3,"False","True",-0.0232948855936317
"324","0-6",10,"Gap",4,"True","False",0.150100671734007
"325","0-6",10,"Gap",5,"False","False",-0.287877501625276
"326","0-6",10,"Gap",6,"True","True",1.0784411647179
"327","0-6",10,"Gap",7,"False","True",-0.988174962764869
"328","0-6",10,"Gap",8,"True","True",0.600908977861593
"329","0-6",10,"Gap",9,"False","True",1.17276539958928
"330","0-6",10,"Gap",10,"True","False",0.550352489035831
"331","0-6",10,"Gap",11,"False","True",0.541671736084417
"332","0-6",10,"Gap",12,"True","True",-0.359951281552993
"333","0-6",10,"Gap",13,"False","False",0.350953138069836
"334","0-6",10,"Gap",14,"True","False",1.12154867239329
"335","0-6",10,"Gap",15,"False","False",0.171562083287366
"336","0-6",10,"Gap",16,"True","True",-0.57978581316411
"337","0-6",10,"Gap",17,"False","False",1.1432920519447
"338","0-6",10,"Gap",18,"True","False",-0.0223545438578947
"339","0-6",10,"Gap",19,"False","False",-0.277354282734907
"340","0-6",10,"Gap",20,"True","True",-0.640893845364138
"341","0-6",10,"Gap",21,"False","False",-0.491907471698418
"342","0-6",10,"Gap",22,"True","True",0.431721348773529
"343","0-6",10,"Gap",23,"False","False",-0.22314355131421
"344","0-6",10,"Gap",24,"True","True",-0.308715607842551
"345","0-6",10,"Gap",25,"False","True",0.222270929527749
"346","0-6",10,"Gap",26,"True","True",0.0558258677000623
"347","0-6",10,"Gap",27,"False","False",-0.844835149556962
"348","0-6",10,"Gap",28,"True","False",-0.421185758798101
"349","0-6",10,"Gap",29,"False","False",-0.20252661085794
"350","0-6",10,"Gap",30,"True","True",-0.791966320268934
"351","0-6",10,"Gap",31,"False","True",-0.932168246754612
"352","0-6",10,"Gap",32,"True","True",0.910251697413264
"353","0-6",12,"Gap",1,"False","False",-0.324549713229986
"354","0-6",12,"Gap",2,"True","True",-1.3170080110938
"355","0-6",12,"Gap",3,"False","True",-0.0305605716327726
"356","0-6",12,"Gap",4,"True","True",-0.239627788914255
"357","0-6",12,"Gap",5,"False","False",0.425553697472398
"358","0-6",12,"Gap",6,"True","True",1.27790954188827
"359","0-6",12,"Gap",7,"False","True",-0.0676747331425422
"360","0-6",12,"Gap",8,"True","False",0.590789350693319
"361","0-6",12,"Gap",9,"False","True",0.743795372528463
"362","0-6",12,"Gap",10,"True","True",0.225567206319546
"363","0-6",12,"Gap",11,"False","True",-0.943191884537797
"364","0-6",12,"Gap",12,"True","True",-0.751684020902519
"365","0-6",12,"Gap",13,"False","False",-0.193965095212044
"366","0-6",12,"Gap",14,"True","True",-0.248354259065846
"367","0-6",12,"Gap",15,"False","False",0.163591455778993
"368","0-6",12,"Gap",16,"True","True",-0.948196591262246
"369","0-6",12,"Gap",17,"False","True",-0.953045839063544
"370","0-6",12,"Gap",18,"True","True",-1.51127455727125
"371","0-6",12,"Gap",19,"False","True",-0.604464206674742
"372","0-6",12,"Gap",20,"True","True",0.106838529903488
"373","0-6",12,"Gap",21,"False","False",-0.540954677898872
"374","0-6",12,"Gap",22,"True","False",-0.66537034682126
"375","0-6",12,"Gap",23,"False","True",0.33015683165063
"376","0-6",12,"Gap",24,"True","False",0.412810960555813
"377","0-6",12,"Gap",25,"False","True",-1.15289059747173
"378","0-6",12,"Gap",26,"True","False",-0.787163375980937
"379","0-6",12,"Gap",27,"False","False",1.09321165472944
"380","0-6",12,"Gap",28,"True","True",-0.666121620354155
"381","0-6",12,"Gap",29,"False","False",0.142160736247805
"382","0-6",12,"Gap",30,"True","False",0.645465789224445
"383","0-6",12,"Gap",31,"False","False",-0.640159422450188
"384","0-6",12,"Gap",32,"True","True",-0.504630255188248
