Life Form,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern,Climber,Large Forb/Herb,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Tufted grass/sedge,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Scrambler,Shrub,Small Forb/Herb,Small Non-tufted grass/sedge,Small Shrub,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern
Gap,8,False,True,0.5,0.0,0.0,24.1875,18.0,32.714285714285715,0,0,0.0,0.0,0.0,0.0,3.25,2.1666666666666665,0.5,3.8125,4.625,4.357142857142857,6.8125,7.714285714285714,2.25,2.0,1.75,7.25,0.0,0.0,0.0,0.0,0.0,0.0,10.071428571428571,1.125,1.7857142857142858,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.75,0.5,0.0,0.0,0.0,9.3125,4.0625,1.0,0,0.0,0.5,0.5,0.5,1.0,-0.5,8.526785714285715,0.0,0.0,-2.75,0.5446428571428568,-4.5625,5.25,0.0,0.0,-8.285714285714285,0.0,-0.5,0.0,-0.09999999999999998,0.0,-8.3125,0.5,0.5
Gap,10,False,False,0.0,0.0,0.0,2.4166666666666665,1.9375,6.0,0,0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.0,1.3888888888888888,2.2222222222222223,2.875,1.7857142857142858,0.7142857142857143,1.3333333333333333,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2777777777777777,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,5.1,2.7777777777777777,0.9444444444444444,0,0.0,0.0,0.5,0.5,0.5,0.0,3.5833333333333335,0.0,0.0,-2.0,1.4861111111111112,-0.45238095238095255,0.6,0.0,0.0,-0.6444444444444444,0.0,0.0,0.0,-0.5,0.0,-4.155555555555555,0.0,0.0
Gap,10,False,True,0.0,0.5,0.0,5.833333333333333,8.416666666666666,20.75,0,0,0.0,0.5,0.5,0.5,15.25,5.25,0.0,2.0833333333333335,7.583333333333333,2.5,0.8,4.6,2.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.0,0.8,1.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,5.333333333333333,6.833333333333333,1.5,0,1.0,0.0,0.5,1.0,0.5,0.0,14.916666666666668,0.0,0.0,-15.25,0.4166666666666665,1.7,0.6666666666666666,0.0,-0.5,0.19999999999999996,0.0,0.0,0.0,0.5,0.0,-3.833333333333333,0.0,0.0
Gap,10,True,False,0.0,0.0,0.0,6.5,8.4,8.75,0,0,0.0,0.0,0.5,0.5,0.75,3.0,0.0,2.3,3.8,3.2,3.8333333333333335,0.0,1.625,0.5,0.5,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,5.375,0.8333333333333334,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,16.2,8.2,6.7,0,0.0,0.0,0.5,0.5,0.75,0.0,2.25,0.0,0.5,-0.75,0.9000000000000004,-2.2083333333333335,3.1666666666666665,0.0,0.0,-4.775,0.0,0.0,0.0,0.5,0.0,-9.5,0.0,0.25
Gap,10,True,True,0.0,0.0,0.0,2.9,7.363636363636363,16.0625,0,0,0.0,0.5,0.5,1.0,0.75,11.25,17.0,2.1818181818181817,5.318181818181818,5.333333333333333,1.8333333333333333,11.5,2.2222222222222223,0.0,1.0,11.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.2272727272727273,4.2,1.0714285714285714,0.0,0.0,0.0,0.0,5.25,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,11.181818181818182,4.65,3.875,0,0.0,0.0,0.5,0.75,0.6666666666666666,0.0,13.1625,0.0,0.5,16.25,3.1515151515151514,0.38888888888888906,11.833333333333334,0.0,0.0,-0.1558441558441559,0.0,1.0,0.0,0.5,0.0,-7.306818181818182,0.0,0.16666666666666663
Gap,12,False,False,0.0,0.5,0.0,3.6875,5.75,9.5625,0,0,0.0,0.5,0.0,0.5,2.9166666666666665,1.75,1.0,2.9375,4.5625,2.875,8.3125,2.0714285714285716,1.0,0.0,0.5,0.875,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,1.1428571428571428,0.6428571428571429,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0714285714285714,1.4375,0,0.0,0.0,0.0,0.0,0.0,0.0,5.875,0.0,0.0,-1.9166666666666665,-0.0625,-7.3125,0.875,0.0,0.0,-1.4404761904761907,0.0,0.0,0.0,-0.5,0.5,0.4375,0.0,0.0
Gap,12,False,True,0.0,0.5,0.5,2.7142857142857144,6.875,6.5,0,0,0.0,0.5,0.0,0.0,0.8333333333333334,0.9,2.0,2.25,6.25,3.5,4.214285714285714,6.1875,17.714285714285715,0.0,0.8,0.625,0.0,0.0,0.0,0.0,0.5,0.0,3.5,2.5833333333333335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,3.5714285714285716,0.9285714285714286,6.166666666666667,0,0.75,0.0,0.0,0.0,1.0,0.5,3.7857142857142856,0.0,-0.5,1.1666666666666665,1.25,13.5,0.625,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,2.5952380952380953,0.0,1.0
Gap,12,True,False,0.0,0.0,0.0,1.9166666666666667,7.75,14.8,0,0,1.0,0.5,0.5,1.0,0.5,0.8,1.0,6.833333333333333,5.333333333333333,3.5,17.0,2.9166666666666665,1.75,0.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,5.6,0.875,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4166666666666667,3.0,1.25,0,0.0,0.0,0.0,0.0,0.0,0.0,12.883333333333335,1.0,0.5,0.5,-3.333333333333333,-15.25,2.3,0.0,0.0,-1.9583333333333335,0.0,0.5,0.0,0.0,0.0,-0.16666666666666674,0.0,0.0
Gap,12,True,True,0.0,0.8333333333333334,0.0,8.166666666666666,10.3,16.055555555555557,0,0,0.0,0.5,0.0,0.0,0.5,0.8333333333333334,3.0,3.15,3.95,3.45,5.333333333333333,9.777777777777779,1.7222222222222223,0.75,4.6875,6.0625,0.0,0.0,0.0,0.0,0.0,0.0,2.35,1.7777777777777777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.1,1.1666666666666667,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,7.888888888888891,0.0,-0.5,2.5,0.30000000000000027,-3.6111111111111107,5.3125,0.0,0.0,-1.35,0.0,0.0,0.0,0.0,0.0,-4.6,0.0,0.0
Radial,3,False,False,0.5,0.0,0.5,39.5,0.0,33.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,3.6,8.6,0.0,0.8,0.7,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3.625,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0,0.0,0.0,0.5,0.0,0.5,0.0,-6.5,0.0,0.0,0.0,1.7000000000000002,-7.8,-0.033333333333333326,0.0,0.0,-2.375,0.0,0.0,0.0,0.5,0.0,0.09999999999999998,0.0,0.0
Radial,3,False,True,0.5714285714285714,0.0,0.5,31.0,0.0,43.27272727272727,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.8636363636363638,0.0,2.727272727272727,2.409090909090909,0.0,0.7222222222222222,4.666666666666667,0.0,0.6,0.5,0.0,0.5,0.75,0.0,1.0,11.954545454545455,0.0,2.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5625,0.0,0.625,0.5,0.0,0.5,8.636363636363637,0.0,0.7272727272727273,0,0.0,0.0,0.0,0.0,0.0,-0.0714285714285714,12.272727272727273,0.0,0.0,-0.5,-0.1363636363636367,-1.6868686868686869,-4.066666666666667,0.0,0.25,-9.863636363636363,0.0,0.0,-0.5,0.0625,0.0,-7.909090909090909,0.0,0.0
Radial,5,False,False,0.0,0.0,0.0,28.166666666666668,30.666666666666668,26.125,0,0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,2.625,2.75,2.75,3.125,1.625,0.75,1.0,0.5,1.5,0.5,1.0,0.75,0.0,0.0,0.0,2.0,2.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.0,0.0,0.0,8.25,1.0,1.125,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.041666666666668,0.0,0.0,-0.16666666666666663,0.125,-2.375,0.5,0.25,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,-7.125,0.0,0.0
Radial,5,False,True,0.5,0.5,0.5,32.125,34.35,35.81818181818182,0,0,0.0,0.0,0.0,0.0,0.625,0.5,0.5,3.25,2.9166666666666665,2.6818181818181817,13.958333333333334,13.045454545454545,2.4545454545454546,0.9285714285714286,0.875,0.5,0.75,2.6,0.5833333333333334,0.0,0.5,0.0,2.5416666666666665,3.3636363636363638,1.9090909090909092,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0909090909090908,0.0,0.0,0.0,5.208333333333333,0.6,2.090909090909091,0,0.0,0.0,0.0,0.0,0.0,0.0,3.69318181818182,0.0,0.0,-0.125,-0.5681818181818183,-11.503787878787879,-0.4285714285714286,-0.16666666666666663,0.0,-0.6325757575757573,0.0,-0.5,0.0,0.5909090909090908,0.0,-3.117424242424242,0.0,0.0
Radial,7,False,False,0.0,0.0,0.0,1.5625,1.125,0.5714285714285714,0,0,0.0,0.0,0.0,0.0,1.4,0.8333333333333334,0.0,2.875,5.5,2.8125,0.5714285714285714,2.1666666666666665,0.75,0.5,0.5,15.5,0.0,0.0,0.0,0.5,0.5,0.5,4.5625,2.5625,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,16.0,4.3125,0.875,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9910714285714286,0.0,0.0,-1.4,-0.0625,0.1785714285714286,15.0,0.0,0.0,-3.633928571428571,0.0,0.0,0.0,-0.5,0.5,-15.125,0.0,0.0
Radial,7,False,True,0.5,0.5,0.0,1.0,0.875,0.7,0,0,0.0,0.0,0.0,0.0,5.625,8.25,1.0,2.4285714285714284,4.1875,2.1875,8.666666666666666,8.125,6.285714285714286,0.5,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3125,4.666666666666667,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,12.0,2.0,2.142857142857143,0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.30000000000000004,0.0,0.0,-4.625,-0.24107142857142838,-2.3809523809523805,17.5,0.0,0.0,-0.8125,0.0,0.0,0.0,0.0,0.0,-9.857142857142858,0.0,0.0
Radial,7,True,False,0.0,0.0,0.5,1.4,1.3,0.625,0,0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.7,3.7,3.8,4.4,5.5,0.75,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,7.0,2.25,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.5,3.1,3.1,0,0.0,0.0,0.0,0.0,0.0,0.5,-0.7749999999999999,0.0,0.0,4.0,1.0999999999999996,-3.6500000000000004,0.5,0.0,-0.5,-6.2,0.0,0.0,0.0,-0.5,0.0,-1.4,0.0,0.0
Radial,7,True,True,0.0,0.5,0.5,1.4090909090909092,1.5,1.1,0,0,0.0,0.0,0.0,0.0,2.3333333333333335,20.4,5.0,2.1363636363636362,5.954545454545454,2.227272727272727,1.8636363636363635,4.722222222222222,2.3181818181818183,0.0,0.5,26.05,0.0,0.0,0.0,0.5,0.0,0.0,1.4,11.1,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,9.3,9.909090909090908,2.3636363636363638,0,0.0,0.5,0.5,0.6666666666666666,0.5,0.5,-0.3090909090909091,0.0,0.0,2.6666666666666665,0.09090909090909083,0.4545454545454548,26.05,0.0,-0.5,-0.3999999999999999,0.0,0.5,0.5,0.0,1.0,-6.936363636363637,0.5,0.0
Radial,9,False,False,0.0,0.0,0.0,3.0,4.5,0.75,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,3.875,3.875,2.25,5.125,1.75,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.875,6.166666666666667,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,1.75,0.875,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,0.0,0.0,-0.5,-1.625,-4.291666666666667,0.0,0.0,0.0,-4.125,0.0,-0.5,0.0,0.0,0.0,-2.375,0.0,0.0
Radial,9,False,True,0.5,0.0,0.0,2.0833333333333335,3.4166666666666665,5.722222222222222,0,0,0.0,0.0,0.0,0.0,2.5,1.0,0.5,3.7916666666666665,7.25,1.7916666666666667,6.541666666666667,28.272727272727273,7.363636363636363,20.0,3.25,1.5,0.0,0.0,0.0,0.0,0.0,1.0,8.545454545454545,3.2916666666666665,0.9545454545454546,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,4.15,3.5,2.1363636363636362,0,0.0,0.0,1.0,1.0,1.0,-0.5,3.638888888888889,0.0,0.0,-2.0,-1.9999999999999998,0.8219696969696964,-18.5,0.0,1.0,-7.59090909090909,-0.5,0.0,0.0,-1.0,0.0,-2.013636363636364,0.0,0.0
Radial,9,True,False,0.5,0.0,0.0,1.5,1.5,1.25,0,0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.75,7.25,2.5,25.0,1.0,1.0,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,20.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.75,3.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.25,0.0,0.0,-10.0,-1.25,-24.0,3.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,-2.5,0.0,0.0
Radial,9,True,True,0.5,0.5,0.0,3.3076923076923075,4.142857142857143,5.590909090909091,0,0,0.0,0.0,1.0,0.5,2.1666666666666665,5.428571428571429,0.0,4.142857142857143,9.0,3.2142857142857144,6.346153846153846,18.346153846153847,2.3636363636363638,0.0,0.6666666666666666,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,2.8461538461538463,2.8214285714285716,1.75,0.0,0.0,0.0,1.0,3.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,5.071428571428571,6.923076923076923,3.5,0,1.0,0.0,0.0,0.0,0.0,-0.5,2.2832167832167833,0.0,0.5,-2.1666666666666665,-0.9285714285714288,-3.982517482517482,20.416666666666668,0.0,0.0,-1.0961538461538463,0.0,-1.0,-0.5,-0.5,0.0,-1.5714285714285712,0.0,0.0
