Treatment,Plot Number,Quadrat Number,Fenced,Gap,0,3,6,Change 0-6
Control,11,13,False,False,1.6022255710095532,1.3409272820423412,1.3616013308042165,-0.24062424020533668
Control,11,14,False,False,2.0244035325632357,1.9149592408958758,1.1600754508034927,-0.864328081759743
Control,11,15,False,False,1.5630847751061572,2.441015278026703,1.377045314879304,-0.18603946022685314
Control,11,16,False,False,0.8647123171643045,1.3432332572910142,1.0418603216375135,0.177148004473209
Control,11,17,False,False,1.4297083258419676,1.1538939957064416,2.9020023132056028,1.4722939873636351
Control,11,18,False,False,0.9573109213899564,1.5838715135000727,2.9020023132056028,1.9446913918156463
Control,11,19,False,False,2.8943995444300383,2.6593226977095163,2.3978952727983707,-0.49650427163166766
Control,11,20,False,False,2.131486464336196,1.932965764364648,2.0453565797937734,-0.08612988454242254
Control,11,21,False,False,1.135403238808932,1.2914167691452023,1.705810290944979,0.5704070521360471
Control,11,22,False,False,1.7442509853924308,2.141472830844217,1.6826183424597019,-0.061632642932728965
Control,11,23,False,False,1.9653134590269192,2.3082112617809263,1.4495204492648668,-0.5157930097620524
Control,11,24,False,False,1.5630847751061574,1.5937167826624443,2.1603683305716794,0.597283555465522
Control,11,25,False,False,1.5222350540244225,1.2412126066155942,1.2321676957091887,-0.2900673583152338
Control,11,26,False,False,1.6133844821409948,2.8928894492515287,2.160881109887097,0.5474966277461022
Control,11,27,False,False,1.649392127884369,2.7198098548650407,1.8820393286253112,0.23264720074094214
Control,11,28,False,False,1.0959795720256091,1.3599590265933101,1.0440971038041906,-0.05188246822141851
Control,11,29,False,False,2.376110750149118,2.0568851217647524,1.6336487325159936,-0.7424620176331245
Control,11,30,False,False,0.9255058983301496,2.714452351742496,2.890371757896165,1.9648658595660153
Control,11,31,False,False,3.004767035207959,2.7737179750213117,2.599301927099795,-0.40546510810816416
Control,11,32,False,False,1.8607876674622998,2.580599323806568,1.6389033241270945,-0.22188434333520535
Gap,1,1,False,False,1.1794643938250684,1.207174981369734,1.5822555651070072,0.40279117128193875
Gap,1,2,False,True,1.9019272648089849,1.6028633141809911,1.4072639428903928,-0.4946633219185921
Gap,1,3,False,True,1.8660837624948945,1.524245949580937,1.3039361863914054,-0.5621475761034891
Gap,1,4,False,True,0.6432943951428893,1.2777796890117852,0.6860817537235624,0.04278735858067306
Gap,1,5,False,True,1.444683333858193,2.1739430630364285,2.0800813802138673,0.6353980463556743
Gap,1,6,False,False,1.2030464789847244,0.9468588438046316,1.0868830651535313,-0.11616341383119311
Gap,1,7,False,False,1.0114046028090837,1.5460523260324348,1.4591196478013644,0.44771504499228065
Gap,1,8,False,False,1.5288711247000748,1.8926259163124075,1.5888817807754805,0.06001065607540568
Gap,1,9,False,True,1.50083070260416,1.839755468674273,1.995169548508029,0.4943388459038689
Gap,1,10,False,False,1.2096295788200973,1.0755798972421509,1.1784280832426768,-0.03120149557742047
Gap,1,11,False,False,1.227297466399618,2.0831789623950563,1.0436339084878345,-0.18366355791178335
Gap,1,12,False,False,0.5696068919900159,0.5232608167882908,1.3102570952071835,0.7406502032171676
Gap,1,13,False,True,1.3409272820423412,0.9093914286392292,0.9795111572812827,-0.36141612476105855
Gap,1,14,False,False,1.0061163968690519,0.5584650719161517,0.6537156626487677,-0.3524007342202842
Gap,1,15,False,False,1.1639173127004123,1.2814270165425106,1.0456021820305565,-0.11831513066985577
Gap,1,16,False,False,1.0603251246045575,1.5783058318756564,1.4685849607740535,0.408259836169496
Gap,8,1,False,False,1.3848413362131997,0.7482078250346493,0.5607282319536934,-0.8241131042595063
Gap,8,2,False,False,2.351673301904631,2.441015278026703,2.430791328878232,0.07911802697360093
Gap,8,3,False,True,1.6773695409941294,2.552105433487995,2.131125341645549,0.45375580065141974
Gap,8,4,False,True,2.5123411278909518,1.8330019230795886,1.2488957079976144,-1.2634454198933374
Gap,8,5,False,False,1.6010319689431955,1.2419534949513116,1.5766022207776262,-0.02442974816556931
Gap,8,6,False,True,0.8491566270212731,1.100574981817215,1.1216383112321093,0.2724816842108362
Gap,8,7,False,False,1.9052475134731244,1.41212661861086,1.832351362181463,-0.07289615129166127
Gap,8,8,False,False,1.6173251892904033,1.1600754508034927,0.7106757258684107,-0.9066494634219926
Gap,8,9,False,True,1.6909606621815796,1.8454134159447841,0.39915616742559434,-1.2918044947559852
Gap,8,10,False,True,1.5237134707291258,1.9856161539073955,1.3116229085515019,-0.2120905621776239
Gap,8,11,False,True,1.5456359270898223,1.1610510398114007,0.5357499551767584,-1.009885971913064
Gap,8,12,False,False,1.5629217950440928,1.5426719687381505,1.3591692184146835,-0.20375257662940927
Gap,8,13,False,False,1.2534703185313119,0.9286257535659223,0.4514759598241825,-0.8019943587071294
Gap,8,14,False,True,1.6282628999594,1.117399415937245,1.2787755560304233,-0.34948734392897673
Gap,8,15,False,True,1.3297540066243982,2.2990162212357634,1.1534070616806187,-0.17634694494377956
Gap,8,16,False,False,0.8210049969801672,1.224624815437313,0.9331935549145991,0.11218855793443194
Gap,10,1,False,False,1.2690112770136768,2.4229027820122493,2.186938238780991,0.9179269617673143
Gap,10,2,True,True,1.284061458842282,1.1048179978796597,1.0292899679346355,-0.2547714909076466
Gap,10,3,False,True,0.9849583086768279,2.0104534409512675,0.8872640650447499,-0.09769424363207801
Gap,10,4,True,False,1.3471728898735844,2.495039581218817,1.494888316226473,0.1477154263528886
Gap,10,5,False,False,2.3693821196946767,1.764284227394568,2.1458417525947544,-0.2235403670999223
Gap,10,6,True,True,1.0436339084878348,2.773717975021311,2.495039581218817,1.451405672730982
Gap,10,7,False,True,2.6701198898068177,2.0132832542471544,1.4118183595393528,-1.258301530267465
Gap,10,8,True,True,1.6389033241270954,2.630346978087984,2.1533649093337024,0.514461585206607
Gap,10,9,False,True,0.8222900060250078,1.281993866914598,2.1458417525947544,1.3235517465697466
Gap,10,10,True,False,0.9609194421369969,1.3012735723630322,1.2488957079976142,0.2879762658606173
Gap,10,11,False,True,1.6389033241270954,2.3820879550064733,2.0523838812249515,0.41348055709785614
Gap,10,12,True,True,1.4787515246479535,2.119518280074317,0.7779384280166876,-0.7008130966312659
Gap,10,13,False,False,2.0253262207700677,2.138333059508028,2.3383717048035724,0.31304548403350463
Gap,10,14,True,False,1.0397207708399179,2.0205829154466044,1.9399768221084548,0.9002560512685369
Gap,10,15,False,False,1.8820393286253114,1.8142909159935146,2.0740965945786995,0.19205726595338812
Gap,10,16,True,True,1.844439727056968,1.321405538066298,0.973657338854644,-0.8707823882023239
Gap,10,17,False,False,1.1863335609481274,,2.588573162682118,1.4022396017339904
Gap,10,18,True,False,1.9851046482947905,1.9546455645677403,2.2538575896013526,0.26875294130656213
Gap,10,19,False,False,1.0549201679861442,1.3296613488547582,0.7937300551584247,-0.26119011282771953
Gap,10,20,True,True,1.6826183424597028,2.177157580700247,0.9331935549145991,-0.7494247875451037
Gap,10,21,False,False,1.5607104090414063,2.3025850929940455,1.0397207708399179,-0.5209896382014885
Gap,10,22,True,True,0.7668382315802122,1.6308924036366632,1.11399411338541,0.34715588180519785
Gap,10,23,False,False,1.6094379124341005,1.3321790402101223,1.3862943611198906,-0.22314355131420993
Gap,10,24,True,True,1.6635687748462091,2.1058918174237937,1.1167345622509344,-0.5468342125952748
Gap,10,25,False,True,1.2468296415485094,1.5671808548329902,1.3862943611198906,0.13946471957138118
Gap,10,26,True,True,1.315658070398555,2.019814992492946,1.3862943611198906,0.07063629072133559
Gap,10,27,False,False,0.9740874514369364,1.6364955728889843,0.24375895284667493,-0.7303284985902615
Gap,10,28,True,False,1.220805711117877,0.9376137098554371,0.8026703878395404,-0.4181353232783366
Gap,10,29,False,False,1.4571251105528182,2.019814992492946,1.5607104090414063,0.1035852984885881
Gap,10,30,True,True,2.0253262207700673,1.182012692591141,0.9744724193642683,-1.050853801405799
Gap,10,31,False,True,1.6568210725057666,1.960330946510179,0.6585283991112397,-0.9982926733945269
Gap,10,32,True,True,1.2056670646995913,1.1984850039568908,2.1145836412957513,0.90891657659616
Gap,12,1,False,False,2.062265898722056,2.305018731630149,1.5128765640252864,-0.5493893346967695
Gap,12,2,True,True,2.0699549310329095,1.1515664660724367,0.7651975488024495,-1.3047573822304601
Gap,12,3,False,True,2.1547453996512056,2.506547661970823,2.245035274126178,0.09028987447497228
Gap,12,4,True,True,1.6336487325159934,2.0493669048067664,1.2462851399461374,-0.387363592569856
Gap,12,5,False,False,1.5884798465280363,2.7738522086804824,2.351673301904631,0.7631934553765947
Gap,12,6,True,True,0.6962622168856661,1.942764966593982,2.027749472459977,1.3314872555743107
Gap,12,7,False,True,1.2678885578452574,2.954673212304816,1.0602168210380392,-0.2076717368072183
Gap,12,8,True,False,0.9807428675879777,1.844766123277364,1.7500112942329407,0.769268426644963
Gap,12,9,False,True,1.3670991866000013,2.7637931262480135,2.512658529529802,1.1455593429298006
Gap,12,10,True,True,2.4583113296830845,2.2623001267630642,2.712962173052891,0.25465084336980626
Gap,12,11,False,True,1.945910149055313,2.341994252232425,1.3321790402101223,-0.6137311088451907
Gap,12,12,True,True,2.242390013225787,1.9988683399366463,1.1393405317576226,-1.1030494814681644
Gap,12,13,False,False,2.1031188448404348,2.6593226977095163,2.0431918705451206,-0.05992697429531413
Gap,12,14,True,True,1.3318154596134093,1.0163947701491123,1.0805738483648535,-0.2512416112485558
Gap,12,15,False,False,1.6389033241270945,2.7738522086804824,1.705810290944979,0.06690696681788455
Gap,12,16,True,True,1.8711207234507647,2.206810685342168,0.983159185677987,-0.8879615377727778
Gap,12,17,False,True,2.288994865511732,1.2335022647286698,0.42471885238186646,-1.8642760131298655
Gap,12,18,True,True,2.599301927099795,2.0371500681675823,0.6611154389582963,-1.9381864881414985
Gap,12,19,False,True,1.9813994855828452,2.120708762660026,1.189440004965926,-0.7919594806169192
Gap,12,20,True,True,1.9061547465398496,2.889242505114635,2.0253262207700677,0.11917147423021812
Gap,12,21,False,False,2.512658529529802,2.739032965077413,1.7642842273945678,-0.748374302135234
Gap,12,22,True,False,2.6701198898068164,2.7877881193860072,1.8199308409621282,-0.8501890488446882
Gap,12,23,False,True,1.0986122886681096,2.252728336819822,1.7328679513998633,0.6342556627317537
Gap,12,24,True,False,1.9813994855828447,2.0591318668509557,2.2623001267630642,0.2809006411802195
Gap,12,25,False,True,2.242973226438147,1.682618342459702,0.8738453902678429,-1.369127836170304
Gap,12,26,True,False,2.512658529529802,3.084651945689509,1.5341414639483673,-0.9785170655814346
Gap,12,27,False,False,0.8222900060250078,1.9657923087569213,2.019814992492946,1.197524986467938
Gap,12,28,True,False,1.6990951969139352,1.4385134450544417,0.753740570611376,-0.9453546263025592
Gap,12,29,False,False,1.1716670003361838,2.3564101451068282,1.2488957079976142,0.07722870766143042
Gap,12,30,True,False,1.045160100929628,2.062387774210687,1.6850674067591456,0.6399073058295175
Gap,12,31,False,False,1.3670991866000013,1.274101060017976,0.7953843315591401,-0.5717148550408612
Gap,12,32,True,True,1.7793061106802357,1.9272585238338003,1.0461607963179211,-0.7331453143623146
Radial,3,1,False,True,1.2073308425348037,,0.5892716132743714,-0.6180592292604323
Radial,3,2,False,False,1.3161720255937719,,1.2488957079976144,-0.06727631759615749
Radial,3,3,False,True,0.9653652964535288,,0.7477634524669783,-0.21760184398655047
Radial,3,4,False,True,1.420781706942333,,0.8345640547989583,-0.5862176521433746
Radial,3,5,False,True,1.37378019348187,,0.5696068919900159,-0.8041733014918542
Radial,3,6,False,True,1.4592715648151189,,1.1573048596915687,-0.30196670512355017
Radial,3,7,False,False,1.2012554457713556,,0.7183950430750818,-0.4828604026962737
Radial,3,8,False,False,0.49055211820588396,,0.8291918325212113,0.33863971431532736
Radial,3,9,False,True,1.594184539203845,,0.9609194421369969,-0.6332650970668481
Radial,3,10,False,True,1.5142559487646166,,1.4057220242065283,-0.1085339245580883
Radial,3,11,False,True,1.3820266330379731,,0.4664211060932801,-0.915605526944693
Radial,3,12,False,False,1.061874623765728,,1.2051365116235848,0.14326188785785687
Radial,3,13,False,True,0.9669058317480029,,0.32268565778234076,-0.6442201739656621
Radial,3,14,False,True,1.374471746939817,,0.5794973207180368,-0.7949744262217803
Radial,3,15,False,False,0.9865629493553059,,1.0253931932099416,0.03883024385463574
Radial,3,16,False,True,1.5807901533832016,,1.428571955580647,-0.15221819780255452
Radial,5,1,False,False,1.135403238808932,1.0431683582686608,1.0983560543215145,-0.037047184487417395
Radial,5,2,False,False,1.1716670003361838,1.1077624560442516,1.6464842430782738,0.47481724274209003
Radial,5,3,False,True,2.9785084205272367,1.4816851202750185,1.0078028789367908,-1.970705541590446
Radial,5,4,False,True,0.8349713330850826,0.7477634524669784,0.7597142659249084,-0.07525706716017422
Radial,5,5,False,True,1.4816851202750188,1.3534678776964175,1.4685849607740533,-0.013100159500965436
Radial,5,6,False,False,1.162837046352875,1.7478680974667573,2.7985132569432944,1.6356762105904195
Radial,5,7,False,True,1.250455159085345,0.9842223604341837,2.0169836044325193,0.7665284453471743
Radial,5,8,False,True,1.9239812210558254,1.5976230929345439,0.7183950430750817,-1.2055861779807437
Radial,5,9,False,False,1.6574976748014594,1.3762286075974675,0.7042721137356953,-0.9532255610657641
Radial,5,10,False,True,1.2859049977496602,1.2151153503181893,2.1700354157405464,0.8841304179908862
Radial,5,11,False,True,1.2023818371652486,0.9807428675879775,0.9722060664071113,-0.23017577075813733
Radial,5,12,False,True,1.1894895886310906,1.3862943611198906,,
Radial,5,13,False,True,1.3730823339410687,0.9205253345691209,1.0864397735177045,-0.2866425604233642
Radial,5,14,False,True,1.7646527386778679,0.8026703878395404,1.4591196478013644,-0.3055330908765035
Radial,5,15,False,True,0.8300761003698687,0.8262041404665299,1.2741010600179759,0.4440249596481072
Radial,5,16,False,True,1.065729911859409,0.6326957658766186,0.5531746507988448,-0.5125552610605643
Radial,7,1,False,False,1.7678725546875147,1.840314182092545,2.588573162682118,0.8207006079946031
Radial,7,2,True,True,2.1972245773362196,0.8953326659680909,2.361321152557342,0.16409657522112253
Radial,7,3,False,True,1.7917594692280547,1.8932755909543666,1.7478680974667573,-0.043891371761297426
Radial,7,4,True,True,2.0253262207700673,2.0088052509585004,2.019814992492946,-0.0055112282771214716
Radial,7,5,False,False,2.2718685126965625,2.1439522006438696,2.2718685126965625,0.0
Radial,7,6,True,False,2.2186433749337597,2.399604470959115,1.3578327205888314,-0.8608106543449283
Radial,7,7,False,True,1.1428852304537858,2.9020023132056028,1.9183861055319413,0.7755008750781556
Radial,7,8,True,True,1.3334730391185026,1.1236649628171873,2.3025850929940455,0.9691120538755429
Radial,7,9,False,False,0.9054676676922013,2.0495786145208497,2.2718685126965625,1.3664008450043612
Radial,7,10,True,True,2.4410152780267027,1.4901377496028696,0.8887782353948163,-1.5522370426318863
Radial,7,11,False,False,2.5400363038209806,2.253857589601352,1.172993472439513,-1.3670428313814675
Radial,7,12,True,True,0.9508045736773205,1.7875741023188394,1.945910149055313,0.9951055753779925
Radial,7,13,False,True,1.7751250090009736,2.7985132569432936,1.9061547465398498,0.13102973753887626
Radial,7,14,True,True,2.5400363038209806,1.6501836208838185,1.544731434479515,-0.9953048693414654
Radial,7,15,False,True,1.2747761127892028,0.7696669752777675,1.1482488802603776,-0.12652723252882514
Radial,7,16,True,False,2.288994865511732,2.0205829154466044,1.7033937471935658,-0.585601118318166
Radial,7,17,False,False,0.8026703878395404,2.0495786145208497,2.145841752594754,1.3431713647552135
Radial,7,18,True,True,2.5232109529528914,1.51046962262314,0.6965754782295032,-1.8266354747233882
Radial,7,19,False,True,0.9943536917623688,1.611157817343917,0.44500669026297196,-0.5493470014993969
Radial,7,20,True,True,2.2538575896013526,1.8932755909543664,0.6005657525185945,-1.653291837082758
Radial,7,21,False,False,1.177313849630491,2.526149103639533,0.3848387775703132,-0.7924750720601776
Radial,7,22,True,False,2.3693821196946767,2.0253262207700677,1.7328679513998635,-0.6365141682948132
Radial,7,23,False,False,1.5368822512316904,1.8792009246864008,2.4849066497880012,0.9480243985563108
Radial,7,24,True,False,1.945910149055313,2.351673301904631,2.0794415416798357,0.13353139262452274
Radial,7,25,False,False,1.9484484348115685,1.8199308409621282,2.3693821196946767,0.42093368488310823
Radial,7,26,True,True,0.9876377490953712,1.2863891182873903,0.7549191629254283,-0.2327185861699429
Radial,7,27,False,True,1.4833529074024805,1.3660900665893674,1.4634381354734927,-0.01991477192898783
Radial,7,28,True,True,2.4583113296830845,1.9879221020074491,1.945910149055313,-0.5124011806277715
Radial,7,29,False,True,1.7751250090009736,2.26238625418332,1.5341414639483673,-0.24098354505260633
Radial,7,30,True,True,1.832351362181463,1.3622679337773833,0.8345640547989583,-0.9977873073825048
Radial,7,31,False,True,1.2374205499085564,1.4104796508189834,1.9061547465398496,0.6687341966312932
Radial,7,32,True,False,1.5384837285859616,1.521075855072221,2.138333059508028,0.5998493309220665
Radial,9,1,False,False,2.292049975974862,2.2376506299146985,1.3334730391185028,-0.958576936856359
Radial,9,2,True,True,2.013822926703922,2.530065281422411,1.7478680974667573,-0.2659548292371645
Radial,9,3,False,True,2.333464436133547,1.3607168728347439,1.2914167691452023,-1.0420476669883445
Radial,9,4,True,True,2.186938238780991,2.1703292547863815,0.7627270052484884,-1.4242112335325028
Radial,9,5,False,False,1.9272832753404048,2.0011150546645142,1.9061547465398498,-0.021128528800554935
Radial,9,6,True,True,0.9151925620973057,1.3084382093910976,1.4708676439913506,0.5556750818940449
Radial,9,7,False,True,2.351673301904631,2.2376506299146985,1.8891591637540217,-0.46251413815060927
Radial,9,8,True,True,1.9186138748124897,1.3311082912267418,1.2311648527976353,-0.6874490220148544
Radial,9,9,False,True,1.410158261333014,1.6990951969139352,0.9536870968261045,-0.4564711645069094
Radial,9,10,True,False,1.12952828167377,1.3453141273320024,1.5341414639483677,0.40461318227459775
Radial,9,11,False,True,1.9061547465398496,1.803892637712279,1.7478680974667573,-0.1582866490730923
Radial,9,12,True,True,1.321044412298257,1.6638748686552745,1.2993064120383377,-0.021738000259919232
Radial,9,13,False,True,2.1972245773362196,1.7478680974667578,1.3862943611198906,-0.810930216216329
Radial,9,14,True,False,1.7393231638139532,1.983069163168957,2.775975553103794,1.036652389289841
Radial,9,15,False,False,2.3693821196946767,2.019814992492946,1.3321790402101223,-1.0372030794845544
Radial,9,16,True,True,2.6593226977095163,1.4959084280002235,1.8820393286253112,-0.7772833690842051
Radial,9,17,False,False,1.867671662051439,1.9140126297758218,2.2450352741261774,0.37736361207473834
Radial,9,18,True,True,1.2236568107899723,1.5017353308795092,1.5460523260324348,0.32239551524246246
Radial,9,19,False,True,2.2889948655117314,1.5645123576100821,2.0495786145208497,-0.2394162509908817
Radial,9,20,True,True,1.816025311429126,2.0902665921572563,1.580709685060432,-0.23531562636869396
Radial,9,21,False,True,1.4685849607740535,1.955603341042883,1.7751250090009736,0.30654004822692005
Radial,9,22,True,True,1.9484484348115685,1.329754006624398,1.9183861055319416,-0.03006232927962693
Radial,9,23,False,True,1.7720149875245346,2.5879548397464758,2.6701198898068172,0.8981049022822827
Radial,9,24,True,True,2.2968186323381974,2.010810981032254,0.9943536917623688,-1.3024649405758286
Radial,9,25,False,True,1.1753571268015142,1.3389016026972356,1.5500815330434856,0.37472440624197145
Radial,9,26,True,True,2.1791024060081448,2.3310751030457735,1.3692828747788117,-0.809819531229333
Radial,9,27,False,True,2.1460953974100523,0.9785397493218361,0.41808475861672767,-1.7280106387933247
Radial,9,28,True,True,1.7442509853924308,1.7793010602602835,2.4583113296830845,0.7140603442906537
Radial,9,29,False,True,2.321421186559821,1.7479154751980144,2.1383330595080277,-0.18308812705179323
Radial,9,30,True,True,2.886165178199426,0.624538576309556,0.6811801011637321,-2.204985077035694
Radial,9,31,False,True,1.5634280551087998,0.9574049759060131,1.2978955170550452,-0.26553253805375454
Radial,9,32,True,True,1.696881877253367,2.9867954750916326,1.087437126902053,-0.6094447503513138
