Plot Number,Quadrat Number,Treatment,Fenced,Gap
10,10,Gap,TRUE,FALSE
10,11,Gap,FALSE,TRUE
10,12,Gap,TRUE,TRUE
10,13,Gap,FALSE,FALSE
10,14,Gap,TRUE,FALSE
10,15,Gap,FALSE,FALSE
10,16,Gap,TRUE,TRUE
10,17,Gap,FALSE,FALSE
10,18,Gap,TRUE,FALSE
10,19,Gap,FALSE,FALSE
10,20,Gap,TRUE,TRUE
10,21,Gap,FALSE,FALSE
10,22,Gap,TRUE,TRUE
10,23,Gap,FALSE,FALSE
10,24,Gap,TRUE,TRUE
10,25,Gap,FALSE,TRUE
10,26,Gap,TRUE,TRUE
10,27,Gap,FALSE,FALSE
10,28,Gap,TRUE,FALSE
10,29,Gap,FALSE,FALSE
10,30,Gap,TRUE,TRUE
10,31,Gap,FALSE,TRUE
10,32,Gap,TRUE,TRUE
12,1,Gap,FALSE,FALSE
12,2,Gap,TRUE,TRUE
12,3,Gap,FALSE,TRUE
12,4,Gap,TRUE,TRUE
12,5,Gap,FALSE,FALSE
12,6,Gap,TRUE,TRUE
12,7,Gap,FALSE,TRUE
12,8,Gap,TRUE,FALSE
12,9,Gap,FALSE,TRUE
12,10,Gap,TRUE,TRUE
12,11,Gap,FALSE,TRUE
12,12,Gap,TRUE,TRUE
12,13,Gap,FALSE,FALSE
12,14,Gap,TRUE,TRUE
12,15,Gap,FALSE,FALSE
12,16,Gap,TRUE,TRUE
12,17,Gap,FALSE,TRUE
12,18,Gap,TRUE,TRUE
12,19,Gap,FALSE,TRUE
12,20,Gap,TRUE,TRUE
12,21,Gap,FALSE,FALSE
12,22,Gap,TRUE,FALSE
12,23,Gap,FALSE,TRUE
12,24,Gap,TRUE,FALSE
12,25,Gap,FALSE,TRUE
12,26,Gap,TRUE,FALSE
12,27,Gap,FALSE,FALSE
12,28,Gap,TRUE,FALSE
12,29,Gap,FALSE,FALSE
12,30,Gap,TRUE,FALSE
12,31,Gap,FALSE,FALSE
12,32,Gap,TRUE,TRUE
3,1,Radial,FALSE,TRUE
3,2,Radial,FALSE,FALSE
3,3,Radial,FALSE,TRUE
3,4,Radial,FALSE,TRUE
3,5,Radial,FALSE,TRUE
3,6,Radial,FALSE,TRUE
3,7,Radial,FALSE,FALSE
3,8,Radial,FALSE,FALSE
3,9,Radial,FALSE,TRUE
3,10,Radial,FALSE,TRUE
3,11,Radial,FALSE,TRUE
3,12,Radial,FALSE,FALSE
3,13,Radial,FALSE,TRUE
3,14,Radial,FALSE,TRUE
3,15,Radial,FALSE,FALSE
3,16,Radial,FALSE,TRUE
5,1,Radial,FALSE,FALSE
5,2,Radial,FALSE,FALSE
5,3,Radial,FALSE,TRUE
5,4,Radial,FALSE,TRUE
5,5,Radial,FALSE,TRUE
5,6,Radial,FALSE,FALSE
5,7,Radial,FALSE,TRUE
5,8,Radial,FALSE,TRUE
5,9,Radial,FALSE,FALSE
5,10,Radial,FALSE,TRUE
5,11,Radial,FALSE,TRUE
5,12,Radial,FALSE,TRUE
5,13,Radial,FALSE,TRUE
5,14,Radial,FALSE,TRUE
5,15,Radial,FALSE,TRUE
5,16,Radial,FALSE,TRUE
7,1,Radial,FALSE,FALSE
7,2,Radial,TRUE,TRUE
7,3,Radial,FALSE,TRUE
7,4,Radial,TRUE,TRUE
7,5,Radial,FALSE,FALSE
7,6,Radial,TRUE,FALSE
7,7,Radial,FALSE,TRUE
7,8,Radial,TRUE,TRUE
7,9,Radial,FALSE,FALSE
7,10,Radial,TRUE,TRUE
7,11,Radial,FALSE,FALSE
7,12,Radial,TRUE,TRUE
7,13,Radial,FALSE,TRUE
7,14,Radial,TRUE,TRUE
7,15,Radial,FALSE,TRUE
7,16,Radial,TRUE,FALSE
7,17,Radial,FALSE,FALSE
7,18,Radial,TRUE,TRUE
7,19,Radial,FALSE,TRUE
7,20,Radial,TRUE,TRUE
7,21,Radial,FALSE,FALSE
7,22,Radial,TRUE,FALSE
7,23,Radial,FALSE,FALSE
7,24,Radial,TRUE,FALSE
7,25,Radial,FALSE,FALSE
7,26,Radial,TRUE,TRUE
7,27,Radial,FALSE,TRUE
7,28,Radial,TRUE,TRUE
7,29,Radial,FALSE,TRUE
7,30,Radial,TRUE,TRUE
7,31,Radial,FALSE,TRUE
7,32,Radial,TRUE,FALSE
9,1,Radial,FALSE,FALSE
9,2,Radial,TRUE,TRUE
9,3,Radial,FALSE,TRUE
9,4,Radial,TRUE,TRUE
9,5,Radial,FALSE,FALSE
9,6,Radial,TRUE,TRUE
9,7,Radial,FALSE,TRUE
9,8,Radial,TRUE,TRUE
9,9,Radial,FALSE,TRUE
9,10,Radial,TRUE,FALSE
9,11,Radial,FALSE,TRUE
9,12,Radial,TRUE,TRUE
9,13,Radial,FALSE,TRUE
9,14,Radial,TRUE,FALSE
9,15,Radial,FALSE,FALSE
9,16,Radial,TRUE,TRUE
9,17,Radial,FALSE,FALSE
9,18,Radial,TRUE,TRUE
9,19,Radial,FALSE,TRUE
9,20,Radial,TRUE,TRUE
9,21,Radial,FALSE,TRUE
9,22,Radial,TRUE,TRUE
9,23,Radial,FALSE,TRUE
9,24,Radial,TRUE,TRUE
9,25,Radial,FALSE,TRUE
9,26,Radial,TRUE,TRUE
9,27,Radial,FALSE,TRUE
9,28,Radial,TRUE,TRUE
9,29,Radial,FALSE,TRUE
9,30,Radial,TRUE,TRUE
9,31,Radial,FALSE,TRUE
9,32,Radial,TRUE,TRUE
