,Year_monitoring,Plot_number,Plot_treatment,Quadrat_number,Quadrat_fenced,Quadrat_gap,Record_ID,T002_Flora_Species_name,Score,Origin,Scientific Name,Common Name,Family Name,Life Form
15,6,1,Gap,12,False,False,11243,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
16,6,1,Gap,15,False,False,11303,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
17,3,1,Gap,15,False,False,341,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
18,6,1,Gap,16,False,False,11324,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
19,3,1,Gap,16,False,False,363,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
20,6,2,Control,2,False,False,11361,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
21,6,2,Control,3,False,False,11386,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
22,0,2,Control,5,False,False,6151,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
23,6,2,Control,6,False,False,11449,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
24,6,2,Control,7,False,False,11475,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
25,6,2,Control,9,False,False,11514,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
26,0,2,Control,11,False,False,6280,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
27,6,2,Control,12,False,False,11598,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
28,6,2,Control,16,False,False,11673,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
29,6,3,Radial,1,False,True,11687,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
30,6,3,Radial,3,False,True,11723,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
31,6,3,Radial,8,False,False,11809,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
32,0,3,Radial,8,False,False,6508,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
33,6,3,Radial,9,False,True,11824,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
34,6,3,Radial,11,False,True,11858,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
35,0,3,Radial,11,False,True,6561,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
36,6,3,Radial,14,False,True,11904,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
37,6,3,Radial,15,False,False,11920,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
38,6,3,Radial,16,False,True,11938,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
39,6,4,Control,1,False,True,11957,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
40,3,4,Control,1,False,True,1748,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
41,3,4,Control,2,False,False,1764,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
42,6,4,Control,4,False,True,12004,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
43,0,4,Control,4,False,True,6713,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
44,3,4,Control,4,False,True,1482,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
45,3,4,Control,4,False,True,1813,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
46,6,4,Control,6,False,True,12035,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
47,3,4,Control,6,False,True,1850,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
48,6,4,Control,7,False,False,12051,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
49,3,4,Control,7,False,False,1870,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
50,6,4,Control,9,False,True,12083,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
51,6,4,Control,12,False,False,12129,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
52,3,4,Control,12,False,False,1953,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
53,6,4,Control,14,False,True,12161,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
54,6,4,Control,21,False,False,12272,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
55,6,4,Control,22,False,False,12292,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
56,3,4,Control,23,False,False,2174,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
57,3,4,Control,24,False,False,2195,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
58,6,4,Control,25,False,False,12336,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
59,3,4,Control,26,False,False,2234,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
60,6,4,Control,27,False,False,12372,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
61,6,4,Control,28,False,False,12386,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
62,6,5,Radial,1,False,False,12471,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
63,0,5,Radial,1,False,False,7171,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
64,6,5,Radial,2,False,False,12495,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
65,3,5,Radial,2,False,False,2377,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
66,6,5,Radial,3,False,True,12521,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
67,3,5,Radial,3,False,True,2396,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
68,0,5,Radial,4,False,True,7235,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
69,6,5,Radial,5,False,True,12561,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
70,3,5,Radial,5,False,True,2431,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
71,6,5,Radial,6,False,False,12585,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
72,3,5,Radial,6,False,False,2444,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
73,3,5,Radial,8,False,True,2477,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
74,6,5,Radial,9,False,False,12651,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
75,6,5,Radial,10,False,True,12673,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
76,6,5,Radial,11,False,True,12697,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
77,6,5,Radial,13,False,True,12719,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
78,6,5,Radial,14,False,True,12738,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
79,3,5,Radial,14,False,True,2578,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
80,6,5,Radial,15,False,True,12759,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
81,6,6,Control,2,False,False,12814,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
82,6,6,Control,7,False,False,12930,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
83,6,6,Control,8,False,False,12961,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
84,6,6,Control,9,False,False,12981,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
85,6,6,Control,15,False,False,13102,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
86,3,7,Radial,3,False,True,818,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
87,3,7,Radial,6,True,False,642,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
88,3,7,Radial,8,True,True,522,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
89,3,7,Radial,9,False,False,875,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
90,3,7,Radial,10,True,True,664,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
91,3,7,Radial,11,False,False,892,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
92,3,7,Radial,12,True,True,541,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
93,3,7,Radial,13,False,True,913,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
94,3,7,Radial,14,True,True,566,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
95,3,7,Radial,15,False,True,933,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
96,3,7,Radial,17,False,False,952,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
97,3,7,Radial,20,True,True,701,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
98,3,7,Radial,21,False,False,989,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
99,3,7,Radial,23,False,False,1011,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
100,6,7,Radial,24,True,False,13451,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
101,3,7,Radial,24,True,False,719,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
102,6,7,Radial,25,False,False,13467,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
103,6,7,Radial,27,False,True,13497,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
104,3,7,Radial,27,False,True,1044,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
105,6,7,Radial,29,False,True,13521,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
106,6,7,Radial,30,True,True,13539,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
107,3,7,Radial,31,False,True,1078,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
108,3,7,Radial,32,True,False,780,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
109,6,8,Gap,2,False,False,13596,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
110,6,8,Gap,3,False,True,13615,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
111,3,8,Gap,3,False,True,2972,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
112,6,8,Gap,4,False,True,13632,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
113,6,8,Gap,6,False,True,13675,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
114,6,8,Gap,12,False,False,13774,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
115,3,8,Gap,14,False,True,3192,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
116,3,9,Radial,2,True,True,3281,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
117,0,9,Radial,5,False,False,8683,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
118,3,9,Radial,9,False,True,3417,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
119,3,9,Radial,10,True,False,3438,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
120,6,9,Radial,11,False,True,13980,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
121,3,9,Radial,15,False,False,3516,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
122,3,9,Radial,16,True,True,3536,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
123,3,9,Radial,18,True,True,3573,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
124,6,9,Radial,19,False,True,14102,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
125,6,9,Radial,20,True,True,14117,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
126,3,9,Radial,20,True,True,3621,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
127,0,9,Radial,21,False,True,8944,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
128,6,9,Radial,23,False,True,14165,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
129,3,9,Radial,23,False,True,3690,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
130,0,9,Radial,23,False,True,8983,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
131,3,9,Radial,24,True,True,3718,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
132,6,9,Radial,25,False,True,14190,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
133,0,9,Radial,25,False,True,9023,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
134,3,9,Radial,26,True,True,3763,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
135,0,9,Radial,26,True,True,9046,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
136,3,9,Radial,27,False,True,3785,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
137,0,9,Radial,27,False,True,9068,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
138,6,9,Radial,28,True,True,14231,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
139,3,9,Radial,28,True,True,3811,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
140,6,9,Radial,29,False,True,14245,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
141,3,9,Radial,29,False,True,3829,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
142,0,9,Radial,29,False,True,9111,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
143,6,9,Radial,30,True,True,14255,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
144,0,9,Radial,30,True,True,9135,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
145,3,9,Radial,32,True,True,3881,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
146,0,9,Radial,32,True,True,9173,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
147,6,10,Gap,1,False,False,14299,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
148,3,10,Gap,1,False,False,3908,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
149,3,10,Gap,2,True,True,3925,Stellaria spp.,2.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
150,6,10,Gap,3,False,True,14325,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
151,3,10,Gap,3,False,True,3946,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
152,3,10,Gap,5,False,False,3986,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
153,6,10,Gap,6,True,True,14375,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
154,3,10,Gap,6,True,True,4009,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
155,3,10,Gap,7,False,True,4036,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
156,3,10,Gap,8,True,True,4058,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
157,6,10,Gap,9,False,True,14423,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
158,6,10,Gap,11,False,True,14460,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
159,3,10,Gap,12,True,True,4148,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
160,6,10,Gap,13,False,False,14486,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
161,3,10,Gap,13,False,False,4164,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
162,0,10,Gap,13,False,False,9361,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
163,6,10,Gap,14,True,False,14502,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
164,3,10,Gap,14,True,False,4179,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
165,6,10,Gap,16,True,True,14533,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
166,6,10,Gap,17,False,False,14551,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
167,0,10,Gap,17,False,False,9409,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
168,3,10,Gap,18,True,False,4233,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
169,3,10,Gap,20,True,True,4263,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
170,0,10,Gap,20,True,True,9451,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
171,6,10,Gap,21,False,False,14600,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
172,3,10,Gap,21,False,False,4279,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
173,3,10,Gap,22,True,True,4295,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
174,6,10,Gap,24,True,True,14628,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
175,3,10,Gap,24,True,True,4322,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
176,3,10,Gap,27,False,False,4357,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
177,3,10,Gap,29,False,False,4383,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
178,6,10,Gap,31,False,True,14701,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
179,3,10,Gap,31,False,True,4423,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
180,6,10,Gap,32,True,True,14723,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
181,6,11,Control,4,False,False,14811,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
182,6,11,Control,5,False,False,14830,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
183,3,11,Control,5,False,False,4546,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
184,0,11,Control,5,False,False,9677,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
185,6,11,Control,6,False,False,14852,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
186,6,11,Control,7,False,False,14873,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
187,6,11,Control,8,False,False,14895,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
188,0,11,Control,11,False,False,9781,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
189,6,11,Control,13,False,False,15006,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
190,6,11,Control,16,False,False,15073,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
191,3,11,Control,17,False,False,4782,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
