Year_monitoring,Date_monitoring,Observer1,Observer2,Plot_number,Plot_treatment,Plot_percent_burgan,Quadrat_number,Quadrat_fenced,Quadrat_Can_Cov,Quadrat_gap_or_no,Record_ID,T002_Flora_Species_name,Score,Percentage_range
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,69,Cerastium glomeratum,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,70,Wahlenbergia spp,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,31,Leaf Litter,9.0,70-80%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,72,Austrostipa spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,73,Stuartina muelleri,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,35,Aira spp.,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,32,Bare Earth,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,34,CWD,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,36,Briza minor,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,37,Conyza sumatrensis,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,38,Cotula australis,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,39,Crassula spp,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,40,Daucus glochidiatus,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,41,Dichondra repens,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,42,Einadia nutans,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,33,Moss/Lichen,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,47,Lomandra longifolia,5.0,30-40%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,46,Lomandra filiformis,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,45,Lagenophora spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10988,Stellaria spp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10977,Hydrocotyle spp,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,2,False,,,10981,Microlaena stipoides,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10976,Glycine clandestina,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10978,Hypochaeris glabra,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10979,Imperata cylindrica,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10980,Lomandra longifolia,5.0,30-40%
6,2019-10-22,PH,,1,Gap,,2,False,,,10982,Poranthera microphylla,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10983,Pteridium esculentum,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,2,False,,,10984,Rytidosperma caespitosum,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10985,Rytidosperma geniculata,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10987,Senecio tenuiflorus,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,2,False,,,10975,Euchiton spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10986,Senecio pinnatifolius,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10967,Bare Earth,4.0,20-30%
6,2019-10-22,PH,,1,Gap,,2,False,,,10966,Leaf Litter,3.0,10-20%
6,2019-10-22,PH,,1,Gap,,2,False,,,10968,Moss/Lichen,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,2,False,,,10969,CWD,3.0,10-20%
6,2019-10-22,PH,,1,Gap,,2,False,,,10970,Aira spp.,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,2,False,,,10972,Crassula sieberiana,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,2,False,,,10973,Daucus glochidiatus,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10974,Dichondra repens,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,2,False,,,10971,Austrostipa scabra,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5803,Hydrocotyle spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5801,Euchiton spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5802,Gnaphalium sp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5804,Hypericum gramineum,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5800,Dichondra repens,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5795,Rytidosperma spp.,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5805,Hypochaeris spp,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5799,Conyza sumatrensis,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5798,Cerastium sp.,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5797,Centaurium erythraea,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5796,Austrostipa spp,2.0,5-10%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5793,Moss/Lichen,2.0,5-10%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5791,Leaf Litter,7.0,50-60%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5794,Aira spp.,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5810,Unknown Species,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5806,Lomandra longifolia,3.0,10-20%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5807,Poranthera microphylla,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5808,Pterostylis spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5809,Senecio spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,2,False,,In Gap,5792,Bare Earth,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,51,Bare Earth,2.0,5-10%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,67,Austrostipa spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,55,Rytidosperma spp.,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,65,Senecio spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,53,CWD,3.0,10-20%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,54,Aira spp.,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,50,Leaf Litter,3.0,10-20%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,56,Cerastium glomeratum,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,61,Lomandra longifolia,4.0,20-30%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,57,Conyza sumatrensis,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,58,Daucus glochidiatus,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,52,Moss/Lichen,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,59,Dichondra repens,3.0,10-20%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,60,Hypochaeris spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,62,Luzula meridionalis,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,63,Microlaena stipoides,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,2,False,,In Gap,64,Pteridium esculentum,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,3,False,,,11002,Hydrocotyle spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11008,Poa labillardieri,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11007,Oxalis (native),0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11006,Lomandra longifolia,6.0,40-50%
6,2019-10-22,PH,,1,Gap,,3,False,,,11005,Imperata cylindrica,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11004,Hypochaeris radicata,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11009,Pteridium esculentum,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,3,False,,,11014,Stellaria spp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11003,Hypericum gramineum,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11010,Rytidosperma caespitosum,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,3,False,,,11011,Rytidosperma geniculata,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,3,False,,,11012,Senecio pinnatifolius,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11000,Euchiton spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11015,Vulpia sp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11016,Wahlenbergia spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,11013,Senecio tenuiflorus,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,10992,CWD,2.0,5-10%
6,2019-10-22,PH,,1,Gap,,3,False,,,11001,Glycine clandestina,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,10989,Leaf Litter,3.0,10-20%
6,2019-10-22,PH,,1,Gap,,3,False,,,10991,Moss/Lichen,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,3,False,,,10993,Aira spp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,10994,Arthropodium strictum,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,10996,Cardamine sp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,10997,Cotula australis,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,10998,Crassula sieberiana,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,3,False,,,10999,Dichondra repens,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,10995,Briza minor,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,3,False,,,10990,Bare Earth,3.0,10-20%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5829,Poa spp,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5828,Microlaena stipoides,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5827,Lomandra longifolia,4.0,20-30%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5826,Lagenophora spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5825,Hypochaeris spp,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5830,Poranthera microphylla,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5824,Hypericum gramineum,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5831,Pteridium esculentum,2.0,5-10%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5832,Senecio spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5823,Hydrocotyle spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5833,Wahlenbergia spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5816,Rytidosperma spp.,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5813,Bare Earth,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5814,Moss/Lichen,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5817,Centaurium erythraea,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5818,Conyza sumatrensis,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5819,Cotula australis,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5822,Glycine clandestina,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5815,Aira spp.,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5820,Dichondra repens,2.0,5-10%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5821,Euchiton spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,3,False,,In Gap,5812,Leaf Litter,5.0,30-40%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,92,Poranthera microphylla,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,91,Poa spp,2.0,5-10%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,86,Hypericum gramineum,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,88,Lagenophora spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,93,Pteridium esculentum,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,96,Austrostipa spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,89,Lomandra longifolia,5.0,30-40%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,90,Oxalis sp 2.,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,94,Sonchus spp,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,95,Rytidosperma spp.,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,85,Hydrocotyle spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,78,CWD,2.0,5-10%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,80,Arthropodium spp,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,75,Leaf Litter,3.0,10-20%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,76,Bare Earth,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,77,Moss/Lichen,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,79,Aira spp.,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,81,Carex spp,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,82,Cerastium glomeratum,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,83,Cotula australis,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,3,False,,In Gap,84,Daucus glochidiatus,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,4,False,,,11028,Hydrocotyle spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,4,False,,,11027,Euchiton spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,4,False,,,11026,Diuris sulphurea,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,4,False,,,11034,Stellaria spp.,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,4,False,,,11023,Crassula sieberiana,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,4,False,,,11029,Lomandra longifolia,8.0,60-70%
6,2019-10-22,PH,,1,Gap,,4,False,,,11030,Microlaena stipoides,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,4,False,,,11031,Poranthera microphylla,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,4,False,,,11032,Rytidosperma geniculata,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,4,False,,,11033,Senecio pinnatifolius,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,4,False,,,11018,Bare Earth,3.0,10-20%
6,2019-10-22,PH,,1,Gap,,4,False,,,11017,Leaf Litter,3.0,10-20%
6,2019-10-22,PH,,1,Gap,,4,False,,,11019,Moss/Lichen,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,4,False,,,11020,CWD,3.0,10-20%
6,2019-10-22,PH,,1,Gap,,4,False,,,11021,Aira spp.,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,4,False,,,11022,Cotula australis,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,4,False,,,11024,Daucus glochidiatus,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,4,False,,,11025,Dichondra repens,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5847,Senecio spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5843,Hypochaeris spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5844,Lomandra longifolia,6.0,40-50%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5845,Microlaena stipoides,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5846,Pterostylis spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5842,Hydrocotyle spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5848,Wahlenbergia spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5834,Leaf Litter,8.0,60-70%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5836,Moss/Lichen,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5835,Bare Earth,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5837,Arthropodium spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5838,Rytidosperma spp.,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5841,Cotula australis,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5840,Conyza sumatrensis,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,4,False,,In Gap,5839,Cerastium sp.,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,103,Arthropodium spp,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,98,Leaf Litter,2.0,5-10%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,99,Bare Earth,2.0,5-10%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,100,Moss/Lichen,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,122,Wahlenbergia spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,117,Pterostylis spp,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,118,Senecio spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,119,Stellaria spp.,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,120,Thelymitra spp,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,116,Poranthera microphylla,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,123,Rytidosperma spp.,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,102,Aira spp.,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,101,CWD,3.0,10-20%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,121,Tricoryne elatior,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,104,Briza minor,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,115,Poa spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,105,Cerastium glomeratum,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,106,Conyza sumatrensis,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,107,Cotula australis,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,108,Dichondra repens,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,109,Hydrocotyle spp,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,113,Luzula meridionalis,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,112,Lomandra longifolia,6.0,40-50%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,111,Lagenophora spp,0.5,Trace <1%
3,2015-10-20,RE,CM,1,Gap,0.0,4,False,,In Gap,114,Microlaena stipoides,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,5,False,,,11052,Rytidosperma geniculata,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,5,False,,,11046,Hydrocotyle spp,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,5,False,,,11043,Crassula sieberiana,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,5,False,,,11044,Dichondra repens,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,5,False,,,11045,Geranium sp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,5,False,,,11042,Cotula australis,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,5,False,,,11047,Hypericum gramineum,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,5,False,,,11041,Briza minor,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,5,False,,,11050,Lomandra longifolia,3.0,10-20%
6,2019-10-22,PH,,1,Gap,,5,False,,,11049,Lagenophora spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,5,False,,,11053,Senecio tenuiflorus,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,5,False,,,11054,Vulpia sp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,5,False,,,11048,Hypochaeris radicata,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,5,False,,,11039,Aira spp.,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,5,False,,,11038,CWD,2.0,5-10%
6,2019-10-22,PH,,1,Gap,,5,False,,,11037,Moss/Lichen,3.0,10-20%
