Year_monitoring,Plot_number,Plot_treatment,Quadrat_number,Quadrat_fenced,Quadrat_gap,Record_ID,T002_Flora_Species_name,Score,Scientific Name,Common Name,Family Name,Division Name,Life Form,Origin
6,1,Gap,1,False,False,10729,Pteridium esculentum,0.5,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern,
0,1,Gap,1,False,False,5790,Senecio spp,0.5,,,,,Unknown,
0,1,Gap,1,False,False,5789,Pteridium esculentum,0.5,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern,
0,1,Gap,1,False,False,5788,Microlaena stipoides,0.5,,,,,Unknown,
0,1,Gap,1,False,False,5787,Lomandra longifolia,4.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
0,1,Gap,1,False,False,5786,Lagenophora spp,0.5,Lagenophora montana,Mountain Bottle-daisy,Asteraceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,1,False,False,5785,Hypochaeris spp,0.5,Hypochaeris glabra,Smooth Cat's-ear,,,Forb,Introduced
0,1,Gap,1,False,False,5784,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,1,False,False,5779,Aira spp.,1.0,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
0,1,Gap,1,False,False,5780,Rytidosperma spp.,1.0,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
0,1,Gap,1,False,False,5781,Conyza sumatrensis,0.5,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb,
0,1,Gap,1,False,False,5782,Cotula australis,0.5,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,1,False,False,5783,Dichondra repens,1.0,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
3,1,Gap,1,False,False,71,Rytidosperma spp.,1.0,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
3,1,Gap,1,False,False,48,Senecio spp,1.0,,,,,Unknown,
3,1,Gap,1,False,False,69,Cerastium glomeratum,0.5,Cerastium glomeratum s.l.,Common Mouse-ear Chickweed,Caryophyllaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,1,False,False,70,Wahlenbergia spp,0.5,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb,
3,1,Gap,1,False,False,72,Austrostipa spp,1.0,Austrostipa rudis,Veined Spear-grass,Poaceae,Monocotyledons,Large Tufted grass/sedge,
3,1,Gap,1,False,False,73,Stuartina muelleri,0.5,Stuartina muelleri,Spoon Cudweed,Asteraceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,1,False,False,35,Aira spp.,0.5,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
3,1,Gap,1,False,False,36,Briza minor,0.5,Briza minor,Lesser Quaking-grass,Poaceae,Monocotyledons,Small Tufted grass/sedge,
3,1,Gap,1,False,False,37,Conyza sumatrensis,0.5,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb,
3,1,Gap,1,False,False,38,Cotula australis,0.5,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,1,False,False,39,Crassula spp,0.5,,,,,Unknown,
3,1,Gap,1,False,False,40,Daucus glochidiatus,0.5,Daucus glochidiatus,Australian Carrot,Apiaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,1,False,False,41,Dichondra repens,0.5,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
3,1,Gap,1,False,False,42,Einadia nutans,0.5,Einadia nutans,Nodding Saltbush,,,Forb,
3,1,Gap,1,False,False,47,Lomandra longifolia,5.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
3,1,Gap,1,False,False,46,Lomandra filiformis,0.5,Lomandra filiformis,Wattle Mat-rush,Xanthorrhoeaceae,Monocotyledons,Medium Forb/Herb,
3,1,Gap,1,False,False,45,Lagenophora spp,0.5,Lagenophora montana,Mountain Bottle-daisy,Asteraceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,2,False,True,10988,Stellaria spp.,0.5,Stellaria sp. 1,Slender Starwort,Caryophyllaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,2,False,True,10977,Hydrocotyle spp,1.0,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,2,False,True,10981,Microlaena stipoides,0.5,,,,,Unknown,
6,1,Gap,2,False,True,10976,Glycine clandestina,0.5,Glycine clandestina,Twining Glycine,Fabaceae,Dicotyledons,Climber,
6,1,Gap,2,False,True,10978,Hypochaeris glabra,0.5,Hypochaeris glabra,Smooth Cat's-ear,,,Forb,Introduced
6,1,Gap,2,False,True,10979,Imperata cylindrica,0.5,Imperata cylindrica,Blady Grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge,
6,1,Gap,2,False,True,10980,Lomandra longifolia,5.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
6,1,Gap,2,False,True,10982,Poranthera microphylla,0.5,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,2,False,True,10983,Pteridium esculentum,1.0,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern,
6,1,Gap,2,False,True,10984,Rytidosperma caespitosum,0.5,Rytidosperma caespitosum,Common Wallaby-grass,,,Tussock grass,
6,1,Gap,2,False,True,10985,Rytidosperma geniculata,0.5,Rytidosperma geniculatum,Kneed Wallaby-grass,,,Tussock grass,
6,1,Gap,2,False,True,10987,Senecio tenuiflorus,1.0,Senecio tenuiflorus s.l.,Slender Fireweed,,,Forb,
6,1,Gap,2,False,True,10975,Euchiton spp,0.5,,,,,Unknown,
6,1,Gap,2,False,True,10986,Senecio pinnatifolius,0.5,Senecio pinnatifolius,Variable Groundsel,Asteraceae,Dicotyledons,Large Forb/Herb,
6,1,Gap,2,False,True,10970,Aira spp.,1.0,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
6,1,Gap,2,False,True,10972,Crassula sieberiana,1.0,Crassula sieberiana s.l.,Sieber Crassula,Crassulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
6,1,Gap,2,False,True,10973,Daucus glochidiatus,0.5,Daucus glochidiatus,Australian Carrot,Apiaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,2,False,True,10974,Dichondra repens,0.5,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
6,1,Gap,2,False,True,10971,Austrostipa scabra,1.0,Austrostipa scabra,Rough Spear-grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge,
0,1,Gap,2,False,True,5803,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,2,False,True,5801,Euchiton spp,0.5,,,,,Unknown,
0,1,Gap,2,False,True,5802,Gnaphalium sp,0.5,Gnaphalium indutum,Tiny Cudweed,Asteraceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,2,False,True,5804,Hypericum gramineum,0.5,Hypericum gramineum,Small St John's Wort,Clusiaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,2,False,True,5800,Dichondra repens,1.0,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
0,1,Gap,2,False,True,5795,Rytidosperma spp.,0.5,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
0,1,Gap,2,False,True,5805,Hypochaeris spp,1.0,Hypochaeris glabra,Smooth Cat's-ear,,,Forb,Introduced
0,1,Gap,2,False,True,5799,Conyza sumatrensis,0.5,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb,
0,1,Gap,2,False,True,5798,Cerastium sp.,0.5,,,,,Unknown,
0,1,Gap,2,False,True,5797,Centaurium erythraea,0.5,Centaurium erythraea,Common Centaury,Gentianaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,2,False,True,5796,Austrostipa spp,2.0,Austrostipa rudis,Veined Spear-grass,Poaceae,Monocotyledons,Large Tufted grass/sedge,
0,1,Gap,2,False,True,5794,Aira spp.,0.5,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
0,1,Gap,2,False,True,5810,Unknown Species,0.5,,,,,Unknown,
0,1,Gap,2,False,True,5806,Lomandra longifolia,3.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
0,1,Gap,2,False,True,5807,Poranthera microphylla,0.5,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,2,False,True,5808,Pterostylis spp,0.5,Pterostylis laxa,Antelope Greenhood,Orchidaceae,Monocotyledons,Medium Forb/Herb,
0,1,Gap,2,False,True,5809,Senecio spp,0.5,,,,,Unknown,
3,1,Gap,2,False,True,67,Austrostipa spp,1.0,Austrostipa rudis,Veined Spear-grass,Poaceae,Monocotyledons,Large Tufted grass/sedge,
3,1,Gap,2,False,True,55,Rytidosperma spp.,0.5,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
3,1,Gap,2,False,True,65,Senecio spp,1.0,,,,,Unknown,
3,1,Gap,2,False,True,54,Aira spp.,1.0,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
3,1,Gap,2,False,True,56,Cerastium glomeratum,0.5,Cerastium glomeratum s.l.,Common Mouse-ear Chickweed,Caryophyllaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,2,False,True,61,Lomandra longifolia,4.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
3,1,Gap,2,False,True,57,Conyza sumatrensis,0.5,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb,
3,1,Gap,2,False,True,58,Daucus glochidiatus,1.0,Daucus glochidiatus,Australian Carrot,Apiaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,2,False,True,59,Dichondra repens,3.0,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
3,1,Gap,2,False,True,60,Hypochaeris spp,1.0,Hypochaeris glabra,Smooth Cat's-ear,,,Forb,Introduced
3,1,Gap,2,False,True,62,Luzula meridionalis,1.0,Luzula meridionalis,Common Woodrush,Juncaceae,Monocotyledons,Small Tufted grass/sedge,
3,1,Gap,2,False,True,63,Microlaena stipoides,1.0,,,,,Unknown,
3,1,Gap,2,False,True,64,Pteridium esculentum,1.0,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern,
6,1,Gap,3,False,True,11002,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,3,False,True,11008,Poa labillardieri,0.5,Poa labillardierei,Common Tussock-grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge,
6,1,Gap,3,False,True,11007,Oxalis (native),0.5,,,,,Unknown,
6,1,Gap,3,False,True,11006,Lomandra longifolia,6.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
6,1,Gap,3,False,True,11005,Imperata cylindrica,0.5,Imperata cylindrica,Blady Grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge,
6,1,Gap,3,False,True,11004,Hypochaeris radicata,0.5,Hypochaeris radicata,Flatweed,,,Forb,Introduced
6,1,Gap,3,False,True,11009,Pteridium esculentum,1.0,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern,
6,1,Gap,3,False,True,11014,Stellaria spp.,0.5,Stellaria sp. 1,Slender Starwort,Caryophyllaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,3,False,True,11003,Hypericum gramineum,0.5,Hypericum gramineum,Small St John's Wort,Clusiaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,3,False,True,11010,Rytidosperma caespitosum,1.0,Rytidosperma caespitosum,Common Wallaby-grass,,,Tussock grass,
6,1,Gap,3,False,True,11011,Rytidosperma geniculata,1.0,Rytidosperma geniculatum,Kneed Wallaby-grass,,,Tussock grass,
6,1,Gap,3,False,True,11012,Senecio pinnatifolius,0.5,Senecio pinnatifolius,Variable Groundsel,Asteraceae,Dicotyledons,Large Forb/Herb,
6,1,Gap,3,False,True,11000,Euchiton spp,0.5,,,,,Unknown,
6,1,Gap,3,False,True,11015,Vulpia sp.,0.5,Vulpia spp.,Fescue,Poaceae,Monocotyledons,Medium Tufted grass/sedge,
6,1,Gap,3,False,True,11016,Wahlenbergia spp,0.5,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb,
6,1,Gap,3,False,True,11013,Senecio tenuiflorus,0.5,Senecio tenuiflorus s.l.,Slender Fireweed,,,Forb,
6,1,Gap,3,False,True,11001,Glycine clandestina,0.5,Glycine clandestina,Twining Glycine,Fabaceae,Dicotyledons,Climber,
6,1,Gap,3,False,True,10993,Aira spp.,0.5,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
6,1,Gap,3,False,True,10994,Arthropodium strictum,0.5,Arthropodium strictum s.l.,Chocolate Lily,Anthericaceae,Monocotyledons,Large Forb/Herb,
6,1,Gap,3,False,True,10996,Cardamine sp.,0.5,Cardamine tryssa,Dainty Bitter-cress,,,Forb,
6,1,Gap,3,False,True,10997,Cotula australis,0.5,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,3,False,True,10998,Crassula sieberiana,1.0,Crassula sieberiana s.l.,Sieber Crassula,Crassulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
6,1,Gap,3,False,True,10999,Dichondra repens,0.5,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
6,1,Gap,3,False,True,10995,Briza minor,0.5,Briza minor,Lesser Quaking-grass,Poaceae,Monocotyledons,Small Tufted grass/sedge,
0,1,Gap,3,False,True,5829,Poa spp,1.0,Poa fax,Scaly Poa,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
0,1,Gap,3,False,True,5828,Microlaena stipoides,1.0,,,,,Unknown,
0,1,Gap,3,False,True,5827,Lomandra longifolia,4.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
0,1,Gap,3,False,True,5826,Lagenophora spp,0.5,Lagenophora montana,Mountain Bottle-daisy,Asteraceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,3,False,True,5825,Hypochaeris spp,1.0,Hypochaeris glabra,Smooth Cat's-ear,,,Forb,Introduced
0,1,Gap,3,False,True,5830,Poranthera microphylla,0.5,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,3,False,True,5824,Hypericum gramineum,0.5,Hypericum gramineum,Small St John's Wort,Clusiaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,3,False,True,5831,Pteridium esculentum,2.0,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern,
0,1,Gap,3,False,True,5832,Senecio spp,0.5,,,,,Unknown,
0,1,Gap,3,False,True,5823,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,3,False,True,5833,Wahlenbergia spp,0.5,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb,
0,1,Gap,3,False,True,5816,Rytidosperma spp.,0.5,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
0,1,Gap,3,False,True,5817,Centaurium erythraea,0.5,Centaurium erythraea,Common Centaury,Gentianaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,3,False,True,5818,Conyza sumatrensis,0.5,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb,
0,1,Gap,3,False,True,5819,Cotula australis,0.5,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,3,False,True,5822,Glycine clandestina,0.5,Glycine clandestina,Twining Glycine,Fabaceae,Dicotyledons,Climber,
0,1,Gap,3,False,True,5815,Aira spp.,0.5,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
0,1,Gap,3,False,True,5820,Dichondra repens,2.0,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
0,1,Gap,3,False,True,5821,Euchiton spp,0.5,,,,,Unknown,
3,1,Gap,3,False,True,92,Poranthera microphylla,1.0,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,3,False,True,91,Poa spp,2.0,Poa fax,Scaly Poa,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
3,1,Gap,3,False,True,86,Hypericum gramineum,0.5,Hypericum gramineum,Small St John's Wort,Clusiaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,3,False,True,88,Lagenophora spp,1.0,Lagenophora montana,Mountain Bottle-daisy,Asteraceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,3,False,True,93,Pteridium esculentum,1.0,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern,
3,1,Gap,3,False,True,96,Austrostipa spp,1.0,Austrostipa rudis,Veined Spear-grass,Poaceae,Monocotyledons,Large Tufted grass/sedge,
3,1,Gap,3,False,True,89,Lomandra longifolia,5.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
3,1,Gap,3,False,True,90,Oxalis sp 2.,1.0,Oxalis hirta,Hairy Wood-sorrel,Oxalidaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,3,False,True,94,Sonchus spp,0.5,,,,,Unknown,
3,1,Gap,3,False,True,95,Rytidosperma spp.,1.0,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
3,1,Gap,3,False,True,85,Hydrocotyle spp,1.0,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,3,False,True,80,Arthropodium spp,0.5,Arthropodium minus,Small Vanilla-lily,Anthericaceae,Monocotyledons,Large Forb/Herb,
3,1,Gap,3,False,True,79,Aira spp.,1.0,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
3,1,Gap,3,False,True,81,Carex spp,0.5,Carex iynx,Tussock Sedge,Cyperaceae,Monocotyledons,Medium Tufted grass/sedge,
3,1,Gap,3,False,True,82,Cerastium glomeratum,0.5,Cerastium glomeratum s.l.,Common Mouse-ear Chickweed,Caryophyllaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,3,False,True,83,Cotula australis,0.5,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,3,False,True,84,Daucus glochidiatus,0.5,Daucus glochidiatus,Australian Carrot,Apiaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,4,False,True,11028,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,4,False,True,11027,Euchiton spp,0.5,,,,,Unknown,
6,1,Gap,4,False,True,11026,Diuris sulphurea,0.5,Diuris sulphurea,Tiger Orchid,Orchidaceae,Monocotyledons,Medium Forb/Herb,
6,1,Gap,4,False,True,11034,Stellaria spp.,1.0,Stellaria sp. 1,Slender Starwort,Caryophyllaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,4,False,True,11023,Crassula sieberiana,1.0,Crassula sieberiana s.l.,Sieber Crassula,Crassulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
6,1,Gap,4,False,True,11029,Lomandra longifolia,8.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
6,1,Gap,4,False,True,11030,Microlaena stipoides,0.5,,,,,Unknown,
6,1,Gap,4,False,True,11031,Poranthera microphylla,0.5,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,4,False,True,11032,Rytidosperma geniculata,0.5,Rytidosperma geniculatum,Kneed Wallaby-grass,,,Tussock grass,
6,1,Gap,4,False,True,11033,Senecio pinnatifolius,1.0,Senecio pinnatifolius,Variable Groundsel,Asteraceae,Dicotyledons,Large Forb/Herb,
6,1,Gap,4,False,True,11021,Aira spp.,1.0,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
6,1,Gap,4,False,True,11022,Cotula australis,0.5,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,4,False,True,11024,Daucus glochidiatus,0.5,Daucus glochidiatus,Australian Carrot,Apiaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,4,False,True,11025,Dichondra repens,0.5,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
0,1,Gap,4,False,True,5847,Senecio spp,0.5,,,,,Unknown,
0,1,Gap,4,False,True,5843,Hypochaeris spp,0.5,Hypochaeris glabra,Smooth Cat's-ear,,,Forb,Introduced
0,1,Gap,4,False,True,5844,Lomandra longifolia,6.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
0,1,Gap,4,False,True,5845,Microlaena stipoides,0.5,,,,,Unknown,
0,1,Gap,4,False,True,5846,Pterostylis spp,0.5,Pterostylis laxa,Antelope Greenhood,Orchidaceae,Monocotyledons,Medium Forb/Herb,
0,1,Gap,4,False,True,5842,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,4,False,True,5848,Wahlenbergia spp,0.5,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb,
0,1,Gap,4,False,True,5837,Arthropodium spp,0.5,Arthropodium minus,Small Vanilla-lily,Anthericaceae,Monocotyledons,Large Forb/Herb,
0,1,Gap,4,False,True,5838,Rytidosperma spp.,1.0,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
0,1,Gap,4,False,True,5841,Cotula australis,0.5,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb,
0,1,Gap,4,False,True,5840,Conyza sumatrensis,0.5,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb,
0,1,Gap,4,False,True,5839,Cerastium sp.,0.5,,,,,Unknown,
3,1,Gap,4,False,True,103,Arthropodium spp,0.5,Arthropodium minus,Small Vanilla-lily,Anthericaceae,Monocotyledons,Large Forb/Herb,
3,1,Gap,4,False,True,122,Wahlenbergia spp,1.0,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb,
3,1,Gap,4,False,True,117,Pterostylis spp,0.5,Pterostylis laxa,Antelope Greenhood,Orchidaceae,Monocotyledons,Medium Forb/Herb,
3,1,Gap,4,False,True,118,Senecio spp,1.0,,,,,Unknown,
3,1,Gap,4,False,True,119,Stellaria spp.,0.5,Stellaria sp. 1,Slender Starwort,Caryophyllaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,4,False,True,120,Thelymitra spp,0.5,Thelymitra nuda,Plain Sun-orchid,Orchidaceae,Monocotyledons,Medium Forb/Herb,
3,1,Gap,4,False,True,116,Poranthera microphylla,0.5,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb,
3,1,Gap,4,False,True,123,Rytidosperma spp.,0.5,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
3,1,Gap,4,False,True,102,Aira spp.,1.0,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
3,1,Gap,4,False,True,121,Tricoryne elatior,0.5,Tricoryne elatior,Yellow Rush-lily,Hemerocallidaceae,Monocotyledons,Large Forb/Herb,
3,1,Gap,4,False,True,104,Briza minor,0.5,Briza minor,Lesser Quaking-grass,Poaceae,Monocotyledons,Small Tufted grass/sedge,
