Life Form,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Gap,8,False,True,0.5,0.0,0.0,27.25,22.9375,36.92857142857143,0.0,0.0,0.0,6.0,3.6666666666666665,0.5,3.75,6.1875,5.214285714285714,9.6875,11.0,3.75,2.8333333333333335,2.375,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,12.285714285714286,2.375,2.5714285714285716,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1875,5.5625,2.0,0.0,0.5,0.5,0.5,3.0
Gap,10,False,False,0.0,0.0,0.0,3.5,2.75,7.928571428571429,0.0,0.0,0.0,4.125,1.3333333333333333,0.0,1.3125,2.5,3.75,2.5,1.5714285714285714,2.0833333333333335,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.8333333333333335,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,4.777777777777778,1.3888888888888888,0.0,0.0,0.5,0.5,0.5
Gap,10,False,True,0.0,0.5,0.0,7.75,10.333333333333334,24.5,0.5,0.5,0.5,17.75,7.75,0.0,1.6666666666666667,8.083333333333334,3.0,2.0,6.4,3.5,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.5,0.5,0.0,0.7,2.8333333333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8.5,9.166666666666666,1.6666666666666667,3.0,0.0,0.5,3.0,0.5
Gap,10,True,False,0.0,0.0,0.0,11.0,10.2,11.0,0.0,0.5,0.5,1.75,5.25,0.0,1.6,5.0,4.3,6.166666666666667,0.0,2.25,0.0,0.5,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.625,2.1666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,12.1,8.3,0.0,0.0,0.5,0.5,1.75
Gap,10,True,True,0.0,0.0,0.0,4.4,10.65,19.875,0.5,0.5,3.0,1.75,14.5,18.666666666666668,1.7272727272727273,6.2272727272727275,7.222222222222222,3.7222222222222223,13.8,3.7222222222222223,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5909090909090908,6.8,1.6428571428571428,0.0,0.0,0.0,0.0,7.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.545454545454545,7.9375,6.142857142857143,0.0,0.0,0.5,1.75,1.3333333333333333
Gap,12,False,False,0.0,0.5,0.0,5.1875,7.6875,13.928571428571429,0.5,0.0,0.5,4.166666666666667,2.875,3.0,3.1875,5.625,4.625,11.375,3.9285714285714284,3.0,0.0,0.5,1.875,0.0,0.0,0.0,0.0,0.0,0.0,2.9166666666666665,3.142857142857143,0.6428571428571429,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.357142857142857,2.2142857142857144,2.1875,0.0,0.0,0.0,0.0,0.0
Gap,12,False,True,0.0,0.5,0.5,3.7857142857142856,9.75,8.357142857142858,0.5,0.0,0.0,2.1666666666666665,2.5,2.8333333333333335,2.5714285714285716,5.6875,5.0,6.428571428571429,8.75,19.714285714285715,0.0,1.6,1.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,4.285714285714286,4.416666666666667,1.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5.142857142857143,1.7142857142857142,7.583333333333333,1.75,0.0,0.0,0.0,1.0
Gap,12,True,False,0.0,0.0,0.0,2.8333333333333335,11.5,18.2,0.5,0.5,3.0,0.5,2.0,3.0,8.25,6.5,5.583333333333333,20.166666666666668,4.5,2.875,0.0,1.6666666666666667,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.25,8.5,0.875,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,4.916666666666667,3.25,0.0,0.0,0.0,0.0,0.0
Gap,12,True,True,0.0,2.1666666666666665,0.0,10.38888888888889,13.95,19.88888888888889,0.5,0.0,0.0,0.5,2.1666666666666665,5.25,4.1,4.05,4.85,7.722222222222222,12.944444444444445,3.1666666666666665,0.5,7.375,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,3.7222222222222223,3.7777777777777777,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,2.875,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
Radial,3,False,False,0.5,0.0,0.5,44.2,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,5.4,10.4,0.0,1.6,1.5,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.875,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.75,0.0,0.0,0.5,0.0,0.5
Radial,3,False,True,0.5714285714285714,0.0,0.5,35.13636363636363,0.0,48.40909090909091,0.0,0.0,0.0,0.5,0.0,0.0,3.0,0.0,3.3636363636363638,4.2272727272727275,0.0,1.6111111111111112,6.583333333333333,0.0,1.0,0.5,0.0,0.5,1.75,0.0,3.0,15.045454545454545,0.0,3.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,11.818181818181818,0.0,1.2272727272727273,0.0,0.0,0.0,0.0,0.0
Radial,5,False,False,0.0,0.0,0.0,32.5,36.0,29.875,0.0,0.0,0.0,1.3333333333333333,3.0,0.5,1.125,2.875,2.125,5.375,2.25,1.25,1.0,0.5,1.5,0.5,3.0,1.75,0.0,0.0,0.0,2.5,5.375,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0
Radial,5,False,True,0.5,0.5,0.5,39.31818181818182,39.05,40.54545454545455,0.0,0.0,0.0,1.125,0.5,0.5,1.7916666666666667,2.3181818181818183,3.3181818181818183,17.25,15.681818181818182,4.2272727272727275,2.0714285714285716,0.875,0.5,1.75,4.4,0.9166666666666666,0.0,0.5,0.0,4.208333333333333,6.090909090909091,3.0454545454545454,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.125,0.5,2.590909090909091,0.0,0.0,0.0,0.0,0.0
Radial,7,False,False,0.0,0.0,0.0,1.1875,2.2857142857142856,0.5714285714285714,0.0,0.0,0.0,1.9,2.1666666666666665,0.0,3.3125,6.1875,3.625,0.8571428571428571,3.3333333333333335,1.5,0.5,0.5,16.75,0.0,0.0,0.0,0.5,0.5,0.5,5.75,4.75,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,19.875,6.75,1.5625,0.0,0.0,0.0,0.0,0.0
Radial,7,False,True,0.5,0.5,0.0,0.6666666666666666,1.2857142857142858,1.1,0.0,0.0,0.0,7.375,11.0,3.0,2.642857142857143,5.0625,3.125,10.333333333333334,10.375,8.285714285714286,0.0,3.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,3.642857142857143,7.083333333333333,2.0625,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4375,3.25,3.7142857142857144,0.0,0.0,0.0,0.0,0.0
Radial,7,True,False,0.0,0.0,0.5,1.0,2.1,0.625,0.0,0.0,0.0,3.0,3.0,7.5,2.5,5.2,6.1,5.4,7.25,1.75,0.5,0.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,8.4,3.875,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,5.0,6.5,0.0,0.0,0.0,0.0,0.0
Radial,7,True,True,0.0,0.5,0.5,1.0,2.5,2.05,0.0,0.0,0.0,3.8333333333333335,23.7,7.5,1.95,8.35,2.3636363636363638,2.909090909090909,7.388888888888889,2.9545454545454546,0.0,0.5,30.6,0.0,0.0,0.0,0.5,0.0,0.0,1.8,13.8,1.2222222222222223,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,3.0,11.65,14.85,4.5,0.0,0.5,0.5,1.3333333333333333,0.5
Radial,9,False,False,0.0,0.0,0.0,3.625,7.875,0.625,0.0,0.0,0.0,0.5,0.5,0.0,4.5,5.0,3.875,7.625,2.875,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875,10.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,3.25,1.25,0.0,0.0,0.0,0.0,0.0
Radial,9,False,True,0.5,0.0,0.0,1.875,4.75,9.214285714285714,0.0,0.0,0.0,4.3,3.0,0.5,3.5454545454545454,5.666666666666667,2.125,9.166666666666666,32.54545454545455,9.863636363636363,25.0,5.5,2.9166666666666665,0.0,0.0,0.0,0.0,0.0,3.0,10.090909090909092,6.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.944444444444445,2.909090909090909,3.0,0.0,0.0,3.0,3.0,3.0
Radial,9,True,False,0.5,0.0,0.0,0.5,1.0,2.0,0.0,0.0,0.0,15.0,3.0,0.0,4.25,12.75,3.0,30.0,3.0,2.0,0.0,3.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,25.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.75,4.25,0.0,0.0,0.0,0.0,0.0
Radial,9,True,True,0.5,0.5,0.0,4.076923076923077,7.0,8.090909090909092,0.0,3.0,0.5,3.6666666666666665,7.785714285714286,0.0,4.0,7.535714285714286,4.571428571428571,8.615384615384615,21.692307692307693,3.8181818181818183,0.0,1.3333333333333333,25.25,0.0,0.0,0.0,0.0,0.0,0.0,4.269230769230769,5.107142857142857,1.0416666666666667,0.0,0.0,0.0,3.0,5.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,7.214285714285714,9.307692307692308,5.363636363636363,3.0,0.0,0.0,0.0,0.0
