Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Year_monitoring,Climber,Forb,Large Forb/Herb,Medium Forb/Herb,Medium Tufted grass/sedge,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Tufted Ground Fern,Unknown,Non-tufted Ground Fern,Small Shrub,Medium Non-tufted grass/sedge,Tussock grass,Large Tufted grass/sedge,Large Shrub to Medium Tree,Shrub,Small Forb/Herb
Gap,10,True,False,6,,12.571428571428571,19.333333333333332,13.428571428571429,14.0,,,14.0,18.666666666666668,19.0,16.32,,,,4.0,,4.0,,
Gap,10,True,True,0,,9.0,17.555555555555557,15.142857142857142,,,17.714285714285715,16.0,,25.0,15.41025641025641,,,,,,24.0,,
Gap,10,True,True,3,,15.333333333333334,15.4,15.789473684210526,20.0,,16.5,22.0,13.714285714285714,16.0,16.5,,,,,14.0,27.0,17.0,
Gap,10,True,True,6,,14.714285714285714,16.615384615384617,11.6,23.333333333333332,,11.333333333333334,26.0,16.4,20.0,17.169811320754718,,,,15.333333333333334,,24.0,12.0,
Gap,12,False,False,0,,14.6,16.6,15.8,,,20.714285714285715,29.0,29.0,,16.70149253731343,,,,,,18.0,,
Gap,12,False,False,3,24.0,14.6,16.333333333333332,15.533333333333333,9.0,,18.0,1.0,15.0,,18.057471264367816,,,,,,,,
Gap,12,False,False,6,,17.0,24.75,15.857142857142858,8.0,,21.0,,18.333333333333332,,17.653061224489797,,21.0,,,,,,
Gap,12,False,True,0,,15.0,16.0,12.555555555555555,,,13.727272727272727,,,,12.466666666666667,,,,,,17.0,,
Gap,12,False,True,3,17.0,14.0,11.75,11.941176470588236,21.0,25.0,10.666666666666666,13.0,9.0,,12.959183673469388,,,,,,,,9.0
Gap,12,False,True,6,13.0,13.75,13.222222222222221,13.222222222222221,13.5,,13.0,,20.0,17.0,13.24390243902439,,,,13.0,,,,
Gap,12,True,False,0,,25.0,24.8,23.0,,,19.0,,8.0,,22.0,,,,,,,,
Gap,12,True,False,3,,27.0,26.0,19.0,30.0,,21.333333333333332,26.0,17.0,,23.147058823529413,,,,,,,,
Gap,12,True,False,6,,25.0,24.666666666666668,21.333333333333332,20.88888888888889,,20.666666666666668,,30.0,,21.93103448275862,,,,23.0,,24.0,,
Gap,12,True,True,0,,22.0,10.8,15.25,16.0,,13.833333333333334,,6.0,,14.181818181818182,,,,,,23.0,,
Gap,12,True,True,3,6.0,20.8,14.125,15.846153846153847,,,14.333333333333334,6.0,4.0,,14.015873015873016,,,,,,28.0,,
Gap,12,True,True,6,,17.333333333333332,12.666666666666666,13.166666666666666,10.5,,6.4,,8.0,,13.444444444444445,,,,8.0,,28.0,,
Radial,3,False,False,0,9.5,8.0,8.125,9.375,15.0,,8.333333333333334,9.0,12.0,12.0,8.076923076923077,,,,,,,,
Radial,3,False,False,6,7.0,7.25,9.6,8.666666666666666,15.0,,,12.0,12.0,12.0,8.5,,,8.0,,,,,
Radial,3,False,True,0,7.5,3.0,8.157894736842104,6.590909090909091,9.0,3.0,8.818181818181818,6.375,9.5,,7.977528089887641,6.0,6.0,,,,,,
Radial,3,False,True,6,8.75,8.6,7.421052631578948,7.954545454545454,11.0,5.0,10.25,7.0,,,8.544117647058824,6.0,6.0,,10.0,,,,
Radial,5,False,False,0,,,4.0,5.4,1.0,,7.5,4.0,1.6666666666666667,,4.333333333333333,2.0,,,,2.0,,,
Radial,5,False,False,3,,,3.25,5.285714285714286,1.5,,4.5,1.5,1.0,,5.2592592592592595,5.5,,,,,,,
Radial,5,False,False,6,,4.8,3.5,4.0,1.0,,3.0,4.5,3.0,,4.487179487179487,5.5,,2.0,4.0,2.0,,,
Radial,5,False,True,0,10.5,,9.857142857142858,9.545454545454545,9.5,,10.0,9.1,11.0,,9.076271186440678,9.5,,,,6.333333333333333,,,
Radial,5,False,True,3,10.5,,10.2,9.241379310344827,7.25,10.0,9.1,4.0,7.0,,9.963855421686747,7.8,,,,7.666666666666667,,,
Radial,5,False,True,6,11.5,9.0,8.384615384615385,10.235294117647058,7.0,,9.11111111111111,9.636363636363637,8.0,,9.595505617977528,9.0,,9.571428571428571,6.5,3.5,,,
Radial,7,False,False,0,,22.0,15.8,13.333333333333334,22.0,25.0,16.0,6.0,13.0,,13.927536231884059,,,,,,,,
Radial,7,False,False,3,,18.5,5.0,14.875,,25.0,14.428571428571429,21.0,21.0,,14.818181818181818,,,,,,,,
Radial,7,False,False,6,,11.5,1.0,11.2,20.5,25.0,8.0,,17.0,,13.74074074074074,,23.0,,19.666666666666668,,,,
Radial,7,False,True,0,27.0,15.0,23.666666666666668,21.333333333333332,31.0,,20.666666666666668,,,,18.93548387096774,,,,,,,,
Radial,7,False,True,3,7.0,17.0,15.0,14.692307692307692,,,22.0,29.0,19.666666666666668,,16.875,,,,,,,,
Radial,7,False,True,6,,18.666666666666668,,14.75,29.0,,21.333333333333332,,,,17.528301886792452,,,,11.0,15.0,,,
Radial,7,True,False,0,,26.0,19.0,19.0,,6.0,19.0,32.0,32.0,,19.391304347826086,,,,,16.0,,,
Radial,7,True,False,3,,14.666666666666666,,11.6,,,14.666666666666666,,23.333333333333332,,21.208333333333332,,,,,16.0,,,
Radial,7,True,False,6,6.0,17.666666666666668,,22.0,16.0,,19.5,,,,21.12,,,,14.666666666666666,16.0,,,
Radial,7,True,True,0,,15.5,19.0,19.4,,18.0,17.25,,20.0,12.666666666666666,16.958333333333332,,,,,,,,
Radial,7,True,True,3,18.0,12.0,12.0,19.444444444444443,2.0,,15.777777777777779,28.0,18.0,12.666666666666666,16.33644859813084,,,,,18.0,,,
Radial,7,True,True,6,18.0,19.5,15.333333333333334,14.0,15.5,,15.0,,18.0,12.666666666666666,16.18918918918919,,2.0,,11.333333333333334,,,,
Radial,9,False,False,0,,12.333333333333334,12.333333333333334,12.333333333333334,,,11.0,,,,12.928571428571429,,,,,,,,
Radial,9,False,False,3,,16.0,5.0,7.5,,,11.0,,,,12.290322580645162,,,,,,,,
Radial,9,False,False,6,,16.0,17.0,11.0,,,,,,,11.8,,,,17.0,,,,
Radial,9,False,True,0,31.0,21.0,20.11111111111111,16.36,21.0,,16.333333333333332,3.0,15.5,3.0,17.546583850931675,,,,,,,,
Radial,9,False,True,3,,23.0,22.0,16.548387096774192,,,18.0,17.0,15.666666666666666,3.0,16.274074074074075,,,,,1.0,,,
Radial,9,False,True,6,,17.181818181818183,15.571428571428571,18.818181818181817,21.0,19.0,21.333333333333332,,20.333333333333332,3.0,17.028169014084508,,,,23.0,,,,
Radial,9,True,False,0,10.0,10.0,10.0,11.0,,,12.0,,,,12.117647058823529,,,,,,,,
Radial,9,True,False,3,,12.0,,10.0,14.0,,12.0,,,,11.92,,,,,,,,
Radial,9,True,False,6,,12.666666666666666,12.666666666666666,13.0,14.0,,14.0,,,,12.333333333333334,,,,14.0,,,,
Radial,9,True,True,0,12.0,17.0,18.0,19.0,,,17.5,30.0,12.666666666666666,,18.7248322147651,,,,,,,,10.0
Radial,9,True,True,3,16.0,19.75,17.5,17.294117647058822,,,19.09090909090909,28.666666666666668,16.0,,18.552147239263803,,,,,,24.0,,
Radial,9,True,True,6,,17.818181818181817,16.571428571428573,15.23076923076923,11.0,,21.5,,26.0,,17.742857142857144,,,,21.5,,24.0,,
