Treatment,Plot,Quadrat,Fenced,Gap,Life Form,Year,Abundance
Control,2,6,False,False,Medium Forb/Herb,6,6.0
Control,2,6,False,False,Medium Non-tufted grass/sedge,0,15.0
Control,2,6,False,False,Medium Non-tufted grass/sedge,3,7.5
Control,2,6,False,False,Medium Non-tufted grass/sedge,6,3.0
Control,2,6,False,False,Medium Tufted grass/sedge,0,0.5
Control,2,6,False,False,Medium Tufted grass/sedge,3,0.5
Control,2,6,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,0,46.5
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,3,8.0
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,6,4.0
Control,2,6,False,False,Shrub,0,0.5
Control,2,6,False,False,Small Forb/Herb,0,0.5
Control,2,6,False,False,Small Tufted grass/sedge,0,3.0
Control,2,6,False,False,Small Tufted grass/sedge,3,0.5
Control,2,6,False,False,Small Tufted grass/sedge,6,1.5
Control,2,7,False,False,Climber,0,0.5
Control,2,7,False,False,Climber,3,3.0
Control,2,7,False,False,Large Forb/Herb,0,56.0
Control,2,7,False,False,Large Forb/Herb,3,45.5
Control,2,7,False,False,Large Forb/Herb,6,56.0
Control,2,7,False,False,Medium Forb/Herb,0,4.5
Control,2,7,False,False,Medium Forb/Herb,3,9.5
Control,2,7,False,False,Medium Forb/Herb,6,6.0
Control,2,7,False,False,Medium Non-tufted grass/sedge,0,7.5
Control,2,7,False,False,Medium Non-tufted grass/sedge,3,3.0
Control,2,7,False,False,Medium Non-tufted grass/sedge,6,3.0
Control,2,7,False,False,Medium Tufted grass/sedge,3,3.0
Control,2,7,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,3,3.5
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,2,7,False,False,Small Forb/Herb,0,0.5
Control,2,7,False,False,Small Tufted grass/sedge,0,3.5
Control,2,7,False,False,Small Tufted grass/sedge,6,1.5
Control,2,8,False,False,Large Forb/Herb,0,46.0
Control,2,8,False,False,Large Forb/Herb,3,58.0
Control,2,8,False,False,Large Forb/Herb,6,56.0
Control,2,8,False,False,Medium Forb/Herb,0,4.5
Control,2,8,False,False,Medium Forb/Herb,3,0.5
Control,2,8,False,False,Medium Forb/Herb,6,2.0
Control,2,8,False,False,Medium Non-tufted grass/sedge,0,3.0
Control,2,8,False,False,Medium Non-tufted grass/sedge,3,3.0
Control,2,8,False,False,Medium Non-tufted grass/sedge,6,3.0
Control,2,8,False,False,Medium Tufted grass/sedge,3,0.5
Control,2,8,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,0,1.5
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,3,3.5
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,6,3.5
Control,2,8,False,False,Small Tufted grass/sedge,0,0.5
Control,2,8,False,False,Small Tufted grass/sedge,3,0.5
Control,2,8,False,False,Tufted Ground Fern,0,0.5
Control,2,8,False,False,Tufted Ground Fern,3,3.0
Control,2,8,False,False,Tufted Ground Fern,6,0.5
Control,2,9,False,False,Climber,0,0.5
Control,2,9,False,False,Climber,6,0.5
Control,2,9,False,False,Large Forb/Herb,0,46.0
Control,2,9,False,False,Large Forb/Herb,3,3.0
Control,2,9,False,False,Large Forb/Herb,6,55.5
Control,2,9,False,False,Medium Forb/Herb,0,1.0
Control,2,9,False,False,Medium Forb/Herb,6,2.0
Control,2,9,False,False,Medium Non-tufted grass/sedge,0,15.0
Control,2,9,False,False,Medium Non-tufted grass/sedge,6,0.5
Control,2,9,False,False,Medium Tufted grass/sedge,3,0.5
Control,2,9,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,0,10.5
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,6,1.0
Control,2,9,False,False,Small Tufted grass/sedge,0,15.0
Control,2,9,False,False,Small Tufted grass/sedge,3,0.5
Control,2,9,False,False,Small Tufted grass/sedge,6,1.0
Control,2,10,False,False,Climber,6,0.5
Control,2,10,False,False,Large Forb/Herb,0,37.0
Control,2,10,False,False,Large Forb/Herb,3,38.5
Control,2,10,False,False,Large Forb/Herb,6,49.5
Control,2,10,False,False,Medium Forb/Herb,0,1.5
Control,2,10,False,False,Medium Forb/Herb,3,7.0
Control,2,10,False,False,Medium Forb/Herb,6,6.5
Control,2,10,False,False,Medium Non-tufted grass/sedge,0,3.0
Control,2,10,False,False,Medium Non-tufted grass/sedge,3,3.0
Control,2,10,False,False,Medium Non-tufted grass/sedge,6,0.5
Control,2,10,False,False,Medium Tufted grass/sedge,3,3.0
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,0,2.0
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,3,6.0
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,6,4.0
Control,2,10,False,False,Small Tufted grass/sedge,0,3.0
Control,2,10,False,False,Small Tufted grass/sedge,3,0.5
Control,2,11,False,False,Climber,3,0.5
Control,2,11,False,False,Climber,6,0.5
Control,2,11,False,False,Large Forb/Herb,0,45.5
Control,2,11,False,False,Large Forb/Herb,3,58.5
Control,2,11,False,False,Large Forb/Herb,6,45.5
Control,2,11,False,False,Medium Forb/Herb,0,4.5
Control,2,11,False,False,Medium Forb/Herb,3,6.0
Control,2,11,False,False,Medium Forb/Herb,6,3.0
Control,2,11,False,False,Medium Non-tufted grass/sedge,0,15.0
Control,2,11,False,False,Medium Non-tufted grass/sedge,3,7.5
Control,2,11,False,False,Medium Non-tufted grass/sedge,6,8.0
Control,2,11,False,False,Medium Tufted grass/sedge,0,3.5
Control,2,11,False,False,Medium Tufted grass/sedge,3,3.5
Control,2,11,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,0,6.0
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,3,8.5
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,6,2.0
Control,2,11,False,False,Small Tufted grass/sedge,0,0.5
Control,2,11,False,False,Small Tufted grass/sedge,3,0.5
Control,2,12,False,False,Climber,0,0.5
Control,2,12,False,False,Climber,3,1.0
Control,2,12,False,False,Large Forb/Herb,0,75.5
Control,2,12,False,False,Large Forb/Herb,3,156.0
Control,2,12,False,False,Large Forb/Herb,6,68.5
Control,2,12,False,False,Large Tufted grass/sedge,0,0.5
Control,2,12,False,False,Medium Forb/Herb,0,3.5
Control,2,12,False,False,Medium Forb/Herb,3,6.0
Control,2,12,False,False,Medium Forb/Herb,6,4.5
Control,2,12,False,False,Medium Non-tufted grass/sedge,0,25.0
Control,2,12,False,False,Medium Non-tufted grass/sedge,3,6.0
Control,2,12,False,False,Medium Non-tufted grass/sedge,6,3.5
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,0,48.0
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,3,16.0
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,2,12,False,False,Small Shrub,3,1.0
Control,2,12,False,False,Small Tufted grass/sedge,0,15.0
Control,2,12,False,False,Small Tufted grass/sedge,6,3.0
Control,2,13,False,False,Large Forb/Herb,0,16.0
Control,2,13,False,False,Large Forb/Herb,3,52.5
Control,2,13,False,False,Large Forb/Herb,6,58.0
Control,2,13,False,False,Medium Forb/Herb,0,2.0
Control,2,13,False,False,Medium Forb/Herb,3,6.5
Control,2,13,False,False,Medium Forb/Herb,6,1.0
Control,2,13,False,False,Medium Non-tufted grass/sedge,0,15.0
Control,2,13,False,False,Medium Non-tufted grass/sedge,3,25.0
Control,2,13,False,False,Medium Non-tufted grass/sedge,6,3.0
Control,2,13,False,False,Medium Tufted grass/sedge,3,0.5
Control,2,13,False,False,Prostrate or Mat-forming Forb/Herb,0,25.0
Control,2,13,False,False,Prostrate or Mat-forming Forb/Herb,3,6.0
Control,2,13,False,False,Prostrate or Mat-forming Forb/Herb,6,4.0
Control,2,13,False,False,Small Tufted grass/sedge,0,65.5
Control,2,13,False,False,Small Tufted grass/sedge,3,15.0
Control,2,13,False,False,Small Tufted grass/sedge,6,0.5
Control,2,14,False,False,Large Forb/Herb,0,45.5
Control,2,14,False,False,Large Forb/Herb,3,48.5
Control,2,14,False,False,Large Forb/Herb,6,48.5
Control,2,14,False,False,Large Tufted grass/sedge,3,0.5
Control,2,14,False,False,Medium Forb/Herb,0,2.0
Control,2,14,False,False,Medium Forb/Herb,3,7.5
Control,2,14,False,False,Medium Forb/Herb,6,1.5
Control,2,14,False,False,Medium Non-tufted grass/sedge,0,0.5
Control,2,14,False,False,Medium Non-tufted grass/sedge,3,3.0
Control,2,14,False,False,Medium Non-tufted grass/sedge,6,0.5
Control,2,14,False,False,Medium Tufted grass/sedge,0,0.5
Control,2,14,False,False,Medium Tufted grass/sedge,3,3.0
Control,2,14,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,14,False,False,Non-tufted Ground Fern,3,3.0
Control,2,14,False,False,Prostrate or Mat-forming Forb/Herb,0,3.5
Control,2,14,False,False,Prostrate or Mat-forming Forb/Herb,3,3.5
Control,2,14,False,False,Prostrate or Mat-forming Forb/Herb,6,4.0
Control,2,14,False,False,Small Tufted grass/sedge,0,3.0
Control,2,14,False,False,Small Tufted grass/sedge,3,3.0
Control,2,14,False,False,Small Tufted grass/sedge,6,0.5
Control,2,15,False,False,Climber,3,0.5
Control,2,15,False,False,Large Forb/Herb,0,4.0
Control,2,15,False,False,Large Forb/Herb,3,22.5
Control,2,15,False,False,Large Forb/Herb,6,26.0
Control,2,15,False,False,Medium Forb/Herb,0,3.5
Control,2,15,False,False,Medium Forb/Herb,3,1.0
Control,2,15,False,False,Medium Forb/Herb,6,2.5
Control,2,15,False,False,Medium Non-tufted grass/sedge,0,0.5
Control,2,15,False,False,Medium Non-tufted grass/sedge,3,0.5
Control,2,15,False,False,Medium Non-tufted grass/sedge,6,3.0
Control,2,15,False,False,Medium Tufted grass/sedge,0,0.5
Control,2,15,False,False,Medium Tufted grass/sedge,3,3.0
Control,2,15,False,False,Medium Tufted grass/sedge,6,1.0
Control,2,15,False,False,Non-tufted Ground Fern,3,3.0
Control,2,15,False,False,Non-tufted Ground Fern,6,0.5
Control,2,15,False,False,Prostrate or Mat-forming Forb/Herb,3,0.5
Control,2,15,False,False,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,15,False,False,Small Tufted grass/sedge,0,0.5
Control,2,15,False,False,Small Tufted grass/sedge,3,0.5
Control,2,15,False,False,Small Tufted grass/sedge,6,1.0
Control,2,16,False,False,Large Forb/Herb,0,8.5
Control,2,16,False,False,Large Forb/Herb,3,28.0
Control,2,16,False,False,Large Forb/Herb,6,16.0
Control,2,16,False,False,Medium Forb/Herb,0,1.5
Control,2,16,False,False,Medium Forb/Herb,3,1.5
Control,2,16,False,False,Medium Forb/Herb,6,2.5
Control,2,16,False,False,Medium Non-tufted grass/sedge,0,0.5
Control,2,16,False,False,Medium Non-tufted grass/sedge,3,0.5
Control,2,16,False,False,Medium Non-tufted grass/sedge,6,0.5
Control,2,16,False,False,Medium Tufted grass/sedge,3,3.0
Control,2,16,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,16,False,False,Non-tufted Ground Fern,3,7.5
Control,2,16,False,False,Prostrate or Mat-forming Forb/Herb,3,0.5
Control,2,16,False,False,Prostrate or Mat-forming Forb/Herb,6,3.5
Control,2,16,False,False,Small Tufted grass/sedge,0,3.0
Control,4,1,False,True,Climber,0,0.5
Control,4,1,False,True,Climber,3,3.0
Control,4,1,False,True,Large Forb/Herb,0,66.0
Control,4,1,False,True,Large Forb/Herb,3,93.0
Control,4,1,False,True,Large Forb/Herb,6,65.5
Control,4,1,False,True,Medium Forb/Herb,0,3.0
Control,4,1,False,True,Medium Forb/Herb,3,15.5
Control,4,1,False,True,Medium Forb/Herb,6,13.0
Control,4,1,False,True,Medium Non-tufted grass/sedge,0,7.5
Control,4,1,False,True,Medium Non-tufted grass/sedge,3,0.5
Control,4,1,False,True,Medium Non-tufted grass/sedge,6,3.5
Control,4,1,False,True,Medium Tufted grass/sedge,0,8.0
Control,4,1,False,True,Medium Tufted grass/sedge,3,3.5
Control,4,1,False,True,Prostrate or Mat-forming Forb/Herb,0,3.5
Control,4,1,False,True,Prostrate or Mat-forming Forb/Herb,3,14.0
Control,4,1,False,True,Prostrate or Mat-forming Forb/Herb,6,3.0
Control,4,1,False,True,Small Tufted grass/sedge,3,3.0
Control,4,2,False,False,Climber,6,0.5
Control,4,2,False,False,Large Forb/Herb,0,16.0
Control,4,2,False,False,Large Forb/Herb,3,44.0
Control,4,2,False,False,Large Forb/Herb,6,35.0
Control,4,2,False,False,Medium Forb/Herb,0,5.0
Control,4,2,False,False,Medium Forb/Herb,3,14.0
Control,4,2,False,False,Medium Forb/Herb,6,1.5
Control,4,2,False,False,Medium Non-tufted grass/sedge,0,0.5
Control,4,2,False,False,Medium Non-tufted grass/sedge,3,1.0
Control,4,2,False,False,Medium Non-tufted grass/sedge,6,1.5
Control,4,2,False,False,Medium Tufted grass/sedge,0,0.5
Control,4,2,False,False,Medium Tufted grass/sedge,3,3.0
Control,4,2,False,False,Medium Tufted grass/sedge,6,0.5
Control,4,2,False,False,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,4,2,False,False,Prostrate or Mat-forming Forb/Herb,3,2.0
Control,4,2,False,False,Prostrate or Mat-forming Forb/Herb,6,1.0
Control,4,2,False,False,Small Tufted grass/sedge,0,7.5
Control,4,2,False,False,Small Tufted grass/sedge,3,6.0
Control,4,3,False,True,Climber,3,0.5
Control,4,3,False,True,Large Forb/Herb,0,66.0
Control,4,3,False,True,Large Forb/Herb,3,101.5
Control,4,3,False,True,Large Forb/Herb,6,65.0
Control,4,3,False,True,Medium Forb/Herb,0,4.0
Control,4,3,False,True,Medium Forb/Herb,3,8.5
Control,4,3,False,True,Medium Forb/Herb,6,4.5
Control,4,3,False,True,Medium Non-tufted grass/sedge,0,7.5
Control,4,3,False,True,Medium Non-tufted grass/sedge,3,0.5
Control,4,3,False,True,Medium Non-tufted grass/sedge,6,0.5
Control,4,3,False,True,Medium Tufted grass/sedge,0,3.0
Control,4,3,False,True,Medium Tufted grass/sedge,3,3.0
Control,4,3,False,True,Prostrate or Mat-forming Forb/Herb,0,3.0
Control,4,3,False,True,Prostrate or Mat-forming Forb/Herb,3,16.5
Control,4,3,False,True,Prostrate or Mat-forming Forb/Herb,6,1.0
Control,4,3,False,True,Small Tufted grass/sedge,0,0.5
Control,4,3,False,True,Small Tufted grass/sedge,3,3.5
Control,4,3,False,True,Small Tufted grass/sedge,6,3.0
Control,4,4,False,True,Climber,3,0.5
Control,4,4,False,True,Large Forb/Herb,0,26.0
Control,4,4,False,True,Large Forb/Herb,3,63.0
Control,4,4,False,True,Large Forb/Herb,6,45.5
Control,4,4,False,True,Medium Forb/Herb,0,2.0
Control,4,4,False,True,Medium Forb/Herb,3,6.5
Control,4,4,False,True,Medium Forb/Herb,6,1.5
Control,4,4,False,True,Medium Non-tufted grass/sedge,3,3.5
Control,4,4,False,True,Medium Non-tufted grass/sedge,6,0.5
Control,4,4,False,True,Prostrate Shrub,3,0.5
Control,4,4,False,True,Prostrate or Mat-forming Forb/Herb,0,8.0
Control,4,4,False,True,Prostrate or Mat-forming Forb/Herb,3,9.0
Control,4,4,False,True,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,4,4,False,True,Small Shrub,3,0.5
Control,4,4,False,True,Small Tufted grass/sedge,0,3.0
Control,4,4,False,True,Small Tufted grass/sedge,3,4.0
Control,4,4,False,True,Small Tufted grass/sedge,6,0.5
Control,4,5,False,True,Climber,0,0.5
Control,4,5,False,True,Climber,3,3.5
Control,4,5,False,True,Climber,6,0.5
Control,4,5,False,True,Large Forb/Herb,0,47.5
Control,4,5,False,True,Large Forb/Herb,3,81.5
Control,4,5,False,True,Large Forb/Herb,6,55.5
Control,4,5,False,True,Medium Forb/Herb,0,7.5
Control,4,5,False,True,Medium Forb/Herb,3,12.0
Control,4,5,False,True,Medium Forb/Herb,6,3.5
Control,4,5,False,True,Medium Non-tufted grass/sedge,0,0.5
Control,4,5,False,True,Medium Non-tufted grass/sedge,6,0.5
Control,4,5,False,True,Medium Tufted grass/sedge,0,8.0
Control,4,5,False,True,Medium Tufted grass/sedge,3,3.0
Control,4,5,False,True,Non-tufted Ground Fern,0,0.5
Control,4,5,False,True,Non-tufted Ground Fern,3,0.5
Control,4,5,False,True,Prostrate Shrub,3,0.5
Control,4,5,False,True,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,4,5,False,True,Prostrate or Mat-forming Forb/Herb,3,3.5
Control,4,5,False,True,Prostrate or Mat-forming Forb/Herb,6,1.0
Control,4,5,False,True,Small Tufted grass/sedge,0,1.0
Control,4,5,False,True,Small Tufted grass/sedge,3,3.5
Control,4,5,False,True,Small Tufted grass/sedge,6,0.5
Control,4,6,False,True,Climber,3,0.5
Control,4,6,False,True,Large Forb/Herb,0,46.0
Control,4,6,False,True,Large Forb/Herb,3,52.5
Control,4,6,False,True,Large Forb/Herb,6,76.5
Control,4,6,False,True,Medium Forb/Herb,0,2.5
Control,4,6,False,True,Medium Forb/Herb,3,12.5
Control,4,6,False,True,Medium Forb/Herb,6,2.0
Control,4,6,False,True,Medium Non-tufted grass/sedge,0,0.5
Control,4,6,False,True,Medium Non-tufted grass/sedge,3,3.0
Control,4,6,False,True,Medium Tufted grass/sedge,0,3.0
Control,4,6,False,True,Medium Tufted grass/sedge,3,3.0
Control,4,6,False,True,Non-tufted Ground Fern,0,0.5
Control,4,6,False,True,Non-tufted Ground Fern,3,1.0
Control,4,6,False,True,Prostrate or Mat-forming Forb/Herb,0,0.5
Control,4,6,False,True,Prostrate or Mat-forming Forb/Herb,3,6.5
Control,4,6,False,True,Prostrate or Mat-forming Forb/Herb,6,3.5
Control,4,6,False,True,Small Tufted grass/sedge,0,0.5
Control,4,6,False,True,Small Tufted grass/sedge,3,1.5
Control,4,6,False,True,Small Tufted grass/sedge,6,3.0
Control,4,7,False,False,Climber,3,0.5
Control,4,7,False,False,Large Forb/Herb,0,46.5
Control,4,7,False,False,Large Forb/Herb,3,87.5
Control,4,7,False,False,Large Forb/Herb,6,56.5
Control,4,7,False,False,Large Tufted grass/sedge,0,0.5
Control,4,7,False,False,Large Tufted grass/sedge,3,0.5
Control,4,7,False,False,Medium Forb/Herb,0,1.0
Control,4,7,False,False,Medium Forb/Herb,3,9.0
Control,4,7,False,False,Medium Forb/Herb,6,1.5
Control,4,7,False,False,Medium Non-tufted grass/sedge,0,0.5
Control,4,7,False,False,Medium Non-tufted grass/sedge,3,28.0
Control,4,7,False,False,Medium Non-tufted grass/sedge,6,0.5
Control,4,7,False,False,Medium Tufted grass/sedge,0,0.5
Control,4,7,False,False,Medium Tufted grass/sedge,3,3.5
Control,4,7,False,False,Prostrate or Mat-forming Forb/Herb,3,9.5
Control,4,7,False,False,Prostrate or Mat-forming Forb/Herb,6,1.0
Control,4,7,False,False,Small Tufted grass/sedge,0,0.5
Control,4,7,False,False,Small Tufted grass/sedge,3,1.0
Control,4,7,False,False,Small Tufted grass/sedge,6,0.5
Control,4,8,False,False,Climber,0,0.5
Control,4,8,False,False,Large Forb/Herb,0,46.0
Control,4,8,False,False,Large Forb/Herb,3,49.0
Control,4,8,False,False,Large Forb/Herb,6,56.0
Control,4,8,False,False,Medium Forb/Herb,0,2.0
Control,4,8,False,False,Medium Forb/Herb,3,4.0
Control,4,8,False,False,Medium Forb/Herb,6,1.0
Control,4,8,False,False,Medium Non-tufted grass/sedge,0,0.5
Control,4,8,False,False,Medium Non-tufted grass/sedge,3,0.5
Control,4,8,False,False,Medium Non-tufted grass/sedge,6,1.0
Control,4,8,False,False,Medium Tufted grass/sedge,0,3.0
Control,4,8,False,False,Medium Tufted grass/sedge,3,3.0
Control,4,8,False,False,Non-tufted Ground Fern,3,0.5
Control,4,8,False,False,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,4,8,False,False,Prostrate or Mat-forming Forb/Herb,3,3.5
Control,4,8,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,4,8,False,False,Small Tufted grass/sedge,0,3.0
Control,4,8,False,False,Small Tufted grass/sedge,3,1.0
Control,4,8,False,False,Small Tufted grass/sedge,6,0.5
Control,4,9,False,True,Climber,3,0.5
Control,4,9,False,True,Large Forb/Herb,0,26.0
Control,4,9,False,True,Large Forb/Herb,3,51.0
Control,4,9,False,True,Large Forb/Herb,6,0.5
Control,4,9,False,True,Medium Forb/Herb,0,0.5
Control,4,9,False,True,Medium Forb/Herb,3,9.0
Control,4,9,False,True,Medium Forb/Herb,6,2.5
Control,4,9,False,True,Medium Non-tufted grass/sedge,3,3.5
Control,4,9,False,True,Medium Non-tufted grass/sedge,6,0.5
Control,4,9,False,True,Medium Tufted grass/sedge,0,3.0
Control,4,9,False,True,Medium Tufted grass/sedge,3,3.0
Control,4,9,False,True,Prostrate or Mat-forming Forb/Herb,3,4.0
Control,4,9,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,4,9,False,True,Small Tufted grass/sedge,0,0.5
Control,4,9,False,True,Small Tufted grass/sedge,3,3.0
Control,4,9,False,True,Small Tufted grass/sedge,6,3.5
