Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Year_monitoring,Climber,Large Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Prostrate or Mat-forming Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Prostrate Shrub,Tufted Ground Fern,Shrub,Small Forb/Herb,Large Tufted grass/sedge,Small Shrub,Non-tufted Ground Fern,Tiny Tufted grass/sedge,Scrambler,Large Shrub to Medium Tree,Large Non-tufted grass/sedge
Gap,12,True,True,3,0.5909090909090909,16.818181818181817,7.7272727272727275,10.636363636363637,5.363636363636363,4.7727272727272725,0.2727272727272727,3.0,0.0,0.0,0.0,0.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
Gap,12,True,True,6,0.0,21.545454545454547,5.454545454545454,2.590909090909091,7.045454545454546,0.8636363636363636,0.0,0.7727272727272727,0.0,0.0,0.0,0.0,1.2272727272727273,0.0,0.0,0.0,0.0,0.2727272727272727,0.0
Radial,3,False,False,0,0.2,44.9,2.7,10.4,1.5,4.7,0.4,2.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,3,False,False,6,0.1,38.0,5.7,1.6,0.8,2.2,0.6,1.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,3,False,True,0,0.36363636363636365,35.5,3.6818181818181817,4.2272727272727275,3.590909090909091,15.227272727272727,0.5909090909090909,11.909090909090908,0.3181818181818182,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0
Radial,3,False,True,6,0.18181818181818182,48.45454545454545,3.6818181818181817,1.3181818181818181,0.45454545454545453,3.272727272727273,0.8181818181818182,1.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0
Radial,5,False,False,0,0.0,25.375,2.625,5.375,0.25,2.625,0.375,10.75,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0
Radial,5,False,False,3,0.0,27.25,4.75,2.25,0.25,5.375,0.875,0.75,0.0,0.0,0.0,0.0,0.75,0.0,1.5,0.0,0.0,0.0,0.0
Radial,5,False,False,6,0.0,29.875,2.75,1.25,0.375,3.25,0.5,2.125,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0
Radial,5,False,True,0,0.25,36.958333333333336,4.25,17.25,1.2083333333333333,4.333333333333333,0.4166666666666667,7.25,0.0,0.0,0.041666666666666664,0.0,0.375,0.0,0.5833333333333334,0.0,0.0,0.0,0.0
Radial,5,False,True,3,0.08333333333333333,32.791666666666664,3.4166666666666665,14.375,0.2916666666666667,5.583333333333333,0.041666666666666664,0.25,0.041666666666666664,0.0,0.0,0.0,0.16666666666666666,0.0,1.8333333333333333,0.0,0.0,0.0,0.0
Radial,5,False,True,6,0.2727272727272727,40.54545454545455,3.772727272727273,4.2272727272727275,0.09090909090909091,3.0454545454545454,2.0454545454545454,3.272727272727273,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.5,0.0,0.0,0.0,0.0
Radial,7,False,False,0,0.0,1.8125,3.75,0.75,0.1875,6.0625,0.125,19.9375,0.0625,0.0,0.0,0.0,1.1875,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,False,False,3,0.0,2.125,9.875,2.5,0.125,4.75,0.375,6.9375,0.0625,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,False,False,6,0.0,0.5,4.125,1.5,8.375,0.8125,0.0,1.625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
Radial,7,False,True,0,0.0625,0.75,2.875,7.75,0.0625,3.4375,0.0,15.4375,0.0,0.0,0.0,0.0,3.6875,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,False,True,3,0.0625,1.375,7.6875,10.375,0.375,5.3125,0.0625,3.375,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0625,0.0,0.0
Radial,7,False,True,6,0.0,0.6875,3.4375,7.25,9.875,2.0625,0.0,3.25,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,True,False,0,0.0,1.4,3.5,5.4,0.1,8.4,0.1,6.9,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,True,False,3,0.0,2.1,8.1,5.8,0.0,3.1,0.0,5.7,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.0
Radial,7,True,False,6,0.1,0.5,6.4,1.4,0.6,0.8,0.0,5.3,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,True,True,0,0.0,1.4090909090909092,2.3181818181818183,2.909090909090909,0.0,1.6818181818181819,0.0,10.863636363636363,0.045454545454545456,0.13636363636363635,0.0,0.0,1.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,True,True,3,0.045454545454545456,2.4545454545454546,11.954545454545455,6.045454545454546,0.09090909090909091,12.545454545454545,0.045454545454545456,13.863636363636363,0.0,0.36363636363636365,0.0,0.0,10.818181818181818,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
Radial,7,True,True,6,0.045454545454545456,1.9090909090909092,2.6818181818181817,2.9545454545454546,27.181818181818183,1.0,0.0,4.318181818181818,0.0,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.6818181818181818,0.2727272727272727,0.0,0.045454545454545456,0.0,0.0,0.0
Radial,9,False,False,0,0.0,1.75,5.25,4.0,0.0,8.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,False,False,3,0.0,3.75,9.25,1.75,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,False,False,6,0.0,0.75,3.5,1.5,0.0,0.75,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,False,True,0,0.03571428571428571,3.2857142857142856,6.214285714285714,9.464285714285714,1.7857142857142858,9.107142857142858,0.21428571428571427,5.428571428571429,0.0,0.21428571428571427,0.03571428571428571,0.0,1.5714285714285714,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
Radial,9,False,True,3,0.0,6.785714285714286,13.107142857142858,26.142857142857142,0.7857142857142857,5.964285714285714,0.7142857142857143,5.321428571428571,0.0,0.21428571428571427,0.0,0.0,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,False,True,6,0.0,4.821428571428571,2.5714285714285716,8.0,1.25,1.0,0.0,2.607142857142857,0.21428571428571427,0.21428571428571427,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,False,0,0.25,2.5,6.75,30.0,0.0,7.75,0.0,9.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,False,3,0.0,1.5,14.5,3.0,1.75,25.25,0.0,1.75,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,False,6,0.0,2.25,3.5,2.0,4.5,0.75,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,True,0,0.03571428571428571,4.357142857142857,5.928571428571429,8.0,0.0,3.9642857142857144,0.03571428571428571,7.321428571428571,0.0,0.0,0.42857142857142855,0.07142857142857142,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,True,3,0.07142857142857142,7.25,16.071428571428573,20.142857142857142,0.2857142857142857,5.142857142857143,0.6428571428571429,9.464285714285714,0.0,0.0,0.75,0.0,3.892857142857143,0.0,0.0,0.21428571428571427,0.0,0.21428571428571427,0.0
Radial,9,True,True,6,0.0,6.392857142857143,4.785714285714286,3.0,10.821428571428571,2.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
