Treatment,Plot Number,Quadrat Number,Fenced,Gap,Shade Tolerant,Life Form,Year,0
Control,2,2,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.0
Control,2,2,False,False,False,Small Non-tufted grass/sedge,0,0.5
Control,2,2,False,False,False,Small Non-tufted grass/sedge,3,3.0
Control,2,2,False,False,False,Small Non-tufted grass/sedge,6,0.5
Control,2,2,False,False,False,Small Tufted grass/sedge,0,5.0
Control,2,2,False,False,False,Small Tufted grass/sedge,3,2.5
Control,2,2,False,False,False,Small Tufted grass/sedge,6,0.0
Control,2,2,False,False,True,Climber,0,0.5
Control,2,2,False,False,True,Climber,3,1.5
Control,2,2,False,False,True,Climber,6,0.5
Control,2,2,False,False,True,Large Forb/Herb,0,50.0
Control,2,2,False,False,True,Large Forb/Herb,3,90.0
Control,2,2,False,False,True,Large Forb/Herb,6,50.0
Control,2,2,False,False,True,Medium Forb/Herb,0,0.5
Control,2,2,False,False,True,Medium Forb/Herb,3,3.0
Control,2,2,False,False,True,Medium Forb/Herb,6,2.0
Control,2,2,False,False,True,Medium Non-tufted grass/sedge,0,5.0
Control,2,2,False,False,True,Medium Non-tufted grass/sedge,3,3.0
Control,2,2,False,False,True,Medium Non-tufted grass/sedge,6,5.0
Control,2,2,False,False,True,Prostrate Shrub,0,0.5
Control,2,2,False,False,True,Prostrate Shrub,3,0.0
Control,2,2,False,False,True,Prostrate Shrub,6,1.5
Control,2,2,False,False,True,Prostrate or Mat-forming Forb/Herb,0,30.0
Control,2,2,False,False,True,Prostrate or Mat-forming Forb/Herb,3,31.5
Control,2,2,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,2,False,False,True,Small Tufted grass/sedge,0,0.0
Control,2,2,False,False,True,Small Tufted grass/sedge,3,0.0
Control,2,2,False,False,True,Small Tufted grass/sedge,6,0.5
Control,2,2,False,False,True,Tufted Ground Fern,0,0.5
Control,2,2,False,False,True,Tufted Ground Fern,3,1.5
Control,2,2,False,False,True,Tufted Ground Fern,6,0.0
Control,2,3,False,False,False,Large Forb/Herb,0,1.5
Control,2,3,False,False,False,Large Forb/Herb,3,3.0
Control,2,3,False,False,False,Large Forb/Herb,6,1.0
Control,2,3,False,False,False,Medium Forb/Herb,0,2.0
Control,2,3,False,False,False,Medium Forb/Herb,3,4.0
Control,2,3,False,False,False,Medium Forb/Herb,6,3.5
Control,2,3,False,False,False,Medium Tufted grass/sedge,0,0.5
Control,2,3,False,False,False,Medium Tufted grass/sedge,3,1.0
Control,2,3,False,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,3,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,3,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,3,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,2,3,False,False,False,Small Non-tufted grass/sedge,0,0.5
Control,2,3,False,False,False,Small Non-tufted grass/sedge,3,2.0
Control,2,3,False,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,3,False,False,False,Small Tufted grass/sedge,0,20.5
Control,2,3,False,False,False,Small Tufted grass/sedge,3,0.0
Control,2,3,False,False,False,Small Tufted grass/sedge,6,1.5
Control,2,3,False,False,True,Climber,0,0.5
Control,2,3,False,False,True,Climber,3,0.0
Control,2,3,False,False,True,Climber,6,0.5
Control,2,3,False,False,True,Large Forb/Herb,0,50.0
Control,2,3,False,False,True,Large Forb/Herb,3,80.0
Control,2,3,False,False,True,Large Forb/Herb,6,40.0
Control,2,3,False,False,True,Medium Forb/Herb,0,1.0
Control,2,3,False,False,True,Medium Forb/Herb,3,7.0
Control,2,3,False,False,True,Medium Forb/Herb,6,1.5
Control,2,3,False,False,True,Medium Non-tufted grass/sedge,0,1.0
Control,2,3,False,False,True,Medium Non-tufted grass/sedge,3,2.0
Control,2,3,False,False,True,Medium Non-tufted grass/sedge,6,1.0
Control,2,3,False,False,True,Prostrate or Mat-forming Forb/Herb,0,10.0
Control,2,3,False,False,True,Prostrate or Mat-forming Forb/Herb,3,20.0
Control,2,3,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,4,False,False,False,Large Forb/Herb,0,2.0
Control,2,4,False,False,False,Large Forb/Herb,3,2.0
Control,2,4,False,False,False,Large Forb/Herb,6,0.5
Control,2,4,False,False,False,Medium Forb/Herb,0,2.0
Control,2,4,False,False,False,Medium Forb/Herb,3,8.0
Control,2,4,False,False,False,Medium Forb/Herb,6,1.5
Control,2,4,False,False,False,Medium Tufted grass/sedge,0,1.5
Control,2,4,False,False,False,Medium Tufted grass/sedge,3,5.5
Control,2,4,False,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,4,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.5
Control,2,4,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.5
Control,2,4,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,2,4,False,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,4,False,False,False,Small Non-tufted grass/sedge,3,1.0
Control,2,4,False,False,False,Small Non-tufted grass/sedge,6,0.5
Control,2,4,False,False,False,Small Tufted grass/sedge,0,2.0
Control,2,4,False,False,False,Small Tufted grass/sedge,3,0.0
Control,2,4,False,False,False,Small Tufted grass/sedge,6,0.5
Control,2,4,False,False,True,Climber,0,0.5
Control,2,4,False,False,True,Climber,3,1.0
Control,2,4,False,False,True,Climber,6,0.5
Control,2,4,False,False,True,Large Forb/Herb,0,20.0
Control,2,4,False,False,True,Large Forb/Herb,3,10.0
Control,2,4,False,False,True,Large Forb/Herb,6,30.0
Control,2,4,False,False,True,Medium Forb/Herb,0,0.0
Control,2,4,False,False,True,Medium Forb/Herb,3,0.5
Control,2,4,False,False,True,Medium Forb/Herb,6,1.0
Control,2,4,False,False,True,Medium Non-tufted grass/sedge,0,1.0
Control,2,4,False,False,True,Medium Non-tufted grass/sedge,3,5.0
Control,2,4,False,False,True,Medium Non-tufted grass/sedge,6,1.0
Control,2,4,False,False,True,Prostrate or Mat-forming Forb/Herb,0,5.0
Control,2,4,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,4,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,5,False,False,False,Large Forb/Herb,0,0.5
Control,2,5,False,False,False,Large Forb/Herb,3,1.0
Control,2,5,False,False,False,Large Forb/Herb,6,1.0
Control,2,5,False,False,False,Medium Forb/Herb,0,2.0
Control,2,5,False,False,False,Medium Forb/Herb,3,3.0
Control,2,5,False,False,False,Medium Forb/Herb,6,2.0
Control,2,5,False,False,False,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,2,5,False,False,False,Prostrate or Mat-forming Forb/Herb,3,1.5
Control,2,5,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,2,5,False,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,5,False,False,False,Small Non-tufted grass/sedge,3,1.0
Control,2,5,False,False,False,Small Non-tufted grass/sedge,6,1.0
Control,2,5,False,False,False,Small Tufted grass/sedge,0,20.5
Control,2,5,False,False,False,Small Tufted grass/sedge,3,1.5
Control,2,5,False,False,False,Small Tufted grass/sedge,6,0.0
Control,2,5,False,False,True,Climber,0,0.0
Control,2,5,False,False,True,Climber,3,0.5
Control,2,5,False,False,True,Climber,6,0.0
Control,2,5,False,False,True,Large Forb/Herb,0,30.0
Control,2,5,False,False,True,Large Forb/Herb,3,20.0
Control,2,5,False,False,True,Large Forb/Herb,6,40.0
Control,2,5,False,False,True,Medium Forb/Herb,0,0.5
Control,2,5,False,False,True,Medium Forb/Herb,3,0.0
Control,2,5,False,False,True,Medium Forb/Herb,6,0.0
Control,2,5,False,False,True,Medium Non-tufted grass/sedge,0,10.0
Control,2,5,False,False,True,Medium Non-tufted grass/sedge,3,1.0
Control,2,5,False,False,True,Medium Non-tufted grass/sedge,6,0.5
Control,2,5,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,5,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.5
Control,2,5,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,5,False,False,True,Small Tufted grass/sedge,0,0.0
Control,2,5,False,False,True,Small Tufted grass/sedge,3,0.0
Control,2,5,False,False,True,Small Tufted grass/sedge,6,0.5
Control,2,6,False,False,False,Large Forb/Herb,0,3.0
Control,2,6,False,False,False,Large Forb/Herb,3,1.0
Control,2,6,False,False,False,Large Forb/Herb,6,0.5
Control,2,6,False,False,False,Medium Forb/Herb,0,2.5
Control,2,6,False,False,False,Medium Forb/Herb,3,7.5
Control,2,6,False,False,False,Medium Forb/Herb,6,5.0
Control,2,6,False,False,False,Medium Tufted grass/sedge,0,0.5
Control,2,6,False,False,False,Medium Tufted grass/sedge,3,0.5
Control,2,6,False,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,6,False,False,False,Prostrate or Mat-forming Forb/Herb,0,1.5
Control,2,6,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.5
Control,2,6,False,False,False,Prostrate or Mat-forming Forb/Herb,6,2.0
Control,2,6,False,False,False,Shrub,0,0.5
Control,2,6,False,False,False,Shrub,3,0.0
Control,2,6,False,False,False,Shrub,6,0.0
Control,2,6,False,False,False,Small Non-tufted grass/sedge,0,0.5
Control,2,6,False,False,False,Small Non-tufted grass/sedge,3,0.0
Control,2,6,False,False,False,Small Non-tufted grass/sedge,6,1.0
Control,2,6,False,False,False,Small Tufted grass/sedge,0,1.0
Control,2,6,False,False,False,Small Tufted grass/sedge,3,0.5
Control,2,6,False,False,False,Small Tufted grass/sedge,6,1.0
Control,2,6,False,False,True,Climber,0,0.5
Control,2,6,False,False,True,Climber,3,0.0
Control,2,6,False,False,True,Climber,6,0.5
Control,2,6,False,False,True,Large Forb/Herb,0,0.0
Control,2,6,False,False,True,Large Forb/Herb,3,50.0
Control,2,6,False,False,True,Large Forb/Herb,6,50.0
Control,2,6,False,False,True,Medium Forb/Herb,0,0.5
Control,2,6,False,False,True,Medium Forb/Herb,3,1.0
Control,2,6,False,False,True,Medium Forb/Herb,6,1.5
Control,2,6,False,False,True,Medium Non-tufted grass/sedge,0,10.0
Control,2,6,False,False,True,Medium Non-tufted grass/sedge,3,5.0
Control,2,6,False,False,True,Medium Non-tufted grass/sedge,6,1.0
Control,2,6,False,False,True,Prostrate or Mat-forming Forb/Herb,0,40.0
Control,2,6,False,False,True,Prostrate or Mat-forming Forb/Herb,3,5.0
Control,2,6,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,6,False,False,True,Small Forb/Herb,0,0.5
Control,2,6,False,False,True,Small Forb/Herb,3,0.0
Control,2,6,False,False,True,Small Forb/Herb,6,0.0
Control,2,6,False,False,True,Small Tufted grass/sedge,0,0.0
Control,2,6,False,False,True,Small Tufted grass/sedge,3,0.0
Control,2,6,False,False,True,Small Tufted grass/sedge,6,1.0
Control,2,7,False,False,False,Large Forb/Herb,0,6.5
Control,2,7,False,False,False,Large Forb/Herb,3,2.5
Control,2,7,False,False,False,Large Forb/Herb,6,1.0
Control,2,7,False,False,False,Medium Forb/Herb,0,2.5
Control,2,7,False,False,False,Medium Forb/Herb,3,8.0
Control,2,7,False,False,False,Medium Forb/Herb,6,3.0
Control,2,7,False,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,7,False,False,False,Medium Tufted grass/sedge,3,1.0
Control,2,7,False,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,7,False,False,False,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,2,7,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.5
Control,2,7,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,2,7,False,False,False,Small Non-tufted grass/sedge,0,0.5
Control,2,7,False,False,False,Small Non-tufted grass/sedge,3,1.0
Control,2,7,False,False,False,Small Non-tufted grass/sedge,6,1.0
Control,2,7,False,False,False,Small Tufted grass/sedge,0,2.0
Control,2,7,False,False,False,Small Tufted grass/sedge,3,0.0
Control,2,7,False,False,False,Small Tufted grass/sedge,6,0.5
Control,2,7,False,False,True,Climber,0,0.5
Control,2,7,False,False,True,Climber,3,1.0
Control,2,7,False,False,True,Climber,6,0.0
Control,2,7,False,False,True,Large Forb/Herb,0,50.0
Control,2,7,False,False,True,Large Forb/Herb,3,40.0
Control,2,7,False,False,True,Large Forb/Herb,6,50.0
Control,2,7,False,False,True,Medium Forb/Herb,0,1.0
Control,2,7,False,False,True,Medium Forb/Herb,3,2.0
Control,2,7,False,False,True,Medium Forb/Herb,6,2.0
Control,2,7,False,False,True,Medium Non-tufted grass/sedge,0,5.0
Control,2,7,False,False,True,Medium Non-tufted grass/sedge,3,1.0
Control,2,7,False,False,True,Medium Non-tufted grass/sedge,6,1.0
Control,2,7,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,7,False,False,True,Prostrate or Mat-forming Forb/Herb,3,1.0
Control,2,7,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.0
Control,2,7,False,False,True,Small Forb/Herb,0,0.5
Control,2,7,False,False,True,Small Forb/Herb,3,0.0
Control,2,7,False,False,True,Small Forb/Herb,6,0.0
Control,2,7,False,False,True,Small Tufted grass/sedge,0,0.0
Control,2,7,False,False,True,Small Tufted grass/sedge,3,0.0
Control,2,7,False,False,True,Small Tufted grass/sedge,6,1.0
Control,2,8,False,False,False,Large Forb/Herb,0,1.0
Control,2,8,False,False,False,Large Forb/Herb,3,1.0
Control,2,8,False,False,False,Large Forb/Herb,6,1.0
Control,2,8,False,False,False,Medium Forb/Herb,0,3.0
Control,2,8,False,False,False,Medium Forb/Herb,3,5.5
Control,2,8,False,False,False,Medium Forb/Herb,6,2.0
Control,2,8,False,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,8,False,False,False,Medium Tufted grass/sedge,3,0.5
Control,2,8,False,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,8,False,False,False,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,2,8,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.5
Control,2,8,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.0
Control,2,8,False,False,False,Small Non-tufted grass/sedge,0,0.5
Control,2,8,False,False,False,Small Non-tufted grass/sedge,3,1.0
Control,2,8,False,False,False,Small Non-tufted grass/sedge,6,1.0
Control,2,8,False,False,False,Small Tufted grass/sedge,0,0.5
Control,2,8,False,False,False,Small Tufted grass/sedge,3,0.5
Control,2,8,False,False,False,Small Tufted grass/sedge,6,0.0
Control,2,8,False,False,True,Large Forb/Herb,0,40.0
Control,2,8,False,False,True,Large Forb/Herb,3,50.0
Control,2,8,False,False,True,Large Forb/Herb,6,50.0
Control,2,8,False,False,True,Medium Forb/Herb,0,1.0
Control,2,8,False,False,True,Medium Forb/Herb,3,0.5
Control,2,8,False,False,True,Medium Forb/Herb,6,0.5
Control,2,8,False,False,True,Medium Non-tufted grass/sedge,0,1.0
Control,2,8,False,False,True,Medium Non-tufted grass/sedge,3,1.0
Control,2,8,False,False,True,Medium Non-tufted grass/sedge,6,1.0
Control,2,8,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.5
Control,2,8,False,False,True,Prostrate or Mat-forming Forb/Herb,3,1.0
Control,2,8,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,8,False,False,True,Tufted Ground Fern,0,0.5
Control,2,8,False,False,True,Tufted Ground Fern,3,1.0
Control,2,8,False,False,True,Tufted Ground Fern,6,0.5
Control,2,9,False,False,False,Large Forb/Herb,0,6.0
Control,2,9,False,False,False,Large Forb/Herb,3,1.5
Control,2,9,False,False,False,Large Forb/Herb,6,0.5
Control,2,9,False,False,False,Medium Forb/Herb,0,1.0
Control,2,9,False,False,False,Medium Forb/Herb,3,0.5
Control,2,9,False,False,False,Medium Forb/Herb,6,2.5
Control,2,9,False,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,9,False,False,False,Medium Tufted grass/sedge,3,0.5
Control,2,9,False,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,9,False,False,False,Prostrate or Mat-forming Forb/Herb,0,1.5
Control,2,9,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,9,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.0
Control,2,9,False,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,9,False,False,False,Small Non-tufted grass/sedge,3,0.5
Control,2,9,False,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,9,False,False,False,Small Tufted grass/sedge,0,10.0
Control,2,9,False,False,False,Small Tufted grass/sedge,3,0.5
Control,2,9,False,False,False,Small Tufted grass/sedge,6,1.0
Control,2,9,False,False,True,Climber,0,0.5
Control,2,9,False,False,True,Climber,3,0.0
Control,2,9,False,False,True,Climber,6,0.5
Control,2,9,False,False,True,Large Forb/Herb,0,40.0
Control,2,9,False,False,True,Large Forb/Herb,3,0.0
Control,2,9,False,False,True,Large Forb/Herb,6,50.0
Control,2,9,False,False,True,Medium Forb/Herb,0,0.5
Control,2,9,False,False,True,Medium Forb/Herb,3,0.0
Control,2,9,False,False,True,Medium Forb/Herb,6,1.0
Control,2,9,False,False,True,Medium Non-tufted grass/sedge,0,10.0
Control,2,9,False,False,True,Medium Non-tufted grass/sedge,3,0.0
Control,2,9,False,False,True,Medium Non-tufted grass/sedge,6,0.5
Control,2,9,False,False,True,Prostrate or Mat-forming Forb/Herb,0,5.0
Control,2,9,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,9,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.0
Control,2,10,False,False,False,Large Forb/Herb,0,2.5
Control,2,10,False,False,False,Large Forb/Herb,3,1.5
Control,2,10,False,False,False,Large Forb/Herb,6,2.5
Control,2,10,False,False,False,Medium Forb/Herb,0,3.0
Control,2,10,False,False,False,Medium Forb/Herb,3,3.5
Control,2,10,False,False,False,Medium Forb/Herb,6,2.5
Control,2,10,False,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,10,False,False,False,Medium Tufted grass/sedge,3,1.0
Control,2,10,False,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,10,False,False,False,Prostrate or Mat-forming Forb/Herb,0,1.5
Control,2,10,False,False,False,Prostrate or Mat-forming Forb/Herb,3,1.0
Control,2,10,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,2,10,False,False,False,Small Non-tufted grass/sedge,0,0.5
Control,2,10,False,False,False,Small Non-tufted grass/sedge,3,0.0
Control,2,10,False,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,10,False,False,False,Small Tufted grass/sedge,0,1.0
Control,2,10,False,False,False,Small Tufted grass/sedge,3,0.5
Control,2,10,False,False,False,Small Tufted grass/sedge,6,0.5
Control,2,10,False,False,True,Climber,0,0.0
Control,2,10,False,False,True,Climber,3,0.0
Control,2,10,False,False,True,Climber,6,0.5
Control,2,10,False,False,True,Large Forb/Herb,0,30.0
Control,2,10,False,False,True,Large Forb/Herb,3,30.5
Control,2,10,False,False,True,Large Forb/Herb,6,40.0
Control,2,10,False,False,True,Medium Forb/Herb,0,0.0
Control,2,10,False,False,True,Medium Forb/Herb,3,1.5
Control,2,10,False,False,True,Medium Forb/Herb,6,1.0
Control,2,10,False,False,True,Medium Non-tufted grass/sedge,0,1.0
Control,2,10,False,False,True,Medium Non-tufted grass/sedge,3,1.0
Control,2,10,False,False,True,Medium Non-tufted grass/sedge,6,0.5
Control,2,10,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.5
Control,2,10,False,False,True,Prostrate or Mat-forming Forb/Herb,3,1.0
Control,2,10,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,11,False,False,False,Large Forb/Herb,0,1.5
Control,2,11,False,False,False,Large Forb/Herb,3,2.0
Control,2,11,False,False,False,Large Forb/Herb,6,0.5
Control,2,11,False,False,False,Medium Forb/Herb,0,1.5
Control,2,11,False,False,False,Medium Forb/Herb,3,0.5
Control,2,11,False,False,False,Medium Forb/Herb,6,2.0
Control,2,11,False,False,False,Medium Non-tufted grass/sedge,0,0.0
Control,2,11,False,False,False,Medium Non-tufted grass/sedge,3,0.0
Control,2,11,False,False,False,Medium Non-tufted grass/sedge,6,5.0
Control,2,11,False,False,False,Medium Tufted grass/sedge,0,1.5
Control,2,11,False,False,False,Medium Tufted grass/sedge,3,1.5
Control,2,11,False,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,11,False,False,False,Prostrate or Mat-forming Forb/Herb,0,1.5
Control,2,11,False,False,False,Prostrate or Mat-forming Forb/Herb,3,1.0
Control,2,11,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,2,11,False,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,11,False,False,False,Small Non-tufted grass/sedge,3,1.0
Control,2,11,False,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,11,False,False,False,Small Tufted grass/sedge,0,1.0
Control,2,11,False,False,False,Small Tufted grass/sedge,3,0.5
Control,2,11,False,False,False,Small Tufted grass/sedge,6,0.0
Control,2,11,False,False,True,Climber,0,0.0
Control,2,11,False,False,True,Climber,3,0.5
Control,2,11,False,False,True,Climber,6,0.5
Control,2,11,False,False,True,Large Forb/Herb,0,40.0
Control,2,11,False,False,True,Large Forb/Herb,3,50.5
Control,2,11,False,False,True,Large Forb/Herb,6,40.0
Control,2,11,False,False,True,Medium Forb/Herb,0,2.0
Control,2,11,False,False,True,Medium Forb/Herb,3,2.0
Control,2,11,False,False,True,Medium Forb/Herb,6,1.5
Control,2,11,False,False,True,Medium Non-tufted grass/sedge,0,10.0
Control,2,11,False,False,True,Medium Non-tufted grass/sedge,3,5.0
Control,2,11,False,False,True,Medium Non-tufted grass/sedge,6,0.5
Control,2,11,False,False,True,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,2,11,False,False,True,Prostrate or Mat-forming Forb/Herb,3,5.0
Control,2,11,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,12,False,False,False,Large Forb/Herb,0,1.0
Control,2,12,False,False,False,Large Forb/Herb,3,4.0
Control,2,12,False,False,False,Large Forb/Herb,6,1.5
Control,2,12,False,False,False,Large Tufted grass/sedge,0,0.5
Control,2,12,False,False,False,Large Tufted grass/sedge,3,0.0
Control,2,12,False,False,False,Large Tufted grass/sedge,6,0.0
Control,2,12,False,False,False,Medium Forb/Herb,0,0.5
Control,2,12,False,False,False,Medium Forb/Herb,3,2.0
Control,2,12,False,False,False,Medium Forb/Herb,6,3.0
Control,2,12,False,False,False,Medium Non-tufted grass/sedge,0,0.0
Control,2,12,False,False,False,Medium Non-tufted grass/sedge,3,0.0
Control,2,12,False,False,False,Medium Non-tufted grass/sedge,6,1.0
Control,2,12,False,False,False,Prostrate or Mat-forming Forb/Herb,0,2.0
Control,2,12,False,False,False,Prostrate or Mat-forming Forb/Herb,3,1.0
Control,2,12,False,False,False,Prostrate or Mat-forming Forb/Herb,6,1.0
Control,2,12,False,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,12,False,False,False,Small Non-tufted grass/sedge,3,1.0
Control,2,12,False,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,12,False,False,False,Small Shrub,0,0.0
Control,2,12,False,False,False,Small Shrub,3,1.0
Control,2,12,False,False,False,Small Shrub,6,0.0
Control,2,12,False,False,False,Small Tufted grass/sedge,0,10.0
Control,2,12,False,False,False,Small Tufted grass/sedge,3,0.0
Control,2,12,False,False,False,Small Tufted grass/sedge,6,1.0
Control,2,12,False,False,True,Climber,0,0.5
Control,2,12,False,False,True,Climber,3,1.0
Control,2,12,False,False,True,Climber,6,0.0
Control,2,12,False,False,True,Large Forb/Herb,0,70.0
Control,2,12,False,False,True,Large Forb/Herb,3,140.0
Control,2,12,False,False,True,Large Forb/Herb,6,60.0
Control,2,12,False,False,True,Medium Forb/Herb,0,1.0
Control,2,12,False,False,True,Medium Forb/Herb,3,2.0
Control,2,12,False,False,True,Medium Forb/Herb,6,0.5
Control,2,12,False,False,True,Medium Non-tufted grass/sedge,0,20.0
Control,2,12,False,False,True,Medium Non-tufted grass/sedge,3,2.0
Control,2,12,False,False,True,Medium Non-tufted grass/sedge,6,0.5
