Treatment,Plot Number,Quadrat Number,Fenced,Gap,Shade Tolerant,Life Form,Year,0
Control,2,3,False,False,False,Small Non-tufted grass/sedge,3,0.09448818897637795
Control,2,3,False,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,3,False,False,False,Small Tufted grass/sedge,0,0.4015748031496063
Control,2,3,False,False,False,Small Tufted grass/sedge,3,0.0
Control,2,3,False,False,False,Small Tufted grass/sedge,6,0.05511811023622047
Control,2,3,False,False,True,Climber,0,0.001890359168241966
Control,2,3,False,False,True,Climber,3,0.0
Control,2,3,False,False,True,Climber,6,0.001890359168241966
Control,2,3,False,False,True,Large Forb/Herb,0,0.20793950850661624
Control,2,3,False,False,True,Large Forb/Herb,3,0.34026465028355385
Control,2,3,False,False,True,Large Forb/Herb,6,0.17013232514177692
Control,2,3,False,False,True,Medium Forb/Herb,0,0.003780718336483932
Control,2,3,False,False,True,Medium Forb/Herb,3,0.05103969754253308
Control,2,3,False,False,True,Medium Forb/Herb,6,0.005671077504725898
Control,2,3,False,False,True,Medium Non-tufted grass/sedge,0,0.011342155009451797
Control,2,3,False,False,True,Medium Non-tufted grass/sedge,3,0.022684310018903593
Control,2,3,False,False,True,Medium Non-tufted grass/sedge,6,0.011342155009451797
Control,2,3,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.05671077504725898
Control,2,3,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.11342155009451796
Control,2,3,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.001890359168241966
Control,2,4,False,False,False,Large Forb/Herb,0,0.039603960396039604
Control,2,4,False,False,False,Large Forb/Herb,3,0.07920792079207921
Control,2,4,False,False,False,Large Forb/Herb,6,0.009900990099009901
Control,2,4,False,False,False,Medium Forb/Herb,0,0.039603960396039604
Control,2,4,False,False,False,Medium Forb/Herb,3,0.2871287128712871
Control,2,4,False,False,False,Medium Forb/Herb,6,0.0297029702970297
Control,2,4,False,False,False,Medium Tufted grass/sedge,0,0.06930693069306931
Control,2,4,False,False,False,Medium Tufted grass/sedge,3,0.15841584158415842
Control,2,4,False,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,4,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.009900990099009901
Control,2,4,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.009900990099009901
Control,2,4,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.06930693069306931
Control,2,4,False,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,4,False,False,False,Small Non-tufted grass/sedge,3,0.0594059405940594
Control,2,4,False,False,False,Small Non-tufted grass/sedge,6,0.009900990099009901
Control,2,4,False,False,False,Small Tufted grass/sedge,0,0.1188118811881188
Control,2,4,False,False,False,Small Tufted grass/sedge,3,0.0
Control,2,4,False,False,False,Small Tufted grass/sedge,6,0.009900990099009901
Control,2,4,False,False,True,Climber,0,0.004807692307692308
Control,2,4,False,False,True,Climber,3,0.028846153846153848
Control,2,4,False,False,True,Climber,6,0.004807692307692308
Control,2,4,False,False,True,Large Forb/Herb,0,0.2403846153846154
Control,2,4,False,False,True,Large Forb/Herb,3,0.14423076923076922
Control,2,4,False,False,True,Large Forb/Herb,6,0.33653846153846156
Control,2,4,False,False,True,Medium Forb/Herb,0,0.0
Control,2,4,False,False,True,Medium Forb/Herb,3,0.004807692307692308
Control,2,4,False,False,True,Medium Forb/Herb,6,0.028846153846153848
Control,2,4,False,False,True,Medium Non-tufted grass/sedge,0,0.028846153846153848
Control,2,4,False,False,True,Medium Non-tufted grass/sedge,3,0.07211538461538461
Control,2,4,False,False,True,Medium Non-tufted grass/sedge,6,0.028846153846153848
Control,2,4,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.07211538461538461
Control,2,4,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,4,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.004807692307692308
Control,2,5,False,False,False,Large Forb/Herb,0,0.008849557522123894
Control,2,5,False,False,False,Large Forb/Herb,3,0.05309734513274336
Control,2,5,False,False,False,Large Forb/Herb,6,0.05309734513274336
Control,2,5,False,False,False,Medium Forb/Herb,0,0.035398230088495575
Control,2,5,False,False,False,Medium Forb/Herb,3,0.08849557522123894
Control,2,5,False,False,False,Medium Forb/Herb,6,0.035398230088495575
Control,2,5,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.017699115044247787
Control,2,5,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.02654867256637168
Control,2,5,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.061946902654867256
Control,2,5,False,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,5,False,False,False,Small Non-tufted grass/sedge,3,0.05309734513274336
Control,2,5,False,False,False,Small Non-tufted grass/sedge,6,0.05309734513274336
Control,2,5,False,False,False,Small Tufted grass/sedge,0,0.45132743362831856
Control,2,5,False,False,False,Small Tufted grass/sedge,3,0.061946902654867256
Control,2,5,False,False,False,Small Tufted grass/sedge,6,0.0
Control,2,5,False,False,True,Climber,0,0.0
Control,2,5,False,False,True,Climber,3,0.003968253968253968
Control,2,5,False,False,True,Climber,6,0.0
Control,2,5,False,False,True,Large Forb/Herb,0,0.2777777777777778
Control,2,5,False,False,True,Large Forb/Herb,3,0.1984126984126984
Control,2,5,False,False,True,Large Forb/Herb,6,0.35714285714285715
Control,2,5,False,False,True,Medium Forb/Herb,0,0.003968253968253968
Control,2,5,False,False,True,Medium Forb/Herb,3,0.0
Control,2,5,False,False,True,Medium Forb/Herb,6,0.0
Control,2,5,False,False,True,Medium Non-tufted grass/sedge,0,0.11904761904761904
Control,2,5,False,False,True,Medium Non-tufted grass/sedge,3,0.023809523809523808
Control,2,5,False,False,True,Medium Non-tufted grass/sedge,6,0.003968253968253968
Control,2,5,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,5,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.003968253968253968
Control,2,5,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.003968253968253968
Control,2,5,False,False,True,Small Tufted grass/sedge,0,0.0
Control,2,5,False,False,True,Small Tufted grass/sedge,3,0.0
Control,2,5,False,False,True,Small Tufted grass/sedge,6,0.003968253968253968
Control,2,6,False,False,False,Large Forb/Herb,0,0.10416666666666667
Control,2,6,False,False,False,Large Forb/Herb,3,0.020833333333333332
Control,2,6,False,False,False,Large Forb/Herb,6,0.010416666666666666
Control,2,6,False,False,False,Medium Forb/Herb,0,0.052083333333333336
Control,2,6,False,False,False,Medium Forb/Herb,3,0.2916666666666667
Control,2,6,False,False,False,Medium Forb/Herb,6,0.1875
Control,2,6,False,False,False,Medium Tufted grass/sedge,0,0.010416666666666666
Control,2,6,False,False,False,Medium Tufted grass/sedge,3,0.010416666666666666
Control,2,6,False,False,False,Medium Tufted grass/sedge,6,0.010416666666666666
Control,2,6,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.03125
Control,2,6,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.010416666666666666
Control,2,6,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.08333333333333333
Control,2,6,False,False,False,Shrub,0,0.010416666666666666
Control,2,6,False,False,False,Shrub,3,0.0
Control,2,6,False,False,False,Shrub,6,0.0
Control,2,6,False,False,False,Small Non-tufted grass/sedge,0,0.010416666666666666
Control,2,6,False,False,False,Small Non-tufted grass/sedge,3,0.0
Control,2,6,False,False,False,Small Non-tufted grass/sedge,6,0.0625
Control,2,6,False,False,False,Small Tufted grass/sedge,0,0.0625
Control,2,6,False,False,False,Small Tufted grass/sedge,3,0.010416666666666666
Control,2,6,False,False,False,Small Tufted grass/sedge,6,0.020833333333333332
Control,2,6,False,False,True,Climber,0,0.002551020408163265
Control,2,6,False,False,True,Climber,3,0.0
Control,2,6,False,False,True,Climber,6,0.002551020408163265
Control,2,6,False,False,True,Large Forb/Herb,0,0.0
Control,2,6,False,False,True,Large Forb/Herb,3,0.28061224489795916
Control,2,6,False,False,True,Large Forb/Herb,6,0.28061224489795916
Control,2,6,False,False,True,Medium Forb/Herb,0,0.002551020408163265
Control,2,6,False,False,True,Medium Forb/Herb,3,0.015306122448979591
Control,2,6,False,False,True,Medium Forb/Herb,6,0.007653061224489796
Control,2,6,False,False,True,Medium Non-tufted grass/sedge,0,0.07653061224489796
Control,2,6,False,False,True,Medium Non-tufted grass/sedge,3,0.03826530612244898
Control,2,6,False,False,True,Medium Non-tufted grass/sedge,6,0.015306122448979591
Control,2,6,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.22959183673469388
Control,2,6,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.03826530612244898
Control,2,6,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.002551020408163265
Control,2,6,False,False,True,Small Forb/Herb,0,0.002551020408163265
Control,2,6,False,False,True,Small Forb/Herb,3,0.0
Control,2,6,False,False,True,Small Forb/Herb,6,0.0
Control,2,6,False,False,True,Small Tufted grass/sedge,0,0.0
Control,2,6,False,False,True,Small Tufted grass/sedge,3,0.0
Control,2,6,False,False,True,Small Tufted grass/sedge,6,0.00510204081632653
Control,2,7,False,False,False,Large Forb/Herb,0,0.16071428571428573
Control,2,7,False,False,False,Large Forb/Herb,3,0.11607142857142858
Control,2,7,False,False,False,Large Forb/Herb,6,0.017857142857142856
Control,2,7,False,False,False,Medium Forb/Herb,0,0.08035714285714286
Control,2,7,False,False,False,Medium Forb/Herb,3,0.25892857142857145
Control,2,7,False,False,False,Medium Forb/Herb,6,0.05357142857142857
Control,2,7,False,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,7,False,False,False,Medium Tufted grass/sedge,3,0.05357142857142857
Control,2,7,False,False,False,Medium Tufted grass/sedge,6,0.008928571428571428
Control,2,7,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.017857142857142856
Control,2,7,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.008928571428571428
Control,2,7,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.026785714285714284
Control,2,7,False,False,False,Small Non-tufted grass/sedge,0,0.008928571428571428
Control,2,7,False,False,False,Small Non-tufted grass/sedge,3,0.05357142857142857
Control,2,7,False,False,False,Small Non-tufted grass/sedge,6,0.05357142857142857
Control,2,7,False,False,False,Small Tufted grass/sedge,0,0.07142857142857142
Control,2,7,False,False,False,Small Tufted grass/sedge,3,0.0
Control,2,7,False,False,False,Small Tufted grass/sedge,6,0.008928571428571428
Control,2,7,False,False,True,Climber,0,0.0026666666666666666
Control,2,7,False,False,True,Climber,3,0.016
Control,2,7,False,False,True,Climber,6,0.0
Control,2,7,False,False,True,Large Forb/Herb,0,0.29333333333333333
Control,2,7,False,False,True,Large Forb/Herb,3,0.24
Control,2,7,False,False,True,Large Forb/Herb,6,0.29333333333333333
Control,2,7,False,False,True,Medium Forb/Herb,0,0.005333333333333333
Control,2,7,False,False,True,Medium Forb/Herb,3,0.032
Control,2,7,False,False,True,Medium Forb/Herb,6,0.021333333333333333
Control,2,7,False,False,True,Medium Non-tufted grass/sedge,0,0.04
Control,2,7,False,False,True,Medium Non-tufted grass/sedge,3,0.016
Control,2,7,False,False,True,Medium Non-tufted grass/sedge,6,0.016
Control,2,7,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,7,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.016
Control,2,7,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.0
Control,2,7,False,False,True,Small Forb/Herb,0,0.0026666666666666666
Control,2,7,False,False,True,Small Forb/Herb,3,0.0
Control,2,7,False,False,True,Small Forb/Herb,6,0.0
Control,2,7,False,False,True,Small Tufted grass/sedge,0,0.0
Control,2,7,False,False,True,Small Tufted grass/sedge,3,0.0
Control,2,7,False,False,True,Small Tufted grass/sedge,6,0.005333333333333333
Control,2,8,False,False,False,Large Forb/Herb,0,0.03225806451612903
Control,2,8,False,False,False,Large Forb/Herb,3,0.0967741935483871
Control,2,8,False,False,False,Large Forb/Herb,6,0.03225806451612903
Control,2,8,False,False,False,Medium Forb/Herb,0,0.0967741935483871
Control,2,8,False,False,False,Medium Forb/Herb,3,0.25806451612903225
Control,2,8,False,False,False,Medium Forb/Herb,6,0.06451612903225806
Control,2,8,False,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,8,False,False,False,Medium Tufted grass/sedge,3,0.016129032258064516
Control,2,8,False,False,False,Medium Tufted grass/sedge,6,0.016129032258064516
Control,2,8,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.03225806451612903
Control,2,8,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.016129032258064516
Control,2,8,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.0967741935483871
Control,2,8,False,False,False,Small Non-tufted grass/sedge,0,0.016129032258064516
Control,2,8,False,False,False,Small Non-tufted grass/sedge,3,0.0967741935483871
Control,2,8,False,False,False,Small Non-tufted grass/sedge,6,0.0967741935483871
Control,2,8,False,False,False,Small Tufted grass/sedge,0,0.016129032258064516
Control,2,8,False,False,False,Small Tufted grass/sedge,3,0.016129032258064516
Control,2,8,False,False,False,Small Tufted grass/sedge,6,0.0
Control,2,8,False,False,True,Large Forb/Herb,0,0.2556818181818182
Control,2,8,False,False,True,Large Forb/Herb,3,0.3125
Control,2,8,False,False,True,Large Forb/Herb,6,0.3125
Control,2,8,False,False,True,Medium Forb/Herb,0,0.017045454545454544
Control,2,8,False,False,True,Medium Forb/Herb,3,0.002840909090909091
Control,2,8,False,False,True,Medium Forb/Herb,6,0.002840909090909091
Control,2,8,False,False,True,Medium Non-tufted grass/sedge,0,0.017045454545454544
Control,2,8,False,False,True,Medium Non-tufted grass/sedge,3,0.017045454545454544
Control,2,8,False,False,True,Medium Non-tufted grass/sedge,6,0.017045454545454544
Control,2,8,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.002840909090909091
Control,2,8,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.017045454545454544
Control,2,8,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.002840909090909091
Control,2,8,False,False,True,Tufted Ground Fern,0,0.002840909090909091
Control,2,8,False,False,True,Tufted Ground Fern,3,0.017045454545454544
Control,2,8,False,False,True,Tufted Ground Fern,6,0.002840909090909091
Control,2,9,False,False,False,Large Forb/Herb,0,0.21794871794871795
Control,2,9,False,False,False,Large Forb/Herb,3,0.08974358974358974
Control,2,9,False,False,False,Large Forb/Herb,6,0.01282051282051282
Control,2,9,False,False,False,Medium Forb/Herb,0,0.02564102564102564
Control,2,9,False,False,False,Medium Forb/Herb,3,0.01282051282051282
Control,2,9,False,False,False,Medium Forb/Herb,6,0.0641025641025641
Control,2,9,False,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,9,False,False,False,Medium Tufted grass/sedge,3,0.01282051282051282
Control,2,9,False,False,False,Medium Tufted grass/sedge,6,0.01282051282051282
Control,2,9,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.08974358974358974
Control,2,9,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,9,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.02564102564102564
Control,2,9,False,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,9,False,False,False,Small Non-tufted grass/sedge,3,0.01282051282051282
Control,2,9,False,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,9,False,False,False,Small Tufted grass/sedge,0,0.38461538461538464
Control,2,9,False,False,False,Small Tufted grass/sedge,3,0.01282051282051282
Control,2,9,False,False,False,Small Tufted grass/sedge,6,0.02564102564102564
Control,2,9,False,False,True,Climber,0,0.00398406374501992
Control,2,9,False,False,True,Climber,3,0.0
Control,2,9,False,False,True,Climber,6,0.00398406374501992
Control,2,9,False,False,True,Large Forb/Herb,0,0.35856573705179284
Control,2,9,False,False,True,Large Forb/Herb,3,0.0
Control,2,9,False,False,True,Large Forb/Herb,6,0.43824701195219123
Control,2,9,False,False,True,Medium Forb/Herb,0,0.00398406374501992
Control,2,9,False,False,True,Medium Forb/Herb,3,0.0
Control,2,9,False,False,True,Medium Forb/Herb,6,0.00796812749003984
Control,2,9,False,False,True,Medium Non-tufted grass/sedge,0,0.11952191235059761
Control,2,9,False,False,True,Medium Non-tufted grass/sedge,3,0.0
Control,2,9,False,False,True,Medium Non-tufted grass/sedge,6,0.00398406374501992
Control,2,9,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.05976095617529881
Control,2,9,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,9,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.0
Control,2,10,False,False,False,Large Forb/Herb,0,0.05813953488372093
Control,2,10,False,False,False,Large Forb/Herb,3,0.08139534883720931
Control,2,10,False,False,False,Large Forb/Herb,6,0.10465116279069768
Control,2,10,False,False,False,Medium Forb/Herb,0,0.06976744186046512
Control,2,10,False,False,False,Medium Forb/Herb,3,0.22093023255813954
Control,2,10,False,False,False,Medium Forb/Herb,6,0.10465116279069768
Control,2,10,False,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,10,False,False,False,Medium Tufted grass/sedge,3,0.06976744186046512
Control,2,10,False,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,10,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.03488372093023256
Control,2,10,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.06976744186046512
Control,2,10,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.08139534883720931
Control,2,10,False,False,False,Small Non-tufted grass/sedge,0,0.011627906976744186
Control,2,10,False,False,False,Small Non-tufted grass/sedge,3,0.0
Control,2,10,False,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,10,False,False,False,Small Tufted grass/sedge,0,0.06976744186046512
Control,2,10,False,False,False,Small Tufted grass/sedge,3,0.011627906976744186
Control,2,10,False,False,False,Small Tufted grass/sedge,6,0.011627906976744186
Control,2,10,False,False,True,Climber,0,0.0
Control,2,10,False,False,True,Climber,3,0.0
Control,2,10,False,False,True,Climber,6,0.0037593984962406013
Control,2,10,False,False,True,Large Forb/Herb,0,0.2631578947368421
Control,2,10,False,False,True,Large Forb/Herb,3,0.2669172932330827
Control,2,10,False,False,True,Large Forb/Herb,6,0.3383458646616541
Control,2,10,False,False,True,Medium Forb/Herb,0,0.0
Control,2,10,False,False,True,Medium Forb/Herb,3,0.02631578947368421
Control,2,10,False,False,True,Medium Forb/Herb,6,0.022556390977443608
Control,2,10,False,False,True,Medium Non-tufted grass/sedge,0,0.022556390977443608
Control,2,10,False,False,True,Medium Non-tufted grass/sedge,3,0.022556390977443608
Control,2,10,False,False,True,Medium Non-tufted grass/sedge,6,0.0037593984962406013
Control,2,10,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.0037593984962406013
Control,2,10,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.022556390977443608
Control,2,10,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.0037593984962406013
Control,2,11,False,False,False,Large Forb/Herb,0,0.08860759493670886
Control,2,11,False,False,False,Large Forb/Herb,3,0.1518987341772152
Control,2,11,False,False,False,Large Forb/Herb,6,0.012658227848101266
Control,2,11,False,False,False,Medium Forb/Herb,0,0.0379746835443038
Control,2,11,False,False,False,Medium Forb/Herb,3,0.012658227848101266
Control,2,11,False,False,False,Medium Forb/Herb,6,0.05063291139240506
Control,2,11,False,False,False,Medium Non-tufted grass/sedge,0,0.0
Control,2,11,False,False,False,Medium Non-tufted grass/sedge,3,0.0
Control,2,11,False,False,False,Medium Non-tufted grass/sedge,6,0.189873417721519
Control,2,11,False,False,False,Medium Tufted grass/sedge,0,0.08860759493670886
Control,2,11,False,False,False,Medium Tufted grass/sedge,3,0.08860759493670886
Control,2,11,False,False,False,Medium Tufted grass/sedge,6,0.012658227848101266
Control,2,11,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.08860759493670886
Control,2,11,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.02531645569620253
Control,2,11,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.0379746835443038
Control,2,11,False,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,11,False,False,False,Small Non-tufted grass/sedge,3,0.0759493670886076
Control,2,11,False,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,11,False,False,False,Small Tufted grass/sedge,0,0.02531645569620253
Control,2,11,False,False,False,Small Tufted grass/sedge,3,0.012658227848101266
Control,2,11,False,False,False,Small Tufted grass/sedge,6,0.0
Control,2,11,False,False,True,Climber,0,0.0
Control,2,11,False,False,True,Climber,3,0.0026041666666666665
Control,2,11,False,False,True,Climber,6,0.0026041666666666665
