Treatment,Plot Number,Quadrat Number,Fenced,Gap,Life Form,Year,0
Control,2,2,False,False,Small Tufted grass/sedge,6,0.001445086705202312
Control,2,2,False,False,Tufted Ground Fern,0,0.001445086705202312
Control,2,2,False,False,Tufted Ground Fern,3,0.004335260115606936
Control,2,2,False,False,Tufted Ground Fern,6,0.0
Control,2,3,False,False,Climber,0,0.001941747572815534
Control,2,3,False,False,Climber,3,0.0
Control,2,3,False,False,Climber,6,0.001941747572815534
Control,2,3,False,False,Large Forb/Herb,0,0.2
Control,2,3,False,False,Large Forb/Herb,3,0.32233009708737864
Control,2,3,False,False,Large Forb/Herb,6,0.15922330097087378
Control,2,3,False,False,Medium Forb/Herb,0,0.011650485436893204
Control,2,3,False,False,Medium Forb/Herb,3,0.04271844660194175
Control,2,3,False,False,Medium Forb/Herb,6,0.019417475728155338
Control,2,3,False,False,Medium Non-tufted grass/sedge,0,0.003883495145631068
Control,2,3,False,False,Medium Non-tufted grass/sedge,3,0.007766990291262136
Control,2,3,False,False,Medium Non-tufted grass/sedge,6,0.003883495145631068
Control,2,3,False,False,Medium Tufted grass/sedge,0,0.001941747572815534
Control,2,3,False,False,Medium Tufted grass/sedge,3,0.003883495145631068
Control,2,3,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,0,0.038834951456310676
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,3,0.07766990291262135
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,6,0.007766990291262136
Control,2,3,False,False,Small Non-tufted grass/sedge,0,0.001941747572815534
Control,2,3,False,False,Small Non-tufted grass/sedge,3,0.007766990291262136
Control,2,3,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,3,False,False,Small Tufted grass/sedge,0,0.07961165048543689
Control,2,3,False,False,Small Tufted grass/sedge,3,0.0
Control,2,3,False,False,Small Tufted grass/sedge,6,0.005825242718446602
Control,2,4,False,False,Climber,0,0.004739336492890996
Control,2,4,False,False,Climber,3,0.009478672985781991
Control,2,4,False,False,Climber,6,0.004739336492890996
Control,2,4,False,False,Large Forb/Herb,0,0.20853080568720378
Control,2,4,False,False,Large Forb/Herb,3,0.11374407582938388
Control,2,4,False,False,Large Forb/Herb,6,0.2890995260663507
Control,2,4,False,False,Medium Forb/Herb,0,0.018957345971563982
Control,2,4,False,False,Medium Forb/Herb,3,0.08056872037914692
Control,2,4,False,False,Medium Forb/Herb,6,0.023696682464454975
Control,2,4,False,False,Medium Non-tufted grass/sedge,0,0.009478672985781991
Control,2,4,False,False,Medium Non-tufted grass/sedge,3,0.04739336492890995
Control,2,4,False,False,Medium Non-tufted grass/sedge,6,0.009478672985781991
Control,2,4,False,False,Medium Tufted grass/sedge,0,0.014218009478672985
Control,2,4,False,False,Medium Tufted grass/sedge,3,0.052132701421800945
Control,2,4,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,0,0.052132701421800945
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,3,0.004739336492890996
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,6,0.018957345971563982
Control,2,4,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,4,False,False,Small Non-tufted grass/sedge,3,0.009478672985781991
Control,2,4,False,False,Small Non-tufted grass/sedge,6,0.004739336492890996
Control,2,4,False,False,Small Tufted grass/sedge,0,0.018957345971563982
Control,2,4,False,False,Small Tufted grass/sedge,3,0.0
Control,2,4,False,False,Small Tufted grass/sedge,6,0.004739336492890996
Control,2,5,False,False,Climber,0,0.0
Control,2,5,False,False,Climber,3,0.0035335689045936395
Control,2,5,False,False,Climber,6,0.0
Control,2,5,False,False,Large Forb/Herb,0,0.21554770318021202
Control,2,5,False,False,Large Forb/Herb,3,0.14840989399293286
Control,2,5,False,False,Large Forb/Herb,6,0.28975265017667845
Control,2,5,False,False,Medium Forb/Herb,0,0.0176678445229682
Control,2,5,False,False,Medium Forb/Herb,3,0.02120141342756184
Control,2,5,False,False,Medium Forb/Herb,6,0.014134275618374558
Control,2,5,False,False,Medium Non-tufted grass/sedge,0,0.0706713780918728
Control,2,5,False,False,Medium Non-tufted grass/sedge,3,0.007067137809187279
Control,2,5,False,False,Medium Non-tufted grass/sedge,6,0.0035335689045936395
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,0,0.007067137809187279
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,3,0.014134275618374558
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,6,0.014134275618374558
Control,2,5,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,5,False,False,Small Non-tufted grass/sedge,3,0.007067137809187279
Control,2,5,False,False,Small Non-tufted grass/sedge,6,0.007067137809187279
Control,2,5,False,False,Small Tufted grass/sedge,0,0.14487632508833923
Control,2,5,False,False,Small Tufted grass/sedge,3,0.01060070671378092
Control,2,5,False,False,Small Tufted grass/sedge,6,0.0035335689045936395
Control,2,6,False,False,Climber,0,0.002544529262086514
Control,2,6,False,False,Climber,3,0.0
Control,2,6,False,False,Climber,6,0.002544529262086514
Control,2,6,False,False,Large Forb/Herb,0,0.015267175572519083
Control,2,6,False,False,Large Forb/Herb,3,0.2595419847328244
Control,2,6,False,False,Large Forb/Herb,6,0.25699745547073793
Control,2,6,False,False,Medium Forb/Herb,0,0.015267175572519083
Control,2,6,False,False,Medium Forb/Herb,3,0.043256997455470736
Control,2,6,False,False,Medium Forb/Herb,6,0.03307888040712468
Control,2,6,False,False,Medium Non-tufted grass/sedge,0,0.05089058524173028
Control,2,6,False,False,Medium Non-tufted grass/sedge,3,0.02544529262086514
Control,2,6,False,False,Medium Non-tufted grass/sedge,6,0.005089058524173028
Control,2,6,False,False,Medium Tufted grass/sedge,0,0.002544529262086514
Control,2,6,False,False,Medium Tufted grass/sedge,3,0.002544529262086514
Control,2,6,False,False,Medium Tufted grass/sedge,6,0.002544529262086514
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,0,0.21119592875318066
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,3,0.027989821882951654
Control,2,6,False,False,Prostrate or Mat-forming Forb/Herb,6,0.01272264631043257
Control,2,6,False,False,Shrub,0,0.002544529262086514
Control,2,6,False,False,Shrub,3,0.0
Control,2,6,False,False,Shrub,6,0.0
Control,2,6,False,False,Small Forb/Herb,0,0.002544529262086514
Control,2,6,False,False,Small Forb/Herb,3,0.0
Control,2,6,False,False,Small Forb/Herb,6,0.0
Control,2,6,False,False,Small Non-tufted grass/sedge,0,0.002544529262086514
Control,2,6,False,False,Small Non-tufted grass/sedge,3,0.0
Control,2,6,False,False,Small Non-tufted grass/sedge,6,0.005089058524173028
Control,2,6,False,False,Small Tufted grass/sedge,0,0.005089058524173028
Control,2,6,False,False,Small Tufted grass/sedge,3,0.002544529262086514
Control,2,6,False,False,Small Tufted grass/sedge,6,0.010178117048346057
Control,2,7,False,False,Climber,0,0.0026455026455026454
Control,2,7,False,False,Climber,3,0.005291005291005291
Control,2,7,False,False,Climber,6,0.0
Control,2,7,False,False,Large Forb/Herb,0,0.29894179894179895
Control,2,7,False,False,Large Forb/Herb,3,0.22486772486772486
Control,2,7,False,False,Large Forb/Herb,6,0.2698412698412698
Control,2,7,False,False,Medium Forb/Herb,0,0.018518518518518517
Control,2,7,False,False,Medium Forb/Herb,3,0.05291005291005291
Control,2,7,False,False,Medium Forb/Herb,6,0.026455026455026454
Control,2,7,False,False,Medium Non-tufted grass/sedge,0,0.026455026455026454
Control,2,7,False,False,Medium Non-tufted grass/sedge,3,0.005291005291005291
Control,2,7,False,False,Medium Non-tufted grass/sedge,6,0.005291005291005291
Control,2,7,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,7,False,False,Medium Tufted grass/sedge,3,0.005291005291005291
Control,2,7,False,False,Medium Tufted grass/sedge,6,0.0026455026455026454
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,0,0.005291005291005291
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,3,0.007936507936507936
Control,2,7,False,False,Prostrate or Mat-forming Forb/Herb,6,0.007936507936507936
Control,2,7,False,False,Small Forb/Herb,0,0.0026455026455026454
Control,2,7,False,False,Small Forb/Herb,3,0.0
Control,2,7,False,False,Small Forb/Herb,6,0.0
Control,2,7,False,False,Small Non-tufted grass/sedge,0,0.0026455026455026454
Control,2,7,False,False,Small Non-tufted grass/sedge,3,0.005291005291005291
Control,2,7,False,False,Small Non-tufted grass/sedge,6,0.005291005291005291
Control,2,7,False,False,Small Tufted grass/sedge,0,0.010582010582010581
Control,2,7,False,False,Small Tufted grass/sedge,3,0.0
Control,2,7,False,False,Small Tufted grass/sedge,6,0.007936507936507936
Control,2,8,False,False,Large Forb/Herb,0,0.24188790560471976
Control,2,8,False,False,Large Forb/Herb,3,0.3008849557522124
Control,2,8,False,False,Large Forb/Herb,6,0.3008849557522124
Control,2,8,False,False,Medium Forb/Herb,0,0.02359882005899705
Control,2,8,False,False,Medium Forb/Herb,3,0.035398230088495575
Control,2,8,False,False,Medium Forb/Herb,6,0.014749262536873156
Control,2,8,False,False,Medium Non-tufted grass/sedge,0,0.0058997050147492625
Control,2,8,False,False,Medium Non-tufted grass/sedge,3,0.0058997050147492625
Control,2,8,False,False,Medium Non-tufted grass/sedge,6,0.0058997050147492625
Control,2,8,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,8,False,False,Medium Tufted grass/sedge,3,0.0029498525073746312
Control,2,8,False,False,Medium Tufted grass/sedge,6,0.0029498525073746312
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,0,0.008849557522123894
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,3,0.008849557522123894
Control,2,8,False,False,Prostrate or Mat-forming Forb/Herb,6,0.008849557522123894
Control,2,8,False,False,Small Non-tufted grass/sedge,0,0.0029498525073746312
Control,2,8,False,False,Small Non-tufted grass/sedge,3,0.0058997050147492625
Control,2,8,False,False,Small Non-tufted grass/sedge,6,0.0058997050147492625
Control,2,8,False,False,Small Tufted grass/sedge,0,0.0029498525073746312
Control,2,8,False,False,Small Tufted grass/sedge,3,0.0029498525073746312
Control,2,8,False,False,Small Tufted grass/sedge,6,0.0
Control,2,8,False,False,Tufted Ground Fern,0,0.0029498525073746312
Control,2,8,False,False,Tufted Ground Fern,3,0.0058997050147492625
Control,2,8,False,False,Tufted Ground Fern,6,0.0029498525073746312
Control,2,9,False,False,Climber,0,0.0036900369003690036
Control,2,9,False,False,Climber,3,0.0
Control,2,9,False,False,Climber,6,0.0036900369003690036
Control,2,9,False,False,Large Forb/Herb,0,0.33948339483394835
Control,2,9,False,False,Large Forb/Herb,3,0.01107011070110701
Control,2,9,False,False,Large Forb/Herb,6,0.3726937269372694
Control,2,9,False,False,Medium Forb/Herb,0,0.01107011070110701
Control,2,9,False,False,Medium Forb/Herb,3,0.0036900369003690036
Control,2,9,False,False,Medium Forb/Herb,6,0.025830258302583026
Control,2,9,False,False,Medium Non-tufted grass/sedge,0,0.07380073800738007
Control,2,9,False,False,Medium Non-tufted grass/sedge,3,0.0
Control,2,9,False,False,Medium Non-tufted grass/sedge,6,0.0036900369003690036
Control,2,9,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,9,False,False,Medium Tufted grass/sedge,3,0.0036900369003690036
Control,2,9,False,False,Medium Tufted grass/sedge,6,0.0036900369003690036
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,0,0.04797047970479705
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,9,False,False,Prostrate or Mat-forming Forb/Herb,6,0.007380073800738007
Control,2,9,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,9,False,False,Small Non-tufted grass/sedge,3,0.0036900369003690036
Control,2,9,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,9,False,False,Small Tufted grass/sedge,0,0.07380073800738007
Control,2,9,False,False,Small Tufted grass/sedge,3,0.0036900369003690036
Control,2,9,False,False,Small Tufted grass/sedge,6,0.007380073800738007
Control,2,10,False,False,Climber,0,0.0
Control,2,10,False,False,Climber,3,0.0
Control,2,10,False,False,Climber,6,0.003816793893129771
Control,2,10,False,False,Large Forb/Herb,0,0.2480916030534351
Control,2,10,False,False,Large Forb/Herb,3,0.24427480916030533
Control,2,10,False,False,Large Forb/Herb,6,0.3244274809160305
Control,2,10,False,False,Medium Forb/Herb,0,0.022900763358778626
Control,2,10,False,False,Medium Forb/Herb,3,0.03816793893129771
Control,2,10,False,False,Medium Forb/Herb,6,0.026717557251908396
Control,2,10,False,False,Medium Non-tufted grass/sedge,0,0.007633587786259542
Control,2,10,False,False,Medium Non-tufted grass/sedge,3,0.007633587786259542
Control,2,10,False,False,Medium Non-tufted grass/sedge,6,0.003816793893129771
Control,2,10,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,10,False,False,Medium Tufted grass/sedge,3,0.007633587786259542
Control,2,10,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,0,0.015267175572519083
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,3,0.015267175572519083
Control,2,10,False,False,Prostrate or Mat-forming Forb/Herb,6,0.015267175572519083
Control,2,10,False,False,Small Non-tufted grass/sedge,0,0.003816793893129771
Control,2,10,False,False,Small Non-tufted grass/sedge,3,0.0
Control,2,10,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,10,False,False,Small Tufted grass/sedge,0,0.007633587786259542
Control,2,10,False,False,Small Tufted grass/sedge,3,0.003816793893129771
Control,2,10,False,False,Small Tufted grass/sedge,6,0.003816793893129771
Control,2,11,False,False,Climber,0,0.0
Control,2,11,False,False,Climber,3,0.0027472527472527475
Control,2,11,False,False,Climber,6,0.0027472527472527475
Control,2,11,False,False,Large Forb/Herb,0,0.22802197802197802
Control,2,11,False,False,Large Forb/Herb,3,0.28846153846153844
Control,2,11,False,False,Large Forb/Herb,6,0.22252747252747251
Control,2,11,False,False,Medium Forb/Herb,0,0.019230769230769232
Control,2,11,False,False,Medium Forb/Herb,3,0.013736263736263736
Control,2,11,False,False,Medium Forb/Herb,6,0.019230769230769232
Control,2,11,False,False,Medium Non-tufted grass/sedge,0,0.054945054945054944
Control,2,11,False,False,Medium Non-tufted grass/sedge,3,0.027472527472527472
Control,2,11,False,False,Medium Non-tufted grass/sedge,6,0.03021978021978022
Control,2,11,False,False,Medium Tufted grass/sedge,0,0.008241758241758242
Control,2,11,False,False,Medium Tufted grass/sedge,3,0.008241758241758242
Control,2,11,False,False,Medium Tufted grass/sedge,6,0.0027472527472527475
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,0,0.013736263736263736
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,3,0.03296703296703297
Control,2,11,False,False,Prostrate or Mat-forming Forb/Herb,6,0.01098901098901099
Control,2,11,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,11,False,False,Small Non-tufted grass/sedge,3,0.005494505494505495
Control,2,11,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,11,False,False,Small Tufted grass/sedge,0,0.005494505494505495
Control,2,11,False,False,Small Tufted grass/sedge,3,0.0027472527472527475
Control,2,11,False,False,Small Tufted grass/sedge,6,0.0
Control,2,12,False,False,Climber,0,0.001321003963011889
Control,2,12,False,False,Climber,3,0.002642007926023778
Control,2,12,False,False,Climber,6,0.0
Control,2,12,False,False,Large Forb/Herb,0,0.18758256274768825
Control,2,12,False,False,Large Forb/Herb,3,0.380449141347424
Control,2,12,False,False,Large Forb/Herb,6,0.16248348745046234
Control,2,12,False,False,Large Tufted grass/sedge,0,0.001321003963011889
Control,2,12,False,False,Large Tufted grass/sedge,3,0.0
Control,2,12,False,False,Large Tufted grass/sedge,6,0.0
Control,2,12,False,False,Medium Forb/Herb,0,0.003963011889035667
Control,2,12,False,False,Medium Forb/Herb,3,0.010568031704095112
Control,2,12,False,False,Medium Forb/Herb,6,0.009247027741083224
Control,2,12,False,False,Medium Non-tufted grass/sedge,0,0.052840158520475564
Control,2,12,False,False,Medium Non-tufted grass/sedge,3,0.005284015852047556
Control,2,12,False,False,Medium Non-tufted grass/sedge,6,0.003963011889035667
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,0,0.11096433289299867
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,3,0.02906208718626156
Control,2,12,False,False,Prostrate or Mat-forming Forb/Herb,6,0.003963011889035667
Control,2,12,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,12,False,False,Small Non-tufted grass/sedge,3,0.002642007926023778
Control,2,12,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,12,False,False,Small Shrub,0,0.0
Control,2,12,False,False,Small Shrub,3,0.002642007926023778
Control,2,12,False,False,Small Shrub,6,0.0
Control,2,12,False,False,Small Tufted grass/sedge,0,0.026420079260237782
Control,2,12,False,False,Small Tufted grass/sedge,3,0.0
Control,2,12,False,False,Small Tufted grass/sedge,6,0.002642007926023778
Control,2,13,False,False,Large Forb/Herb,0,0.0471311475409836
Control,2,13,False,False,Large Forb/Herb,3,0.1864754098360656
Control,2,13,False,False,Large Forb/Herb,6,0.20901639344262296
Control,2,13,False,False,Medium Forb/Herb,0,0.00819672131147541
Control,2,13,False,False,Medium Forb/Herb,3,0.012295081967213115
Control,2,13,False,False,Medium Forb/Herb,6,0.00819672131147541
Control,2,13,False,False,Medium Non-tufted grass/sedge,0,0.040983606557377046
Control,2,13,False,False,Medium Non-tufted grass/sedge,3,0.08196721311475409
Control,2,13,False,False,Medium Non-tufted grass/sedge,6,0.004098360655737705
Control,2,13,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,13,False,False,Medium Tufted grass/sedge,3,0.0020491803278688526
Control,2,13,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,13,False,False,Prostrate or Mat-forming Forb/Herb,0,0.08196721311475409
Control,2,13,False,False,Prostrate or Mat-forming Forb/Herb,3,0.00819672131147541
Control,2,13,False,False,Prostrate or Mat-forming Forb/Herb,6,0.00819672131147541
Control,2,13,False,False,Small Non-tufted grass/sedge,0,0.0
Control,2,13,False,False,Small Non-tufted grass/sedge,3,0.004098360655737705
Control,2,13,False,False,Small Non-tufted grass/sedge,6,0.0020491803278688526
Control,2,13,False,False,Small Tufted grass/sedge,0,0.24795081967213115
Control,2,13,False,False,Small Tufted grass/sedge,3,0.045081967213114756
Control,2,13,False,False,Small Tufted grass/sedge,6,0.0020491803278688526
Control,2,14,False,False,Large Forb/Herb,0,0.27424749163879597
Control,2,14,False,False,Large Forb/Herb,3,0.2842809364548495
Control,2,14,False,False,Large Forb/Herb,6,0.27759197324414714
Control,2,14,False,False,Large Tufted grass/sedge,0,0.0
Control,2,14,False,False,Large Tufted grass/sedge,3,0.0033444816053511705
Control,2,14,False,False,Large Tufted grass/sedge,6,0.0
Control,2,14,False,False,Medium Forb/Herb,0,0.016722408026755852
Control,2,14,False,False,Medium Forb/Herb,3,0.030100334448160536
Control,2,14,False,False,Medium Forb/Herb,6,0.016722408026755852
Control,2,14,False,False,Medium Non-tufted grass/sedge,0,0.0033444816053511705
Control,2,14,False,False,Medium Non-tufted grass/sedge,3,0.006688963210702341
Control,2,14,False,False,Medium Non-tufted grass/sedge,6,0.0033444816053511705
Control,2,14,False,False,Medium Tufted grass/sedge,0,0.0033444816053511705
Control,2,14,False,False,Medium Tufted grass/sedge,3,0.006688963210702341
Control,2,14,False,False,Medium Tufted grass/sedge,6,0.0033444816053511705
Control,2,14,False,False,Non-tufted Ground Fern,0,0.0
Control,2,14,False,False,Non-tufted Ground Fern,3,0.006688963210702341
Control,2,14,False,False,Non-tufted Ground Fern,6,0.0
Control,2,14,False,False,Prostrate or Mat-forming Forb/Herb,0,0.010033444816053512
Control,2,14,False,False,Prostrate or Mat-forming Forb/Herb,3,0.010033444816053512
Control,2,14,False,False,Prostrate or Mat-forming Forb/Herb,6,0.013377926421404682
Control,2,14,False,False,Small Non-tufted grass/sedge,0,0.0033444816053511705
Control,2,14,False,False,Small Non-tufted grass/sedge,3,0.0033444816053511705
Control,2,14,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,14,False,False,Small Tufted grass/sedge,0,0.010033444816053512
Control,2,14,False,False,Small Tufted grass/sedge,3,0.006688963210702341
Control,2,14,False,False,Small Tufted grass/sedge,6,0.006688963210702341
Control,2,15,False,False,Climber,0,0.0
Control,2,15,False,False,Climber,3,0.008771929824561403
Control,2,15,False,False,Climber,6,0.0
Control,2,15,False,False,Large Forb/Herb,0,0.03508771929824561
Control,2,15,False,False,Large Forb/Herb,3,0.2631578947368421
Control,2,15,False,False,Large Forb/Herb,6,0.3684210526315789
Control,2,15,False,False,Medium Forb/Herb,0,0.03508771929824561
Control,2,15,False,False,Medium Forb/Herb,3,0.03508771929824561
Control,2,15,False,False,Medium Forb/Herb,6,0.06140350877192982
Control,2,15,False,False,Medium Non-tufted grass/sedge,0,0.008771929824561403
Control,2,15,False,False,Medium Non-tufted grass/sedge,3,0.008771929824561403
Control,2,15,False,False,Medium Non-tufted grass/sedge,6,0.017543859649122806
Control,2,15,False,False,Medium Tufted grass/sedge,0,0.008771929824561403
Control,2,15,False,False,Medium Tufted grass/sedge,3,0.017543859649122806
Control,2,15,False,False,Medium Tufted grass/sedge,6,0.017543859649122806
Control,2,15,False,False,Non-tufted Ground Fern,0,0.0
Control,2,15,False,False,Non-tufted Ground Fern,3,0.017543859649122806
Control,2,15,False,False,Non-tufted Ground Fern,6,0.008771929824561403
Control,2,15,False,False,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,15,False,False,Prostrate or Mat-forming Forb/Herb,3,0.008771929824561403
Control,2,15,False,False,Prostrate or Mat-forming Forb/Herb,6,0.008771929824561403
Control,2,15,False,False,Small Non-tufted grass/sedge,0,0.008771929824561403
Control,2,15,False,False,Small Non-tufted grass/sedge,3,0.017543859649122806
Control,2,15,False,False,Small Non-tufted grass/sedge,6,0.008771929824561403
Control,2,15,False,False,Small Tufted grass/sedge,0,0.008771929824561403
Control,2,15,False,False,Small Tufted grass/sedge,3,0.008771929824561403
Control,2,15,False,False,Small Tufted grass/sedge,6,0.017543859649122806
Control,2,16,False,False,Large Forb/Herb,0,0.10833333333333334
Control,2,16,False,False,Large Forb/Herb,3,0.35833333333333334
Control,2,16,False,False,Large Forb/Herb,6,0.18333333333333332
Control,2,16,False,False,Medium Forb/Herb,0,0.041666666666666664
Control,2,16,False,False,Medium Forb/Herb,3,0.03333333333333333
Control,2,16,False,False,Medium Forb/Herb,6,0.058333333333333334
Control,2,16,False,False,Medium Non-tufted grass/sedge,0,0.008333333333333333
Control,2,16,False,False,Medium Non-tufted grass/sedge,3,0.008333333333333333
Control,2,16,False,False,Medium Non-tufted grass/sedge,6,0.008333333333333333
Control,2,16,False,False,Medium Tufted grass/sedge,0,0.0
Control,2,16,False,False,Medium Tufted grass/sedge,3,0.016666666666666666
Control,2,16,False,False,Medium Tufted grass/sedge,6,0.008333333333333333
Control,2,16,False,False,Non-tufted Ground Fern,0,0.0
Control,2,16,False,False,Non-tufted Ground Fern,3,0.08333333333333333
Control,2,16,False,False,Non-tufted Ground Fern,6,0.0
Control,2,16,False,False,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,16,False,False,Prostrate or Mat-forming Forb/Herb,3,0.008333333333333333
Control,2,16,False,False,Prostrate or Mat-forming Forb/Herb,6,0.025
Control,2,16,False,False,Small Non-tufted grass/sedge,0,0.008333333333333333
Control,2,16,False,False,Small Non-tufted grass/sedge,3,0.016666666666666666
Control,2,16,False,False,Small Non-tufted grass/sedge,6,0.0
Control,2,16,False,False,Small Tufted grass/sedge,0,0.025
Control,2,16,False,False,Small Tufted grass/sedge,3,0.0
Control,2,16,False,False,Small Tufted grass/sedge,6,0.0
Control,4,1,False,True,Climber,0,0.00196078431372549
Control,4,1,False,True,Climber,3,0.00392156862745098
Control,4,1,False,True,Climber,6,0.0
Control,4,1,False,True,Large Forb/Herb,0,0.24313725490196078
