,Year_monitoring,Date_monitoring,Plot_number,Plot_treatment,Quadrat_number,Quadrat_fenced,Quadrat_gap_or_no,Record_ID,T002_Flora_Species_name,Score,Key,Scientific Name,Common Name,Family Name,Division Name,Life Form
40,3,2015-10-20,1,Gap,1,False,Not in Gap,38,Cotula australis,0.5,Cotula australis,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb
41,3,2015-10-20,1,Gap,1,False,Not in Gap,39,Crassula spp,0.5,Crassula spp,,,,,
42,3,2015-10-20,1,Gap,1,False,Not in Gap,40,Daucus glochidiatus,0.5,Daucus glochidiatus,Daucus glochidiatus,Australian Carrot,Apiaceae,Dicotyledons,Medium Forb/Herb
43,3,2015-10-20,1,Gap,1,False,Not in Gap,41,Dichondra repens,0.5,Dichondra repens,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
44,3,2015-10-20,1,Gap,1,False,Not in Gap,42,Einadia nutans,0.5,Einadia hastata,Einadia hastata,Saloop,Chenopodiaceae,Dicotyledons,Medium Forb/Herb
45,3,2015-10-20,1,Gap,1,False,Not in Gap,47,Lomandra longifolia,5.0,Lomandra longifolia,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb
46,3,2015-10-20,1,Gap,1,False,Not in Gap,46,Lomandra filiformis,0.5,Lomandra filiformis,Lomandra filiformis,Wattle Mat-rush,Xanthorrhoeaceae,Monocotyledons,Medium Forb/Herb
47,3,2015-10-20,1,Gap,1,False,Not in Gap,45,Lagenophora spp,0.5,Lagenophora montana,Lagenophora montana,Mountain Bottle-daisy,Asteraceae,Dicotyledons,Medium Forb/Herb
48,6,2019-10-22,1,Gap,2,False,,10988,Stellaria spp.,0.5,Stellaria spp.,,,,,
49,6,2019-10-22,1,Gap,2,False,,10977,Hydrocotyle spp,1.0,Hydrocotyle hirta,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb
50,6,2019-10-22,1,Gap,2,False,,10981,Microlaena stipoides,0.5,Microlaena stipoides,,,,,
51,6,2019-10-22,1,Gap,2,False,,10976,Glycine clandestina,0.5,Glycine clandestina,Glycine clandestina,Twining Glycine,Fabaceae,Dicotyledons,Climber
52,6,2019-10-22,1,Gap,2,False,,10978,Hypochaeris glabra,0.5,Hypochoeris glabra,Hypochoeris glabra,Smooth Cat's-ear,Asteraceae,Dicotyledons,Medium Forb/Herb
53,6,2019-10-22,1,Gap,2,False,,10979,Imperata cylindrica,0.5,Imperata cylindrica,Imperata cylindrica,Blady Grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge
54,6,2019-10-22,1,Gap,2,False,,10980,Lomandra longifolia,5.0,Lomandra longifolia,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb
55,6,2019-10-22,1,Gap,2,False,,10982,Poranthera microphylla,0.5,Poranthera microphylla s.l.,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb
56,6,2019-10-22,1,Gap,2,False,,10983,Pteridium esculentum,1.0,Pteridium esculentum,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern
57,6,2019-10-22,1,Gap,2,False,,10984,Rytidosperma caespitosum,0.5,Rytidosperma nivicolum,Rytidosperma nivicolum,Snow Wallaby-grass,Poaceae,Monocotyledons,Small Tufted grass/sedge
58,6,2019-10-22,1,Gap,2,False,,10985,Rytidosperma geniculata,0.5,Rytidosperma nivicolum,Rytidosperma nivicolum,Snow Wallaby-grass,Poaceae,Monocotyledons,Small Tufted grass/sedge
59,6,2019-10-22,1,Gap,2,False,,10987,Senecio tenuiflorus,1.0,Senecio pterophorus,Senecio pterophorus,African Daisy,Asteraceae,Dicotyledons,Large Forb/Herb
60,6,2019-10-22,1,Gap,2,False,,10975,Euchiton spp,0.5,Euchiton spp,,,,,
61,6,2019-10-22,1,Gap,2,False,,10986,Senecio pinnatifolius,0.5,Senecio pinnatifolius,Senecio pinnatifolius,Variable Groundsel,Asteraceae,Dicotyledons,Large Forb/Herb
62,6,2019-10-22,1,Gap,2,False,,10970,Aira spp.,1.0,Aira spp.,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
63,6,2019-10-22,1,Gap,2,False,,10972,Crassula sieberiana,1.0,Crassula sieberiana s.l.,Crassula sieberiana s.l.,Sieber Crassula,Crassulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
64,6,2019-10-22,1,Gap,2,False,,10973,Daucus glochidiatus,0.5,Daucus glochidiatus,Daucus glochidiatus,Australian Carrot,Apiaceae,Dicotyledons,Medium Forb/Herb
65,6,2019-10-22,1,Gap,2,False,,10974,Dichondra repens,0.5,Dichondra repens,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
66,6,2019-10-22,1,Gap,2,False,,10971,Austrostipa scabra,1.0,Austrostipa scabra,Austrostipa scabra,Rough Spear-grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge
67,0,2012-10-24,1,Gap,2,False,In Gap,5803,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb
68,0,2012-10-24,1,Gap,2,False,In Gap,5801,Euchiton spp,0.5,Euchiton spp,,,,,
69,0,2012-10-24,1,Gap,2,False,In Gap,5802,Gnaphalium sp,0.5,Gnaphalium indutum,Gnaphalium indutum,Tiny Cudweed,Asteraceae,Dicotyledons,Medium Forb/Herb
70,0,2012-10-24,1,Gap,2,False,In Gap,5804,Hypericum gramineum,0.5,Hypericum gramineum,Hypericum gramineum,Small St John's Wort,Clusiaceae,Dicotyledons,Medium Forb/Herb
71,0,2012-10-24,1,Gap,2,False,In Gap,5800,Dichondra repens,1.0,Dichondra repens,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
72,0,2012-10-24,1,Gap,2,False,In Gap,5795,Rytidosperma spp.,0.5,Rytidosperma australe,Rytidosperma australe,Southern Sheep-grass,Poaceae,Monocotyledons,Tiny Non-tufted grass/sedge
73,0,2012-10-24,1,Gap,2,False,In Gap,5805,Hypochaeris spp,1.0,Hypochoeris glabra,Hypochoeris glabra,Smooth Cat's-ear,Asteraceae,Dicotyledons,Medium Forb/Herb
74,0,2012-10-24,1,Gap,2,False,In Gap,5799,Conyza sumatrensis,0.5,Conyza sumatrensis,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb
75,0,2012-10-24,1,Gap,2,False,In Gap,5798,Cerastium sp.,0.5,Cerastium sp.,,,,,
76,0,2012-10-24,1,Gap,2,False,In Gap,5797,Centaurium erythraea,0.5,Centaurium erythraea,Centaurium erythraea,Common Centaury,Gentianaceae,Dicotyledons,Medium Forb/Herb
77,0,2012-10-24,1,Gap,2,False,In Gap,5796,Austrostipa spp,2.0,Austrostipa rudis,Austrostipa rudis,Veined Spear-grass,Poaceae,Monocotyledons,Large Tufted grass/sedge
78,0,2012-10-24,1,Gap,2,False,In Gap,5794,Aira spp.,0.5,Aira spp.,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
79,0,2012-10-24,1,Gap,2,False,In Gap,5810,Unknown Species,0.5,Unknown Species,,,,,
80,0,2012-10-24,1,Gap,2,False,In Gap,5806,Lomandra longifolia,3.0,Lomandra longifolia,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb
81,0,2012-10-24,1,Gap,2,False,In Gap,5807,Poranthera microphylla,0.5,Poranthera microphylla s.l.,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb
82,0,2012-10-24,1,Gap,2,False,In Gap,5808,Pterostylis spp,0.5,Pterostylis laxa,Pterostylis laxa,Antelope Greenhood,Orchidaceae,Monocotyledons,Medium Forb/Herb
83,0,2012-10-24,1,Gap,2,False,In Gap,5809,Senecio spp,0.5,Senecio spp,,,,,
84,3,2015-10-20,1,Gap,2,False,In Gap,67,Austrostipa spp,1.0,Austrostipa rudis,Austrostipa rudis,Veined Spear-grass,Poaceae,Monocotyledons,Large Tufted grass/sedge
85,3,2015-10-20,1,Gap,2,False,In Gap,55,Rytidosperma spp.,0.5,Rytidosperma australe,Rytidosperma australe,Southern Sheep-grass,Poaceae,Monocotyledons,Tiny Non-tufted grass/sedge
86,3,2015-10-20,1,Gap,2,False,In Gap,65,Senecio spp,1.0,Senecio spp,,,,,
87,3,2015-10-20,1,Gap,2,False,In Gap,54,Aira spp.,1.0,Aira spp.,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
88,3,2015-10-20,1,Gap,2,False,In Gap,56,Cerastium glomeratum,0.5,Cerastium glomeratum s.l.,Cerastium glomeratum s.l.,Common Mouse-ear Chickweed,Caryophyllaceae,Dicotyledons,Medium Forb/Herb
89,3,2015-10-20,1,Gap,2,False,In Gap,61,Lomandra longifolia,4.0,Lomandra longifolia,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb
90,3,2015-10-20,1,Gap,2,False,In Gap,57,Conyza sumatrensis,0.5,Conyza sumatrensis,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb
91,3,2015-10-20,1,Gap,2,False,In Gap,58,Daucus glochidiatus,1.0,Daucus glochidiatus,Daucus glochidiatus,Australian Carrot,Apiaceae,Dicotyledons,Medium Forb/Herb
92,3,2015-10-20,1,Gap,2,False,In Gap,59,Dichondra repens,3.0,Dichondra repens,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
93,3,2015-10-20,1,Gap,2,False,In Gap,60,Hypochaeris spp,1.0,Hypochoeris glabra,Hypochoeris glabra,Smooth Cat's-ear,Asteraceae,Dicotyledons,Medium Forb/Herb
94,3,2015-10-20,1,Gap,2,False,In Gap,62,Luzula meridionalis,1.0,Luzula meridionalis,Luzula meridionalis,Common Woodrush,Juncaceae,Monocotyledons,Small Tufted grass/sedge
95,3,2015-10-20,1,Gap,2,False,In Gap,63,Microlaena stipoides,1.0,Microlaena stipoides,,,,,
96,3,2015-10-20,1,Gap,2,False,In Gap,64,Pteridium esculentum,1.0,Pteridium esculentum,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern
97,6,2019-10-22,1,Gap,3,False,,11002,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb
98,6,2019-10-22,1,Gap,3,False,,11008,Poa labillardieri,0.5,Poa labillardierei,Poa labillardierei,Common Tussock-grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge
99,6,2019-10-22,1,Gap,3,False,,11007,Oxalis (native),0.5,Oxalis bowiei,Oxalis bowiei,Bowie Wood-sorrel,Oxalidaceae,Dicotyledons,Medium Forb/Herb
100,6,2019-10-22,1,Gap,3,False,,11006,Lomandra longifolia,6.0,Lomandra longifolia,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb
101,6,2019-10-22,1,Gap,3,False,,11005,Imperata cylindrica,0.5,Imperata cylindrica,Imperata cylindrica,Blady Grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge
102,6,2019-10-22,1,Gap,3,False,,11004,Hypochaeris radicata,0.5,Hypochoeris radicata,Hypochoeris radicata,Flatweed,Asteraceae,Dicotyledons,Medium Forb/Herb
103,6,2019-10-22,1,Gap,3,False,,11009,Pteridium esculentum,1.0,Pteridium esculentum,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern
104,6,2019-10-22,1,Gap,3,False,,11014,Stellaria spp.,0.5,Stellaria spp.,,,,,
105,6,2019-10-22,1,Gap,3,False,,11003,Hypericum gramineum,0.5,Hypericum gramineum,Hypericum gramineum,Small St John's Wort,Clusiaceae,Dicotyledons,Medium Forb/Herb
106,6,2019-10-22,1,Gap,3,False,,11010,Rytidosperma caespitosum,1.0,Rytidosperma nivicolum,Rytidosperma nivicolum,Snow Wallaby-grass,Poaceae,Monocotyledons,Small Tufted grass/sedge
107,6,2019-10-22,1,Gap,3,False,,11011,Rytidosperma geniculata,1.0,Rytidosperma nivicolum,Rytidosperma nivicolum,Snow Wallaby-grass,Poaceae,Monocotyledons,Small Tufted grass/sedge
108,6,2019-10-22,1,Gap,3,False,,11012,Senecio pinnatifolius,0.5,Senecio pinnatifolius,Senecio pinnatifolius,Variable Groundsel,Asteraceae,Dicotyledons,Large Forb/Herb
109,6,2019-10-22,1,Gap,3,False,,11000,Euchiton spp,0.5,Euchiton spp,,,,,
110,6,2019-10-22,1,Gap,3,False,,11015,Vulpia sp.,0.5,Vulpia spp.,Vulpia spp.,Fescue,Poaceae,Monocotyledons,Medium Tufted grass/sedge
111,6,2019-10-22,1,Gap,3,False,,11016,Wahlenbergia spp,0.5,Wahlenbergia ceracea,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb
112,6,2019-10-22,1,Gap,3,False,,11013,Senecio tenuiflorus,0.5,Senecio pterophorus,Senecio pterophorus,African Daisy,Asteraceae,Dicotyledons,Large Forb/Herb
113,6,2019-10-22,1,Gap,3,False,,11001,Glycine clandestina,0.5,Glycine clandestina,Glycine clandestina,Twining Glycine,Fabaceae,Dicotyledons,Climber
114,6,2019-10-22,1,Gap,3,False,,10993,Aira spp.,0.5,Aira spp.,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
115,6,2019-10-22,1,Gap,3,False,,10994,Arthropodium strictum,0.5,Arthropodium strictum s.l.,Arthropodium strictum s.l.,Chocolate Lily,Anthericaceae,Monocotyledons,Large Forb/Herb
116,6,2019-10-22,1,Gap,3,False,,10996,Cardamine sp.,0.5,Cardamine sp.,,,,,
117,6,2019-10-22,1,Gap,3,False,,10997,Cotula australis,0.5,Cotula australis,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb
118,6,2019-10-22,1,Gap,3,False,,10998,Crassula sieberiana,1.0,Crassula sieberiana s.l.,Crassula sieberiana s.l.,Sieber Crassula,Crassulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
119,6,2019-10-22,1,Gap,3,False,,10999,Dichondra repens,0.5,Dichondra repens,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
120,6,2019-10-22,1,Gap,3,False,,10995,Briza minor,0.5,Briza minor,Briza minor,Lesser Quaking-grass,Poaceae,Monocotyledons,Small Tufted grass/sedge
121,0,2012-10-24,1,Gap,3,False,In Gap,5829,Poa spp,1.0,Poa fax,Poa fax,Scaly Poa,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
122,0,2012-10-24,1,Gap,3,False,In Gap,5828,Microlaena stipoides,1.0,Microlaena stipoides,,,,,
123,0,2012-10-24,1,Gap,3,False,In Gap,5827,Lomandra longifolia,4.0,Lomandra longifolia,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb
124,0,2012-10-24,1,Gap,3,False,In Gap,5826,Lagenophora spp,0.5,Lagenophora montana,Lagenophora montana,Mountain Bottle-daisy,Asteraceae,Dicotyledons,Medium Forb/Herb
125,0,2012-10-24,1,Gap,3,False,In Gap,5825,Hypochaeris spp,1.0,Hypochoeris glabra,Hypochoeris glabra,Smooth Cat's-ear,Asteraceae,Dicotyledons,Medium Forb/Herb
126,0,2012-10-24,1,Gap,3,False,In Gap,5830,Poranthera microphylla,0.5,Poranthera microphylla s.l.,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb
127,0,2012-10-24,1,Gap,3,False,In Gap,5824,Hypericum gramineum,0.5,Hypericum gramineum,Hypericum gramineum,Small St John's Wort,Clusiaceae,Dicotyledons,Medium Forb/Herb
128,0,2012-10-24,1,Gap,3,False,In Gap,5831,Pteridium esculentum,2.0,Pteridium esculentum,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern
129,0,2012-10-24,1,Gap,3,False,In Gap,5832,Senecio spp,0.5,Senecio spp,,,,,
130,0,2012-10-24,1,Gap,3,False,In Gap,5823,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb
131,0,2012-10-24,1,Gap,3,False,In Gap,5833,Wahlenbergia spp,0.5,Wahlenbergia ceracea,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb
132,0,2012-10-24,1,Gap,3,False,In Gap,5816,Rytidosperma spp.,0.5,Rytidosperma australe,Rytidosperma australe,Southern Sheep-grass,Poaceae,Monocotyledons,Tiny Non-tufted grass/sedge
133,0,2012-10-24,1,Gap,3,False,In Gap,5817,Centaurium erythraea,0.5,Centaurium erythraea,Centaurium erythraea,Common Centaury,Gentianaceae,Dicotyledons,Medium Forb/Herb
134,0,2012-10-24,1,Gap,3,False,In Gap,5818,Conyza sumatrensis,0.5,Conyza sumatrensis,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb
135,0,2012-10-24,1,Gap,3,False,In Gap,5819,Cotula australis,0.5,Cotula australis,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb
136,0,2012-10-24,1,Gap,3,False,In Gap,5822,Glycine clandestina,0.5,Glycine clandestina,Glycine clandestina,Twining Glycine,Fabaceae,Dicotyledons,Climber
137,0,2012-10-24,1,Gap,3,False,In Gap,5815,Aira spp.,0.5,Aira spp.,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
138,0,2012-10-24,1,Gap,3,False,In Gap,5820,Dichondra repens,2.0,Dichondra repens,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
139,0,2012-10-24,1,Gap,3,False,In Gap,5821,Euchiton spp,0.5,Euchiton spp,,,,,
140,3,2015-10-20,1,Gap,3,False,In Gap,92,Poranthera microphylla,1.0,Poranthera microphylla s.l.,Poranthera microphylla s.l.,Small Poranthera,Euphorbiaceae,Dicotyledons,Medium Forb/Herb
141,3,2015-10-20,1,Gap,3,False,In Gap,91,Poa spp,2.0,Poa fax,Poa fax,Scaly Poa,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
142,3,2015-10-20,1,Gap,3,False,In Gap,86,Hypericum gramineum,0.5,Hypericum gramineum,Hypericum gramineum,Small St John's Wort,Clusiaceae,Dicotyledons,Medium Forb/Herb
143,3,2015-10-20,1,Gap,3,False,In Gap,88,Lagenophora spp,1.0,Lagenophora montana,Lagenophora montana,Mountain Bottle-daisy,Asteraceae,Dicotyledons,Medium Forb/Herb
144,3,2015-10-20,1,Gap,3,False,In Gap,93,Pteridium esculentum,1.0,Pteridium esculentum,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern
145,3,2015-10-20,1,Gap,3,False,In Gap,96,Austrostipa spp,1.0,Austrostipa rudis,Austrostipa rudis,Veined Spear-grass,Poaceae,Monocotyledons,Large Tufted grass/sedge
146,3,2015-10-20,1,Gap,3,False,In Gap,89,Lomandra longifolia,5.0,Lomandra longifolia,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb
147,3,2015-10-20,1,Gap,3,False,In Gap,90,Oxalis sp 2.,1.0,Oxalis hirta,Oxalis hirta,Hairy Wood-sorrel,Oxalidaceae,Dicotyledons,Medium Forb/Herb
148,3,2015-10-20,1,Gap,3,False,In Gap,94,Sonchus spp,0.5,Sonchus spp,,,,,
149,3,2015-10-20,1,Gap,3,False,In Gap,95,Rytidosperma spp.,1.0,Rytidosperma australe,Rytidosperma australe,Southern Sheep-grass,Poaceae,Monocotyledons,Tiny Non-tufted grass/sedge
150,3,2015-10-20,1,Gap,3,False,In Gap,85,Hydrocotyle spp,1.0,Hydrocotyle hirta,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb
