Plot_treatment,Plot_number,Quadrat_number,Year_monitoring,Record_ID
Control,4,30,3,15
Control,4,30,6,13
Control,4,31,0,17
Control,4,31,3,14
Control,4,31,6,11
Control,4,32,0,15
Control,4,32,6,9
Control,6,1,0,17
Control,6,1,3,18
Control,6,1,6,12
Control,6,2,0,20
Control,6,2,3,16
Control,6,2,6,14
Control,6,3,0,14
Control,6,3,3,17
Control,6,3,6,16
Control,6,4,0,12
Control,6,4,3,17
Control,6,4,6,17
Control,6,5,0,20
Control,6,5,3,18
Control,6,5,6,22
Control,6,6,0,20
Control,6,6,3,20
Control,6,6,6,16
Control,6,7,0,18
Control,6,7,3,15
Control,6,7,6,22
Control,6,8,0,20
Control,6,8,3,18
Control,6,8,6,29
Control,6,9,0,11
Control,6,9,3,12
Control,6,9,6,15
Control,6,10,0,12
Control,6,10,3,14
Control,6,10,6,15
Control,6,11,0,22
Control,6,11,3,16
Control,6,11,6,14
Control,6,12,0,13
Control,6,12,3,13
Control,6,12,6,13
Control,6,13,0,17
Control,6,13,3,15
Control,6,13,6,10
Control,6,14,0,19
Control,6,14,3,15
Control,6,14,6,11
Control,6,15,0,17
Control,6,15,3,17
Control,6,15,6,16
Control,6,16,0,12
Control,6,16,3,6
Control,6,16,6,8
Control,11,1,0,13
Control,11,1,3,17
Control,11,1,6,14
Control,11,2,0,16
Control,11,2,3,16
Control,11,2,6,15
Control,11,3,0,16
Control,11,3,3,13
Control,11,3,6,16
Control,11,4,0,17
Control,11,4,3,19
Control,11,4,6,19
Control,11,5,0,18
Control,11,5,3,13
Control,11,5,6,13
Control,11,6,0,8
Control,11,6,3,16
Control,11,6,6,20
Control,11,7,0,10
Control,11,7,3,12
Control,11,7,6,15
Control,11,8,0,14
Control,11,8,3,12
Control,11,8,6,15
Control,11,9,0,17
Control,11,9,3,15
Control,11,9,6,17
Control,11,10,0,15
Control,11,10,3,15
Control,11,10,6,13
Control,11,11,0,18
Control,11,11,3,16
Control,11,11,6,22
Control,11,12,0,17
Control,11,12,3,8
Control,11,12,6,14
Control,11,13,0,13
Control,11,13,3,15
Control,11,13,6,22
Control,11,14,0,18
Control,11,14,3,15
Control,11,14,6,13
Control,11,15,0,16
Control,11,15,3,12
Control,11,15,6,21
Control,11,16,0,13
Control,11,16,3,19
Control,11,16,6,17
Control,11,17,0,20
Control,11,17,3,17
Control,11,17,6,19
Control,11,18,0,18
Control,11,18,3,21
Control,11,18,6,19
Control,11,19,0,19
Control,11,19,3,15
Control,11,19,6,11
Control,11,20,0,13
Control,11,20,3,11
Control,11,20,6,13
Control,11,21,0,17
Control,11,21,3,13
Control,11,21,6,10
Control,11,22,0,15
Control,11,22,3,13
Control,11,22,6,13
Control,11,23,0,16
Control,11,23,3,18
Control,11,23,6,12
Control,11,24,0,16
Control,11,24,3,23
Control,11,24,6,15
Control,11,25,0,22
Control,11,25,3,17
Control,11,25,6,16
Control,11,26,0,17
Control,11,26,3,19
Control,11,26,6,14
Control,11,27,0,19
Control,11,27,3,16
Control,11,27,6,11
Control,11,28,0,17
Control,11,28,3,20
Control,11,28,6,17
Control,11,29,0,18
Control,11,29,3,15
Control,11,29,6,17
Control,11,30,0,11
Control,11,30,3,16
Control,11,30,6,18
Control,11,31,0,21
Control,11,31,3,17
Control,11,31,6,14
Control,11,32,0,17
Control,11,32,3,18
Control,11,32,6,13
Gap,1,1,0,12
Gap,1,1,3,17
Gap,1,1,6,18
Gap,1,2,0,15
Gap,1,2,3,13
Gap,1,2,6,19
Gap,1,3,0,19
Gap,1,3,3,17
Gap,1,3,6,23
Gap,1,4,0,11
Gap,1,4,3,21
Gap,1,4,6,14
Gap,1,5,0,16
Gap,1,5,3,13
Gap,1,5,6,16
Gap,1,6,0,17
Gap,1,6,3,13
Gap,1,6,6,12
Gap,1,7,0,11
Gap,1,7,3,10
Gap,1,7,6,15
Gap,1,8,0,13
Gap,1,8,3,19
Gap,1,8,6,19
Gap,1,9,0,13
Gap,1,9,3,19
Gap,1,9,6,25
Gap,1,10,0,16
Gap,1,10,3,17
Gap,1,10,6,22
Gap,1,11,0,11
Gap,1,11,3,17
Gap,1,11,6,14
Gap,1,12,0,10
Gap,1,12,3,9
Gap,1,12,6,19
Gap,1,13,0,15
Gap,1,13,3,11
Gap,1,13,6,17
Gap,1,14,0,11
Gap,1,14,3,8
Gap,1,14,6,9
Gap,1,15,0,19
Gap,1,15,3,18
Gap,1,15,6,22
Gap,1,16,0,11
Gap,1,16,3,17
Gap,1,16,6,17
Gap,8,1,0,25
Gap,8,1,3,13
Gap,8,1,6,12
Gap,8,2,0,11
Gap,8,2,3,12
Gap,8,2,6,12
Gap,8,3,0,20
Gap,8,3,3,23
Gap,8,3,6,15
Gap,8,4,0,18
Gap,8,4,3,9
Gap,8,4,6,13
Gap,8,5,0,18
Gap,8,5,3,17
Gap,8,5,6,20
Gap,8,6,0,15
Gap,8,6,3,13
Gap,8,6,6,15
Gap,8,7,0,21
Gap,8,7,3,13
Gap,8,7,6,15
Gap,8,8,0,17
Gap,8,8,3,13
Gap,8,8,6,8
Gap,8,9,0,21
Gap,8,9,3,19
Gap,8,9,6,4
Gap,8,10,0,18
Gap,8,10,3,12
Gap,8,10,6,9
Gap,8,11,0,17
Gap,8,11,3,13
Gap,8,11,6,10
Gap,8,12,0,17
Gap,8,12,3,17
Gap,8,12,6,23
Gap,8,13,0,9
Gap,8,13,3,17
Gap,8,13,6,13
Gap,8,14,0,26
Gap,8,14,3,16
Gap,8,14,6,14
Gap,8,15,0,16
Gap,8,15,3,20
Gap,8,15,6,18
Gap,8,16,0,15
Gap,8,16,3,16
Gap,8,16,6,10
Gap,10,1,0,11
Gap,10,1,3,16
Gap,10,1,6,14
Gap,10,2,0,17
Gap,10,2,3,10
Gap,10,2,6,5
Gap,10,3,0,8
Gap,10,3,3,17
Gap,10,3,6,12
Gap,10,4,0,12
Gap,10,4,3,18
Gap,10,4,6,8
Gap,10,5,0,11
Gap,10,5,3,14
Gap,10,5,6,9
Gap,10,6,0,14
Gap,10,6,3,17
Gap,10,6,6,18
Gap,10,7,0,15
Gap,10,7,3,25
Gap,10,7,6,10
Gap,10,8,0,13
Gap,10,8,3,18
Gap,10,8,6,15
Gap,10,9,0,6
Gap,10,9,3,10
Gap,10,9,6,9
Gap,10,10,0,11
Gap,10,10,3,10
Gap,10,10,6,13
Gap,10,11,0,13
Gap,10,11,3,16
Gap,10,11,6,17
Gap,10,12,0,8
Gap,10,12,3,23
Gap,10,12,6,7
Gap,10,13,0,8
Gap,10,13,3,9
Gap,10,13,6,11
Gap,10,14,0,3
Gap,10,14,3,11
Gap,10,14,6,12
Gap,10,15,0,11
Gap,10,15,3,10
Gap,10,15,6,13
Gap,10,16,0,11
Gap,10,16,3,11
Gap,10,16,6,11
Gap,10,17,0,11
Gap,10,17,6,14
Gap,10,18,0,16
Gap,10,18,3,13
Gap,10,18,6,10
Gap,10,19,0,3
Gap,10,19,3,4
Gap,10,19,6,4
Gap,10,20,0,13
Gap,10,20,3,16
Gap,10,20,6,10
Gap,10,21,0,5
Gap,10,21,3,10
Gap,10,21,6,3
Gap,10,22,0,5
Gap,10,22,3,12
Gap,10,22,6,5
Gap,10,23,0,5
Gap,10,23,3,4
Gap,10,23,6,4
Gap,10,24,0,11
Gap,10,24,3,12
Gap,10,24,6,6
Gap,10,25,0,6
Gap,10,25,3,7
Gap,10,25,6,4
Gap,10,26,0,6
Gap,10,26,3,8
Gap,10,26,6,4
Gap,10,27,0,6
Gap,10,27,3,8
Gap,10,27,6,4
Gap,10,28,0,12
Gap,10,28,3,8
Gap,10,28,6,12
Gap,10,29,0,7
Gap,10,29,3,8
Gap,10,29,6,5
Gap,10,30,0,8
Gap,10,30,3,9
Gap,10,30,6,5
Gap,10,31,0,12
Gap,10,31,3,26
Gap,10,31,6,12
Gap,10,32,0,8
Gap,10,32,3,11
Gap,10,32,6,17
Gap,12,1,0,16
Gap,12,1,3,16
Gap,12,1,6,10
Gap,12,2,0,14
Gap,12,2,3,13
Gap,12,2,6,10
Gap,12,3,0,16
Gap,12,3,3,22
Gap,12,3,6,10
Gap,12,4,0,16
Gap,12,4,3,16
Gap,12,4,6,10
Gap,12,5,0,8
Gap,12,5,3,17
Gap,12,5,6,11
Gap,12,6,0,12
Gap,12,6,3,21
Gap,12,6,6,16
Gap,12,7,0,13
Gap,12,7,3,20
Gap,12,7,6,12
Gap,12,8,0,13
Gap,12,8,3,12
Gap,12,8,6,9
Gap,12,9,0,9
Gap,12,9,3,22
Gap,12,9,6,13
Gap,12,10,0,12
Gap,12,10,3,14
Gap,12,10,6,16
Gap,12,11,0,7
Gap,12,11,3,11
Gap,12,11,6,4
Gap,12,12,0,15
Gap,12,12,3,15
Gap,12,12,6,9
Gap,12,13,0,13
Gap,12,13,3,15
Gap,12,13,6,8
Gap,12,14,0,8
Gap,12,14,3,11
Gap,12,14,6,5
Gap,12,15,0,13
Gap,12,15,3,17
Gap,12,15,6,9
Gap,12,16,0,14
Gap,12,16,3,14
Gap,12,16,6,5
Gap,12,17,0,15
Gap,12,17,3,12
Gap,12,17,6,19
Gap,12,18,0,14
Gap,12,18,3,17
Gap,12,18,6,9
Gap,12,19,0,12
Gap,12,19,3,20
Gap,12,19,6,18
Gap,12,20,0,7
Gap,12,20,3,19
Gap,12,20,6,8
Gap,12,21,0,13
Gap,12,21,3,22
Gap,12,21,6,14
Gap,12,22,0,15
Gap,12,22,3,17
Gap,12,22,6,11
Gap,12,23,0,3
Gap,12,23,3,10
Gap,12,23,6,6
Gap,12,24,0,12
Gap,12,24,3,15
Gap,12,24,6,14
Gap,12,25,0,10
Gap,12,25,3,13
Gap,12,25,6,4
Gap,12,26,0,13
Gap,12,26,3,23
Gap,12,26,6,8
Gap,12,27,0,6
Gap,12,27,3,12
Gap,12,27,6,8
Gap,12,28,0,16
Gap,12,28,3,16
Gap,12,28,6,9
Gap,12,29,0,17
Gap,12,29,3,15
Gap,12,29,6,13
Gap,12,30,0,15
Gap,12,30,3,15
Gap,12,30,6,12
Gap,12,31,0,9
Gap,12,31,3,14
Gap,12,31,6,8
Gap,12,32,0,11
Gap,12,32,3,10
Gap,12,32,6,5
Radial,3,1,0,16
Radial,3,1,6,10
Radial,3,2,0,14
Radial,3,2,6,13
Radial,3,3,0,16
Radial,3,3,6,14
Radial,3,4,0,15
Radial,3,4,6,14
Radial,3,5,0,17
Radial,3,5,6,10
Radial,3,6,0,21
Radial,3,6,6,16
Radial,3,7,0,15
Radial,3,7,6,11
Radial,3,8,0,12
Radial,3,8,6,13
Radial,3,9,0,18
Radial,3,9,6,11
Radial,3,10,0,15
Radial,3,10,6,16
Radial,3,11,0,10
Radial,3,11,6,10
Radial,3,12,0,15
Radial,3,12,6,13
Radial,3,13,0,14
Radial,3,13,6,9
Radial,3,14,0,10
Radial,3,14,6,12
Radial,3,15,0,11
Radial,3,15,6,13
Radial,3,16,0,11
Radial,3,16,6,13
Radial,5,1,0,17
Radial,5,1,3,13
Radial,5,1,6,17
Radial,5,2,0,17
Radial,5,2,3,11
Radial,5,2,6,20
Radial,5,3,0,20
Radial,5,3,3,15
Radial,5,3,6,19
Radial,5,4,0,18
Radial,5,4,3,14
Radial,5,4,6,15
Radial,5,5,0,15
Radial,5,5,3,13
Radial,5,5,6,17
Radial,5,6,0,10
Radial,5,6,3,6
Radial,5,6,6,17
Radial,5,7,0,13
Radial,5,7,3,10
Radial,5,7,6,13
Radial,5,8,0,22
Radial,5,8,3,15
Radial,5,8,6,11
Radial,5,9,0,16
Radial,5,9,3,15
Radial,5,9,6,13
Radial,5,10,0,25
Radial,5,10,3,19
Radial,5,10,6,19
Radial,5,11,0,20
Radial,5,11,3,13
Radial,5,11,6,19
Radial,5,12,0,13
Radial,5,12,3,4
Radial,5,13,0,17
Radial,5,13,3,10
Radial,5,13,6,14
Radial,5,14,0,18
Radial,5,14,3,12
Radial,5,14,6,15
Radial,5,15,0,6
Radial,5,15,3,11
Radial,5,15,6,14
Radial,5,16,0,14
Radial,5,16,3,12
Radial,5,16,6,13
Radial,7,1,0,13
Radial,7,1,3,13
Radial,7,1,6,14
Radial,7,2,0,9
Radial,7,2,3,4
Radial,7,2,6,16
Radial,7,3,0,6
Radial,7,3,3,10
Radial,7,3,6,6
Radial,7,4,0,8
Radial,7,4,3,12
Radial,7,4,6,8
Radial,7,5,0,10
Radial,7,5,3,9
Radial,7,5,6,10
Radial,7,6,0,15
Radial,7,6,3,15
Radial,7,6,6,10
Radial,7,7,0,8
Radial,7,7,3,19
Radial,7,7,6,11
Radial,7,8,0,7
Radial,7,8,3,12
Radial,7,8,6,10
Radial,7,9,0,9
Radial,7,9,3,13
Radial,7,9,6,10
Radial,7,10,0,12
Radial,7,10,3,18
Radial,7,10,6,12
Radial,7,11,0,13
Radial,7,11,3,10
Radial,7,11,6,6
Radial,7,12,0,10
Radial,7,12,3,12
Radial,7,12,6,7
Radial,7,13,0,10
Radial,7,13,3,17
Radial,7,13,6,7
Radial,7,14,0,13
Radial,7,14,3,18
Radial,7,14,6,7
Radial,7,15,0,15
Radial,7,15,3,12
Radial,7,15,6,13
Radial,7,16,0,15
Radial,7,16,3,11
Radial,7,16,6,11
Radial,7,17,0,12
Radial,7,17,3,13
Radial,7,17,6,9
Radial,7,18,0,13
Radial,7,18,3,18
Radial,7,18,6,15
Radial,7,19,0,5
Radial,7,19,3,9
Radial,7,19,6,10
Radial,7,20,0,10
Radial,7,20,3,10
Radial,7,20,6,12
Radial,7,21,0,12
Radial,7,21,3,18
Radial,7,21,6,8
Radial,7,22,0,11
Radial,7,22,3,8
Radial,7,22,6,6
Radial,7,23,0,11
Radial,7,23,3,15
Radial,7,23,6,12
Radial,7,24,0,7
Radial,7,24,3,11
Radial,7,24,6,8
Radial,7,25,0,13
Radial,7,25,3,11
Radial,7,25,6,11
Radial,7,26,0,17
Radial,7,26,3,10
Radial,7,26,6,11
Radial,7,27,0,16
Radial,7,27,3,9
Radial,7,27,6,10
Radial,7,28,0,12
Radial,7,28,3,17
Radial,7,28,6,7
Radial,7,29,0,10
Radial,7,29,3,10
Radial,7,29,6,8
Radial,7,30,0,15
Radial,7,30,3,15
Radial,7,30,6,14
Radial,7,31,0,11
Radial,7,31,3,14
Radial,7,31,6,7
Radial,7,32,0,17
Radial,7,32,3,14
Radial,7,32,6,9
Radial,9,1,0,23
Radial,9,1,3,14
Radial,9,1,6,7
Radial,9,2,0,12
Radial,9,2,3,20
Radial,9,2,6,6
Radial,9,3,0,14
Radial,9,3,3,21
Radial,9,3,6,13
Radial,9,4,0,14
Radial,9,4,3,13
Radial,9,4,6,11
Radial,9,5,0,12
Radial,9,5,3,14
Radial,9,5,6,7
Radial,9,6,0,18
Radial,9,6,3,12
Radial,9,6,6,9
Radial,9,7,0,11
Radial,9,7,3,14
Radial,9,7,6,7
Radial,9,8,0,14
Radial,9,8,3,12
Radial,9,8,6,6
Radial,9,9,0,18
Radial,9,9,3,16
Radial,9,9,6,7
Radial,9,10,0,15
Radial,9,10,3,15
Radial,9,10,6,8
Radial,9,11,0,7
Radial,9,11,3,15
Radial,9,11,6,6
Radial,9,12,0,12
Radial,9,12,3,11
Radial,9,12,6,15
Radial,9,13,0,9
Radial,9,13,3,6
Radial,9,13,6,4
Radial,9,14,0,11
Radial,9,14,3,15
Radial,9,14,6,17
Radial,9,15,0,11
Radial,9,15,3,8
Radial,9,15,6,4
Radial,9,16,0,15
Radial,9,16,3,15
Radial,9,16,6,11
Radial,9,17,0,15
Radial,9,17,3,14
Radial,9,17,6,10
Radial,9,18,0,8
Radial,9,18,3,17
Radial,9,18,6,10
Radial,9,19,0,15
Radial,9,19,3,16
Radial,9,19,6,13
Radial,9,20,0,10
Radial,9,20,3,22
Radial,9,20,6,11
Radial,9,21,0,17
Radial,9,21,3,13
Radial,9,21,6,10
Radial,9,22,0,13
Radial,9,22,3,16
Radial,9,22,6,11
Radial,9,23,0,20
Radial,9,23,3,20
Radial,9,23,6,15
Radial,9,24,0,18
Radial,9,24,3,22
Radial,9,24,6,5
Radial,9,25,0,13
Radial,9,25,3,15
Radial,9,25,6,12
Radial,9,26,0,19
Radial,9,26,3,18
Radial,9,26,6,9
Radial,9,27,0,18
Radial,9,27,3,17
Radial,9,27,6,9
Radial,9,28,0,15
Radial,9,28,3,16
Radial,9,28,6,12
Radial,9,29,0,18
Radial,9,29,3,12
Radial,9,29,6,9
Radial,9,30,0,19
Radial,9,30,3,7
Radial,9,30,6,7
Radial,9,31,0,19
Radial,9,31,3,10
Radial,9,31,6,9
Radial,9,32,0,12
Radial,9,32,3,21
Radial,9,32,6,8
