Plot_treatment,Plot_number,Quadrat_number,Year_monitoring,Scientific Name,Score
Control,2,3,6,Hypochoeris glabra,[0.5]
Control,2,3,6,Lagenophora gracilis,[0.5]
Control,2,3,6,Lomandra longifolia,[6.0]
Control,2,3,6,Microlaena stipoides var. stipoides,[1.0]
Control,2,3,6,Oxalis perennans,[0.5]
Control,2,3,6,Rytidosperma nivicolum,[1.0]
Control,2,3,6,Senecio quadridentatus,[0.5]
Control,2,3,6,Stellaria flaccida,[0.5]
Control,2,4,0,Arthropodium minus,[0.5]
Control,2,4,0,Briza minor,[1.0]
Control,2,4,0,Centaurium erythraea,[0.5]
Control,2,4,0,Conyza sumatrensis,[0.5]
Control,2,4,0,Dichondra repens,[2.0]
Control,2,4,0,Glycine clandestina,[0.5]
Control,2,4,0,Hydrocotyle laxiflora,[0.5]
Control,2,4,0,Hypericum gramineum,[0.5]
Control,2,4,0,Hypochoeris radicata,[0.5]
Control,2,4,0,Imperata cylindrica,[0.5]
Control,2,4,0,Lomandra longifolia,[4.0]
Control,2,4,0,Microlaena stipoides var. stipoides,[1.0]
Control,2,4,0,Poa sieberiana,[1.0]
Control,2,4,0,Poranthera microphylla s.l.,[0.5]
Control,2,4,0,Rytidosperma nivicolum,[1.0]
Control,2,4,0,Senecio quadridentatus,[0.5]
Control,2,4,0,Wahlenbergia gracilis,[0.5]
Control,2,4,3,Aira spp.,[1.0]
Control,2,4,3,Centaurium erythraea,[2.0]
Control,2,4,3,Conyza sumatrensis,[1.0]
Control,2,4,3,Daucus glochidiatus,[1.0]
Control,2,4,3,Glycine clandestina,[1.0]
Control,2,4,3,Hydrocotyle laxiflora,[0.5]
Control,2,4,3,Hypericum gramineum,[0.5]
Control,2,4,3,Hypochoeris radicata,[1.0]
Control,2,4,3,Imperata cylindrica,[0.5]
Control,2,4,3,Lagenophora gracilis,[0.5]
Control,2,4,3,Lomandra longifolia,[3.0]
Control,2,4,3,Microlaena stipoides var. stipoides,[2.0]
Control,2,4,3,Poa sieberiana,[2.0]
Control,2,4,3,Poranthera microphylla s.l.,[0.5]
Control,2,4,3,Senecio quadridentatus,[0.5]
Control,2,4,3,Tricoryne elatior,[0.5]
Control,2,4,6,Aira spp.,[0.5]
Control,2,4,6,Crassula sieberiana s.l.,[1.0]
Control,2,4,6,Daucus glochidiatus,[0.5]
Control,2,4,6,Dichondra repens,[0.5]
Control,2,4,6,Euchiton involucratus s.l.,[0.5]
Control,2,4,6,Glycine clandestina,[0.5]
Control,2,4,6,Hydrocotyle laxiflora,[0.5]
Control,2,4,6,Hypochoeris radicata,[0.5]
Control,2,4,6,Lagenophora gracilis,[1.0]
Control,2,4,6,Lomandra longifolia,[5.0]
Control,2,4,6,Microlaena stipoides var. stipoides,[1.0]
Control,2,4,6,Rytidosperma nivicolum,[0.5]
Control,2,4,6,Senecio quadridentatus,[0.5]
Control,2,5,0,Anagallis arvensis,[0.5]
Control,2,5,0,Briza minor,[0.5]
Control,2,5,0,Cotula australis,[0.5]
Control,2,5,0,Crassula sieberiana s.l.,[0.5]
Control,2,5,0,Hydrocotyle laxiflora,[0.5]
Control,2,5,0,Hypochoeris radicata,[0.5]
Control,2,5,0,Lomandra longifolia,[5.0]
Control,2,5,0,Microlaena stipoides var. stipoides,[3.0]
Control,2,5,0,Poranthera microphylla s.l.,[0.5]
Control,2,5,0,Rytidosperma nivicolum,[4.0]
Control,2,5,0,Senecio quadridentatus,[0.5]
Control,2,5,0,Stellaria flaccida,[0.5]
Control,2,5,3,Aira spp.,[1.0]
Control,2,5,3,Anagallis arvensis,[0.5]
Control,2,5,3,Briza minor,[0.5]
Control,2,5,3,Cotula australis,[0.5]
Control,2,5,3,Crassula sieberiana s.l.,[0.5]
Control,2,5,3,Cymbonotus preissianus,[0.5]
Control,2,5,3,Daucus glochidiatus,[0.5]
Control,2,5,3,Dichondra repens,[0.5]
Control,2,5,3,Glycine clandestina,[0.5]
Control,2,5,3,Hydrocotyle laxiflora,[0.5]
Control,2,5,3,Hypochoeris radicata,[1.0]
Control,2,5,3,Lomandra longifolia,[4.0]
Control,2,5,3,Microlaena stipoides var. stipoides,[1.0]
Control,2,5,3,Poranthera microphylla s.l.,[0.5]
Control,2,5,3,Rytidosperma nivicolum,[1.0]
Control,2,5,3,Senecio quadridentatus,[1.0]
Control,2,5,6,Aira spp.,[1.0]
Control,2,5,6,Anagallis arvensis,[0.5]
Control,2,5,6,Cotula australis,[0.5]
Control,2,5,6,Crassula sieberiana s.l.,[0.5]
Control,2,5,6,Dichondra repens,[0.5]
Control,2,5,6,Euchiton involucratus s.l.,[0.5]
Control,2,5,6,Hydrocotyle laxiflora,[1.0]
Control,2,5,6,Hypochoeris glabra,[0.5]
Control,2,5,6,Lomandra longifolia,[6.0]
Control,2,5,6,Microlaena stipoides var. stipoides,[0.5]
Control,2,5,6,Rytidosperma nivicolum,[0.5]
Control,2,5,6,Senecio quadridentatus,[1.0]
Control,2,6,0,Aira spp.,[0.5]
Control,2,6,0,Anagallis arvensis,[0.5]
Control,2,6,0,Arthropodium minus,[0.5]
Control,2,6,0,Bauera spp.,[0.5]
Control,2,6,0,Centaurium erythraea,[0.5]
Control,2,6,0,Conyza sumatrensis,[0.5]
Control,2,6,0,Corybas incurvus,[0.5]
Control,2,6,0,Crassula sieberiana s.l.,[0.5]
Control,2,6,0,Cymbonotus preissianus,[0.5]
Control,2,6,0,Dichondra repens,[6.0]
Control,2,6,0,Glycine clandestina,[0.5]
Control,2,6,0,Hydrocotyle laxiflora,[0.5]
Control,2,6,0,Hypericum gramineum,[0.5]
Control,2,6,0,Hypochoeris radicata,[0.5]
Control,2,6,0,Lagenophora gracilis,[0.5]
Control,2,6,0,Microlaena stipoides var. stipoides,[3.0]
Control,2,6,0,Poa sieberiana,[0.5]
Control,2,6,0,Poranthera microphylla s.l.,[0.5]
Control,2,6,0,Rytidosperma nivicolum,[1.0]
Control,2,6,0,Senecio quadridentatus,[1.0]
Control,2,6,0,Sonchus oleraceus,[0.5]
Control,2,6,0,Tricoryne elatior,[0.5]
Control,2,6,3,Centaurium erythraea,[2.0]
Control,2,6,3,Dichondra repens,[2.0]
Control,2,6,3,Hydrocotyle laxiflora,[0.5]
Control,2,6,3,Hypochoeris radicata,[1.0]
Control,2,6,3,Lagenophora gracilis,[1.0]
Control,2,6,3,Lomandra longifolia,[7.0]
Control,2,6,3,Microlaena stipoides var. stipoides,[2.0]
Control,2,6,3,Oxalis hirta,[1.0]
Control,2,6,3,Poa sieberiana,[0.5]
Control,2,6,3,Poranthera microphylla s.l.,[0.5]
Control,2,6,3,Rytidosperma nivicolum,[0.5]
Control,2,6,3,Senecio quadridentatus,[0.5]
Control,2,6,3,Tricoryne elatior,[0.5]
Control,2,6,6,Aira spp.,[1.0]
Control,2,6,6,Anagallis arvensis,[0.5]
Control,2,6,6,Austrostipa scabra,[0.5]
Control,2,6,6,Briza minor,[0.5]
Control,2,6,6,Cerastium glomeratum s.l.,[0.5]
Control,2,6,6,Cotula australis,[1.0]
Control,2,6,6,Crassula sieberiana s.l.,[1.0]
Control,2,6,6,Desmodium gunnii,[0.5]
Control,2,6,6,Dichondra repens,[0.5]
Control,2,6,6,Euchiton involucratus s.l.,[0.5]
Control,2,6,6,Geranium sp. 1,[0.5]
Control,2,6,6,Glycine clandestina,[0.5]
Control,2,6,6,Gnaphalium indutum,[0.5]
Control,2,6,6,Hydrocotyle foveolata,[0.5]
Control,2,6,6,Hypochoeris glabra,[1.0]
Control,2,6,6,Lagenophora gracilis,[0.5]
Control,2,6,6,Lomandra longifolia,[7.0]
Control,2,6,6,Microlaena stipoides var. stipoides,[1.0]
Control,2,6,6,Oxalis corniculata s.s.,[0.5]
Control,2,6,6,Poranthera microphylla s.l.,[0.5]
Control,2,6,6,Rytidosperma nivicolum,"[0.5, 0.5]"
Control,2,6,6,Schoenus apogon,[0.5]
Control,2,6,6,Senecio quadridentatus,[0.5]
Control,2,6,6,Stellaria flaccida,[0.5]
Control,2,7,0,Aira spp.,[0.5]
Control,2,7,0,Anagallis arvensis,[0.5]
Control,2,7,0,Briza minor,[0.5]
Control,2,7,0,Centaurium erythraea,[0.5]
Control,2,7,0,Conyza sumatrensis,[2.0]
Control,2,7,0,Corybas incurvus,[0.5]
Control,2,7,0,Cotula australis,[0.5]
Control,2,7,0,Crassula sieberiana s.l.,[0.5]
Control,2,7,0,Geranium sp. 1,[0.5]
Control,2,7,0,Glycine clandestina,[0.5]
Control,2,7,0,Hydrocotyle laxiflora,[0.5]
Control,2,7,0,Lagenophora gracilis,[0.5]
Control,2,7,0,Lomandra longifolia,[7.0]
Control,2,7,0,Luzula meridionalis,[0.5]
Control,2,7,0,Microlaena stipoides var. stipoides,[2.0]
Control,2,7,0,Poranthera microphylla s.l.,[1.0]
Control,2,7,0,Rytidosperma nivicolum,[1.0]
Control,2,7,0,Senecio quadridentatus,[0.5]
Control,2,7,0,Sonchus oleraceus,[0.5]
Control,2,7,0,Wahlenbergia gracilis,[0.5]
Control,2,7,3,Aira spp.,[1.0]
Control,2,7,3,Anagallis arvensis,[0.5]
Control,2,7,3,Centaurium erythraea,[2.0]
Control,2,7,3,Conyza sumatrensis,[1.0]
Control,2,7,3,Dichondra repens,[1.0]
Control,2,7,3,Geranium solanderi s.l.,[1.0]
Control,2,7,3,Glycine clandestina,[1.0]
Control,2,7,3,Hydrocotyle laxiflora,[0.5]
Control,2,7,3,Hypericum gramineum,[0.5]
Control,2,7,3,Hypochoeris radicata,[1.0]
Control,2,7,3,Imperata cylindrica,[1.0]
Control,2,7,3,Lagenophora gracilis,[1.0]
Control,2,7,3,Lomandra longifolia,[6.0]
Control,2,7,3,Microlaena stipoides var. stipoides,[1.0]
Control,2,7,3,Poranthera microphylla s.l.,[1.0]
Control,2,7,3,Senecio quadridentatus,[0.5]
Control,2,7,3,Sonchus oleraceus,[1.0]
Control,2,7,6,Aira spp.,[1.0]
Control,2,7,6,Anagallis arvensis,[0.5]
Control,2,7,6,Arthropodium minus,[0.5]
Control,2,7,6,Carex breviculmis,[0.5]
Control,2,7,6,Cotula australis,[0.5]
Control,2,7,6,Crassula sieberiana s.l.,[0.5]
Control,2,7,6,Desmodium gunnii,[0.5]
Control,2,7,6,Euchiton involucratus s.l.,[0.5]
Control,2,7,6,Geranium sp. 1,[0.5]
Control,2,7,6,Hydrocotyle laxiflora,[0.5]
Control,2,7,6,Hypochoeris glabra,[0.5]
Control,2,7,6,Imperata cylindrica,[0.5]
Control,2,7,6,Lagenophora gracilis,[1.0]
Control,2,7,6,Laxmannia gracilis,[0.5]
Control,2,7,6,Lomandra longifolia,[7.0]
Control,2,7,6,Microlaena stipoides var. stipoides,[1.0]
Control,2,7,6,Poranthera microphylla s.l.,[0.5]
Control,2,7,6,Rytidosperma nivicolum,[0.5]
Control,2,7,6,Schoenus apogon,[0.5]
Control,2,7,6,Senecio quadridentatus,[0.5]
Control,2,7,6,Stellaria flaccida,[0.5]
Control,2,8,0,Aira spp.,[0.5]
Control,2,8,0,Centaurium erythraea,[0.5]
Control,2,8,0,Cheilanthes austrotenuifolia,[0.5]
Control,2,8,0,Cotula australis,[0.5]
Control,2,8,0,Crassula sieberiana s.l.,[0.5]
Control,2,8,0,Dichondra repens,[0.5]
Control,2,8,0,Gnaphalium indutum,[0.5]
Control,2,8,0,Hydrocotyle laxiflora,[0.5]
Control,2,8,0,Hypochoeris radicata,[0.5]
Control,2,8,0,Lagenophora gracilis,[1.0]
Control,2,8,0,Laxmannia gracilis,[0.5]
Control,2,8,0,Lomandra longifolia,[6.0]
Control,2,8,0,Microlaena stipoides var. stipoides,[1.0]
Control,2,8,0,Poranthera microphylla s.l.,[0.5]
Control,2,8,0,Rytidosperma nivicolum,[0.5]
Control,2,8,0,Senecio quadridentatus,[0.5]
Control,2,8,0,Wahlenbergia gracilis,[0.5]
Control,2,8,3,Aira spp.,[1.0]
Control,2,8,3,Centaurium erythraea,[0.5]
Control,2,8,3,Cheilanthes austrotenuifolia,[1.0]
Control,2,8,3,Dichondra repens,[1.0]
Control,2,8,3,Hydrocotyle laxiflora,[0.5]
Control,2,8,3,Hypochoeris radicata,[2.0]
Control,2,8,3,Imperata cylindrica,[0.5]
Control,2,8,3,Lagenophora gracilis,[0.5]
Control,2,8,3,Lomandra longifolia,[7.0]
Control,2,8,3,Microlaena stipoides var. stipoides,[1.0]
Control,2,8,3,Rytidosperma nivicolum,[0.5]
Control,2,8,3,Senecio quadridentatus,[1.0]
Control,2,8,6,Aira spp.,[1.0]
Control,2,8,6,Arthropodium minus,[0.5]
Control,2,8,6,Cheilanthes austrotenuifolia,[0.5]
Control,2,8,6,Cotula australis,[0.5]
Control,2,8,6,Crassula sieberiana s.l.,[1.0]
Control,2,8,6,Dichondra repens,[0.5]
Control,2,8,6,Euchiton involucratus s.l.,[0.5]
Control,2,8,6,Hydrocotyle foveolata,[0.5]
Control,2,8,6,Hypochoeris glabra,[0.5]
Control,2,8,6,Imperata cylindrica,[0.5]
Control,2,8,6,Lagenophora gracilis,[0.5]
Control,2,8,6,Lomandra longifolia,[7.0]
Control,2,8,6,Microlaena stipoides var. stipoides,[1.0]
Control,2,8,6,Senecio quadridentatus,[0.5]
Control,2,9,0,Arthropodium minus,[0.5]
Control,2,9,0,Centaurium erythraea,[0.5]
Control,2,9,0,Conyza sumatrensis,[2.0]
Control,2,9,0,Cotula australis,[0.5]
Control,2,9,0,Dichondra repens,[2.0]
Control,2,9,0,Glycine clandestina,[0.5]
Control,2,9,0,Hydrocotyle laxiflora,[1.0]
Control,2,9,0,Lagenophora gracilis,[0.5]
Control,2,9,0,Lomandra longifolia,[6.0]
Control,2,9,0,Microlaena stipoides var. stipoides,[3.0]
Control,2,9,0,Oxalis corniculata s.s.,[0.5]
Control,2,9,0,Rytidosperma nivicolum,[3.0]
Control,2,9,0,Wahlenbergia gracilis,[0.5]
Control,2,9,3,Aira spp.,[0.5]
Control,2,9,3,Centaurium erythraea,[0.5]
Control,2,9,3,Poa sieberiana,[0.5]
Control,2,9,3,Rytidosperma nivicolum,[0.5]
Control,2,9,3,Senecio quadridentatus,[1.0]
Control,2,9,3,Sonchus oleraceus,[0.5]
Control,2,9,6,Anagallis arvensis,[0.5]
Control,2,9,6,Cerastium glomeratum s.l.,[0.5]
Control,2,9,6,Cotula australis,[0.5]
Control,2,9,6,Crassula sieberiana s.l.,[0.5]
Control,2,9,6,Euchiton involucratus s.l.,[0.5]
Control,2,9,6,Glycine clandestina,[0.5]
Control,2,9,6,Hydrocotyle laxiflora,[0.5]
Control,2,9,6,Hypochoeris glabra,[0.5]
Control,2,9,6,Imperata cylindrica,[0.5]
Control,2,9,6,Lagenophora gracilis,[0.5]
Control,2,9,6,Lomandra longifolia,[7.0]
Control,2,9,6,Microlaena stipoides var. stipoides,[0.5]
Control,2,9,6,Rytidosperma nivicolum,"[0.5, 0.5]"
Control,2,9,6,Senecio quadridentatus,[0.5]
Control,2,9,6,Stellaria flaccida,[0.5]
Control,2,10,0,Aira spp.,[0.5]
Control,2,10,0,Arthropodium minus,[0.5]
Control,2,10,0,Centaurium erythraea,[0.5]
Control,2,10,0,Conyza sumatrensis,[0.5]
Control,2,10,0,Cotula australis,[0.5]
Control,2,10,0,Crassula sieberiana s.l.,[0.5]
Control,2,10,0,Cymbonotus preissianus,[0.5]
Control,2,10,0,Dichondra repens,[0.5]
Control,2,10,0,Dipodium punctatum s.l.,[0.5]
Control,2,10,0,Einadia nutans subsp. nutans,[0.5]
Control,2,10,0,Gnaphalium indutum,[0.5]
Control,2,10,0,Hydrocotyle laxiflora,[0.5]
Control,2,10,0,Hypochoeris radicata,[0.5]
Control,2,10,0,Lomandra longifolia,[5.0]
Control,2,10,0,Microlaena stipoides var. stipoides,[1.0]
Control,2,10,0,Poranthera microphylla s.l.,[0.5]
Control,2,10,0,Rytidosperma nivicolum,[1.0]
Control,2,10,0,Senecio quadridentatus,[0.5]
Control,2,10,0,Wahlenbergia gracilis,[0.5]
Control,2,10,3,Centaurium erythraea,[1.0]
Control,2,10,3,Cotula australis,[0.5]
Control,2,10,3,Dichondra repens,[1.0]
Control,2,10,3,Dipodium punctatum s.l.,[0.5]
Control,2,10,3,Einadia nutans subsp. nutans,[1.0]
Control,2,10,3,Hydrocotyle laxiflora,[1.0]
Control,2,10,3,Hypochoeris radicata,[1.0]
Control,2,10,3,Lomandra filiformis,[1.0]
Control,2,10,3,Lomandra longifolia,[5.0]
Control,2,10,3,Microlaena stipoides var. stipoides,[1.0]
Control,2,10,3,Poa sieberiana,[1.0]
Control,2,10,3,Rytidosperma nivicolum,[0.5]
Control,2,10,3,Scutellaria humilis,[0.5]
Control,2,10,3,Senecio quadridentatus,[1.0]
Control,2,10,3,Sonchus oleraceus,[0.5]
Control,2,10,6,Anagallis arvensis,[0.5]
Control,2,10,6,Arthropodium minus,[0.5]
Control,2,10,6,Arthropodium strictum s.l.,[0.5]
Control,2,10,6,Briza minor,[0.5]
Control,2,10,6,Cotula australis,[0.5]
Control,2,10,6,Crassula sieberiana s.l.,[1.0]
Control,2,10,6,Dichondra repens,[0.5]
Control,2,10,6,Einadia nutans subsp. nutans,[1.0]
Control,2,10,6,Glycine clandestina,[0.5]
Control,2,10,6,Hydrocotyle laxiflora,[0.5]
Control,2,10,6,Hypochoeris radicata,[0.5]
Control,2,10,6,Lomandra filiformis,[1.0]
Control,2,10,6,Lomandra longifolia,[6.0]
Control,2,10,6,Microlaena stipoides var. stipoides,[0.5]
Control,2,10,6,Senecio quadridentatus,[1.0]
Control,2,10,6,Wahlenbergia gracilis,[0.5]
Control,2,11,0,Anagallis arvensis,[0.5]
Control,2,11,0,Arthropodium minus,[0.5]
Control,2,11,0,Briza minor,[0.5]
Control,2,11,0,Centaurium erythraea,[0.5]
Control,2,11,0,Conyza sumatrensis,[1.0]
Control,2,11,0,Cotula australis,[0.5]
Control,2,11,0,Dichondra repens,[1.0]
Control,2,11,0,Geranium sp. 1,[0.5]
Control,2,11,0,Hydrocotyle laxiflora,[1.0]
Control,2,11,0,Imperata cylindrica,[0.5]
Control,2,11,0,Lagenophora gracilis,[1.0]
Control,2,11,0,Lomandra longifolia,[6.0]
Control,2,11,0,Microlaena stipoides var. stipoides,[3.0]
Control,2,11,0,Oxalis corniculata s.s.,[0.5]
Control,2,11,0,Poa sieberiana,[1.0]
Control,2,11,0,Rytidosperma nivicolum,[0.5]
Control,2,11,0,Stellaria flaccida,[0.5]
Control,2,11,3,Aira spp.,[1.0]
